stock_id,stock_name,setup_id,setup_family,period,context_dimension,context_bucket,raw_signal_count,deoverlapped_signal_count,deoverlapped_trade_count,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day5_gross_median,day5_net_median,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,day10_gross_median,day10_net_median,median_mfe5,median_mae5,median_mfe10,median_mae10,plus8_before_minus5_rate,downside_first_rate,context_used_as_entry_gate
2376,技嘉,C1,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050_RETURN20_SIGN,RETURN20_NEGATIVE,0,0,12,0.4166666666666667,0.4166666666666667,-0.01630363813666021,-0.021995469379583302,0.4991567284954754,0.38455839358894156,-0.0016863406408094694,-0.007458940592320579,0.5,0.4166666666666667,-0.014422731061142446,-0.020127394103539416,0.6808981305839853,0.5794522952169548,-0.004841280136389736,-0.01060709808290548,0.02204821891233044,-0.033156516044531736,0.036196778132262075,-0.033156516044531736,0.16666666666666666,0.4166666666666667,False
2376,技嘉,C1,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050_RETURN20_SIGN,RETURN20_NONNEGATIVE,0,0,15,0.6666666666666666,0.6,-0.005541727601041961,-0.011294133675070683,0.7397764131792331,0.5140717801213024,0.008210180623973828,0.002378388319905739,0.6666666666666666,0.6666666666666666,0.013844659883402666,0.007976678029012934,1.5167434336568753,1.2792017254141568,0.02580645161290329,0.019888489807313624,0.02759740259740262,-0.024489795918367308,0.04285714285714293,-0.02620967741935487,0.26666666666666666,0.26666666666666666,False
2376,技嘉,C1,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0050_CLOSE_VS_MA60,ABOVE_MA60,0,0,9,0.4444444444444444,0.4444444444444444,-0.0031618379500802807,-0.00893566348653647,0.6653280603757159,0.29164205159774775,-0.0036832412523020164,-0.009450004204720188,0.2222222222222222,0.2222222222222222,-0.01588254333982437,-0.021588754915720633,0.40783551821220076,0.3075895490912073,-0.010714285714285676,-0.0164522251212919,0.010266940451745477,-0.015810276679841917,0.010266940451745477,-0.03490759753593431,0.0,0.3333333333333333,False
2376,技嘉,C1,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0050_CLOSE_VS_MA60,AT_OR_BELOW_MA60,0,0,6,0.6666666666666666,0.6666666666666666,-0.015307585509451957,-0.021009851681813907,0.6669778059497824,0.5589454779097638,0.03037244532872574,0.0244203649126787,0.5,0.5,-0.005032579925906573,-0.010792662435764844,0.8652332096465343,0.7303056307502348,-0.011338357723698234,-0.01706002974452963,0.03783270309274589,-0.009389671361502372,0.05397205386718362,-0.04842312861057302,0.3333333333333333,0.5,False
2376,技嘉,C1,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0050_CLOSE_VS_MA60,UNAVAILABLE,0,0,4,0.75,0.75,0.02784566558352153,0.02190647053728528,,16.132165668463315,0.03078358208955223,0.024835330933313117,0.75,0.75,0.022624766574359606,0.016706354092608653,4.503606709515118,3.1225298001395054,0.022716901105980902,0.016804663181120214,0.03078358208955223,-0.008395522388059684,0.05569133116704306,-0.01828760871899493,0.25,0.0,False
2376,技嘉,C1,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0050_RETURN20_SIGN,RETURN20_NEGATIVE,0,0,10,0.6,0.6,-0.010593490607805178,-0.01632526808098711,0.666805212714619,0.5188791284370774,0.014026750858283754,0.008155418968519675,0.4,0.4,-0.004766447979326982,-0.010532156957956982,0.8361670342419126,0.6749521919904771,-0.015984258663200968,-0.02169395951099588,0.016080138948632805,-0.016018728603612642,0.02956039917225295,-0.026843470129469527,0.2,0.3,False
2376,技嘉,C1,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0050_RETURN20_SIGN,RETURN20_NONNEGATIVE,0,0,5,0.4,0.4,-0.0028734297058764955,-0.00864548013196812,0.664986420898408,0.2798690021847126,-0.0036832412523020164,-0.009450004204720188,0.2,0.2,-0.025094777964117788,-0.030746639855300982,0.2810112591979047,0.21844696189911214,-0.010714285714285676,-0.0164522251212919,0.014925373134328401,-0.0055248618784530246,0.016574585635359185,-0.05653710247349819,0.0,0.6,False
2376,技嘉,C1,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0050_RETURN20_SIGN,UNAVAILABLE,0,0,4,0.75,0.75,0.02784566558352153,0.02190647053728528,,16.132165668463315,0.03078358208955223,0.024835330933313117,0.75,0.75,0.022624766574359606,0.016706354092608653,4.503606709515118,3.1225298001395054,0.022716901105980902,0.016804663181120214,0.03078358208955223,-0.008395522388059684,0.05569133116704306,-0.01828760871899493,0.25,0.0,False
2379,瑞昱,A1,BREAKOUT,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050_CLOSE_VS_MA60,ABOVE_MA60,0,0,29,0.5517241379310345,0.4827586206896552,0.004884868920829993,-0.0009326038572804334,1.3067645620838289,0.9498946783387658,0.0051948051948051965,-0.0006212894720839028,0.5862068965517241,0.5517241379310345,0.012292237172530994,0.0064291468492895165,1.582870290605241,1.274367609766128,0.015180265654648917,0.009289183634080638,0.022118742724097862,-0.010526315789473717,0.03799019607843146,-0.02083333333333337,0.13793103448275862,0.3103448275862069,False
2379,瑞昱,A1,BREAKOUT,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050_CLOSE_VS_MA60,AT_OR_BELOW_MA60,0,0,1,0.0,0.0,-0.057043073341094264,-0.06250874515837274,0.0,0.0,-0.057043073341094264,-0.06250874515837274,0.0,0.0,-0.0267753201396973,-0.032381073301363514,0.0,0.0,-0.0267753201396973,-0.032381073301363514,0.04540162980209539,-0.057043073341094264,0.04540162980209539,-0.08032596041909201,0.0,1.0,False
