time_slice_type,time_slice,candidate_family,cluster_number,taxonomy_model_sha256,winner_recall,unique_winner_coverage_count,unique_winner_coverage,overlap_winners_with_n_compact,total_signals,evaluable_signals,winner_signals,precision_all_signals,precision_evaluable_signals,gross_mean,net_mean,median,profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,plus10_before_minus5_rate,plus15_before_minus5_rate,top1_removed_count,top1_removed_gross,top1_removed_pf,top5_removed_count,top5_removed_gross,top5_removed_pf,tail_dependent,signals_per_year,signals_per_month,active_signal_dates,median_signals_active_day,p90_signals_active_day,maximum_signals_day,maximum_signal_date,top5_dates_share,maximum_signal_month,maximum_signal_month_share,n_compact_signals_per_month,candidate_plus_n_compact_signals_per_month,candidate_plus_n_compact_unique_signal_dates,positive_gross_years_2020_2025,pf_above_one_years_2020_2025,gross_direction_consistent_all_years
PERIOD,HISTORICAL_DISCOVERY,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.20888849410789365,12697,0.18797003612246108,3,52740,52504,14110,0.26753886992794845,0.26874142922444005,-0.0039729594347919055,-0.00973636356784341,-0.050000000000000044,0.8940706882361343,-0.00515444398075519,-0.003746837872207987,-0.0017366182254578472,0.0010050844161890828,0.036993552815755816,-0.04232623550623271,0.0684736790989414,-0.06591198610450148,1.0388653588799226,0.21644065214078928,0.1345802224592412,208,-0.004718186207514656,0.8746993923116309,1038,-0.007525175605166409,0.8033261211180206,False,17580.0,1465.0,735,63.0,128.60000000000002,260,20210412,0.02296169890026545,202104,0.07531285551763367,3.361111111111111,1468.25,735,1,1,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.22997373938888097,10215,0.2079473973495104,1,42138,41986,11297,0.268095305899663,0.26906587910255797,-0.0028254023632842255,-0.008595422539561599,-0.04105024729723811,0.9217551542581234,-0.004313835084123769,-0.002885386048629621,-0.001307304896684651,0.002532129810748189,0.035637314576320266,-0.039244500756414585,0.06501384827203723,-0.06054453234538947,1.0738186546912538,0.21702472252655647,0.13440194350497786,166,-0.00356421663850594,0.9016851649544468,829,-0.006349263945606065,0.827639388777505,False,21069.0,1755.75,481,86.0,132.0,178,20240304,0.020551521192273006,202405,0.06409891309506859,3.2916666666666665,1759.0,481,1,1,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.1837038930062186,3864,0.16457960644007155,0,15628,15575,4313,0.2759790120296903,0.27691813804173354,-0.0027793352017559904,-0.008549638087562716,-0.04788732394366202,0.9242011821808099,-0.0036528445102183772,-0.0017763890300912487,-9.3354932478615e-05,0.006059969487884365,0.03777081511013029,-0.03957627241979669,0.06888045057320726,-0.06183196045267619,1.113994284977034,0.2235634028892456,0.14009630818619584,61,-0.003512053763180169,0.9045934060630784,304,-0.006254996271111346,0.832741583351699,False,15628.0,1302.3333333333333,218,69.0,119.30000000000001,169,20250828,0.051062196058356796,202508,0.16783977476324546,3.0,1305.3333333333333,221,1,1,False
YEAR,2020,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.22850111441307577,4398,0.20421619613670133,2,16741,16672,4921,0.29394898751568005,0.295165547024952,0.002749390155040996,-0.003052997889664296,-0.02061855670103091,1.081056250027071,-0.004419746039425309,-8.16593744784187e-05,0.004835383367248065,0.015603333423200836,0.03939677793200014,-0.03734203750720464,0.0749562022693466,-0.056810724259302864,1.3194023355030962,0.2401031669865643,0.14839251439539347,73,0.0019565733057165,1.057430220246732,365,-0.0009958515374466094,0.9712835267262404,False,16741.0,1395.0833333333333,245,70.0,114.6,165,20200709,0.04509885908846544,202012,0.13326563526671048,1.8333333333333333,1396.75,245,1,1,False
YEAR,2021,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.2293884793884794,6119,0.20881108381108382,0,23531,23409,6722,0.28566571756406445,0.28715451322141056,-0.0030592149096003982,-0.008827946260931236,-0.05063291139240511,0.9207468008748018,-0.005970721240794504,-0.0035865937989841925,-0.0012572349703069156,0.0010279141936241243,0.04060064690826209,-0.04544926881522811,0.07515130479332299,-0.07097152186693044,1.0588938043942404,0.236319364347046,0.15635012174804563,93,-0.0038047649286967215,0.9018238879027709,462,-0.006635729526567008,0.831485007836936,False,23531.0,1960.9166666666667,244,90.5,163.50000000000009,260,20210412,0.051464026178232966,202104,0.16879860609408864,3.9166666666666665,1964.75,244,1,1,False
YEAR,2022,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.1476538185300455,2180,0.13047641848216424,1,12468,12423,2467,0.19786653833814566,0.1985832729614425,-0.014716327216479272,-0.020417375668311036,-0.051601423487544595,0.6344285994339014,-0.004602294717098379,-0.0089675582637594,-0.011459736085348466,-0.01862917701059002,0.026971413658587295,-0.043130345810468644,0.04719112527323311,-0.06859230203627738,0.6879944814838621,0.1472269178137326,0.07502213635997747,43,-0.015399326572367651,0.6187861546710046,212,-0.017888452091472447,0.5632124157013005,False,12468.0,1039.0,246,51.0,78.5,113,20221201,0.044193134424125764,202211,0.12560153994225218,4.333333333333333,1043.25,246,1,1,False
YEAR,2023,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.2375912408759124,4711,0.21491788321167885,0,20207,20158,5208,0.2577324689464047,0.2583589641829547,-0.000737829050321359,-0.006519920856253489,-0.026408450704225372,0.9777943558764071,-0.003927745346177758,-0.0022952080842013134,-0.000337736681068684,0.004611466592915379,0.03305068356390528,-0.035295282781237024,0.060495717533789274,-0.0537054936942662,1.1264344366365637,0.20716340906835995,0.12208552435757515,83,-0.0014975593616442808,0.9551151493715706,412,-0.004297379836203799,0.8733097893254477,False,20207.0,1683.9166666666667,239,85.0,128.0,157,20230419,0.03681892413520067,202306,0.12287821052110655,3.0833333333333335,1687.0,239,1,1,False
YEAR,2024,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.22383560636694483,5504,0.2023306252986803,1,21931,21828,6089,0.27764351830741874,0.27895363752977825,-0.004753261207095176,-0.01051213332076578,-0.05084745762711862,0.8774043995501328,-0.004670386162441329,-0.0034304111268294466,-0.0022026941256743262,0.0006118773435076659,0.03802604959319132,-0.04289157497043463,0.06918630930472927,-0.06686033503594027,1.0347885523986484,0.22613157412497709,0.14577606743632032,84,-0.005480340633097167,0.859195591794063,417,-0.008227742722755527,0.7918449682109762,False,21931.0,1827.5833333333333,242,87.0,138.0,178,20240304,0.03948748347088596,202405,0.12315899867767088,3.5,1831.0,242,1,1,False
YEAR,2025,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.1837038930062186,3864,0.16457960644007155,0,15628,15575,4313,0.2759790120296903,0.27691813804173354,-0.0027793352017559904,-0.008549638087562716,-0.04788732394366202,0.9242011821808099,-0.0036528445102183772,-0.0017763890300912487,-9.3354932478615e-05,0.006059969487884365,0.03777081511013029,-0.03957627241979669,0.06888045057320726,-0.06183196045267619,1.113994284977034,0.2235634028892456,0.14009630818619584,61,-0.003512053763180169,0.9045934060630784,304,-0.006254996271111346,0.832741583351699,False,15628.0,1302.3333333333333,218,69.0,119.30000000000001,169,20250828,0.051062196058356796,202508,0.16783977476324546,3.0,1305.3333333333333,221,1,1,False
OVERALL,2020_2025,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.21206002183390535,26776,0.19105380701967192,4,110506,110065,29720,0.26894467268745587,0.27002225957388815,-0.0033662994735521308,-0.009133203622640014,-0.0461538461538461,0.9086599420375177,-0.004621293416201719,-0.003139390845626154,-0.001340316265615727,0.0023029026411253723,0.03658618300259034,-0.04076152019912233,0.06721143414017423,-0.06328713430731568,1.0620078610891523,0.2176713760050879,0.13529278153818197,434,-0.00410562926362615,0.889038478907855,2170,-0.0068953066419181665,0.8165937211004127,False,18417.666666666668,1534.8055555555557,1434,72.0,129.0,260,20210412,0.010958680976598556,202104,0.03594374966065191,3.2777777777777777,1538.013888888889,1437,1,1,False
