time_slice_type,time_slice,family,family_type,all_winners_denominator,winner_coverage_recall,total_signals,evaluable_signals,winner_signals,precision_all_signals,precision_evaluable_signals,gross_mean,net_mean,median,profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,plus10_before_minus5_rate,plus15_before_minus5_rate,top1_removed_count,top1_removed_gross,top1_removed_pf,top5_removed_count,top5_removed_gross,top5_removed_pf,tail_dependent
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,FROZEN_SETUP,23478,0.01673907487860976,1267,1263,393,0.31018153117600633,0.31116389548693585,-0.0028075433794887035,-0.008577965874538398,-0.05205479452054795,0.9290415833913299,-0.0019137178822841968,-0.0013023314862068952,-0.0008830603316723384,0.009719136073447935,0.044009013549654884,-0.045205361427598095,0.07913085931152973,-0.06892086415243807,1.1481408465295697,0.2454473475851148,0.16468725257323832,5,-0.0035542213728214484,0.9105255154188767,25,-0.006396147912555548,0.8415423418712302,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,FROZEN_SETUP,23478,0.018187239117471676,1898,1885,427,0.2249736564805058,0.22652519893899203,-0.004685616521554918,-0.010445509377549152,-0.02962962962962956,0.8630514584683066,-0.004842659708014309,-0.0063153381448410525,-0.003241755338383088,0.0008246965511627405,0.02980017767837726,-0.03777273463793294,0.05473070705332865,-0.05663169680018353,0.9664324070394317,0.1793103448275862,0.11458885941644563,8,-0.0054880354427199645,0.8402795611957788,37,-0.008188876145022485,0.7653580906171672,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,FROZEN_SETUP,23478,0.0007240821194309567,170,170,17,0.1,0.1,-0.009945417633949568,-0.01567533114220658,-0.014472020759864201,0.6221210285339371,-0.0017987229773149796,-0.0010530257335928481,-0.004151741893625522,-0.008293893281833966,0.017477859202820342,-0.023176242287514272,0.0307916415717209,-0.03900288065483666,0.789470958420157,0.07058823529411765,0.03529411764705882,1,-0.011059424118894115,0.5822658351086955,4,-0.013620510561576073,0.4946616551438993,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,DESCRIPTIVE_COHORT,23478,0.2182468694096601,27380,27254,5124,0.18714390065741418,0.18800909958171277,-0.0031661867400951662,-0.008934963643709479,-0.014456248119943615,0.8923667534743764,-0.002647558929166197,-0.0018160641420446075,-0.0012849843895461268,0.0016090891149476891,0.026749639804031188,-0.02943115419012063,0.0488944695395969,-0.0474872848897488,1.0296328723176142,0.14610699346884862,0.08600572393043222,112,-0.003926399964708682,0.8670721299352676,558,-0.006631213817115678,0.7791899236607388,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,RETURN20_TOP20PCT_SAME_DAY,DESCRIPTIVE_COHORT,23478,0.2631399608143794,23175,23101,6178,0.26658036677454156,0.2674343102030215,-0.003105524286153596,-0.00887417377020465,-0.04117647058823537,0.9146504309112884,-0.0030226112876015096,-0.001661736090277545,-0.0001311461864620737,0.005465992353925059,0.03726548845576741,-0.03935397921059677,0.06728536325223544,-0.06184901105261728,1.0878971564313817,0.21241504696766375,0.13086013592485174,93,-0.0038597464346104052,0.8943490841411831,462,-0.006629337192521667,0.8214487184654172,False
YEAR,2020,N_COMPACT_RETEST_HYPOTHESIS,FROZEN_SETUP,21536,0.00023216939078751856,22,22,5,0.22727272727272727,0.22727272727272727,0.002896170120990764,-0.002908947198603262,-0.0016620284477427139,1.1082922406089564,0.005899937792306646,-0.00262038767079094,0.0034584031156841026,0.0023554043286962475,0.0359584286137261,-0.02841461790104288,0.05963417719146855,-0.04919418972782814,1.2122199292518223,0.18181818181818182,0.045454545454545456,1,-0.0036424020431054024,0.8699956855035829,1,-0.0036424020431054024,0.8699956855035829,True
YEAR,2020,N_RETEST,FROZEN_SETUP,21536,0.002228826151560178,208,207,48,0.23076923076923078,0.2318840579710145,-0.005904136954067994,-0.011656420276042766,-0.0331125827814569,0.828566266114515,-0.006097089644345317,-0.006509375361844589,-0.00911058604536536,-0.020466675020921355,0.025709079759452327,-0.039743877039405066,0.04937680268232773,-0.06957341404966681,0.7097079158294403,0.16908212560386474,0.07246376811594203,1,-0.0067770358882055124,0.8041712184373029,4,-0.009205979739908256,0.7378586277008442,False
YEAR,2020,V_REVERSAL,FROZEN_SETUP,21536,0.008776002971768202,736,733,189,0.25679347826086957,0.2578444747612551,0.009224267231103755,0.003383966528863544,0.003984063745019917,1.3509251600728631,-0.004669525309506555,0.004713768391561533,0.007565614120393774,0.01069009625522151,0.03287001908279156,-0.02822449235957348,0.06020330130253685,-0.0500134216029056,1.203742902865883,0.1869031377899045,0.08731241473396999,4,0.00827602145035164,1.313132245099288,19,0.005190269263080997,1.1923387355361088,False
YEAR,2020,MOMENTUM_DIRECTIONAL,FROZEN_SETUP,21536,0.018294947994056465,1274,1269,394,0.3092621664050236,0.31048069345941687,-0.0019485933011038738,-0.007723397829806157,-0.051094890510948954,0.9511764098932995,-0.005280920333297859,-0.0024060895499602715,0.006267261246157456,0.018128858718634254,0.04715776652246457,-0.046269467042911856,0.08634021099067939,-0.06850809991033005,1.260292010779597,0.2624113475177305,0.17888100866824272,6,-0.002832368143228922,0.9293682551098169,26,-0.00564560159980314,0.8614430739558631,False
YEAR,2020,TREND_PULLBACK,FROZEN_SETUP,21536,0.021731054977711738,1968,1959,468,0.23780487804878048,0.23889739663093415,0.002881077778033956,-0.0029220518043495116,-0.011428571428571344,1.0988488032688914,-0.003150100348083234,0.00028578045709930894,0.0019274927043992985,0.009272397287675824,0.03066013684454549,-0.03024095827995476,0.05769006161867852,-0.04810140515800532,1.1993425437193783,0.18580908626850434,0.10107197549770292,9,0.0020492094805025364,1.0699846773793353,44,-0.0007918994261549029,0.9734404444238643,False
