fit_period,winner_state,feature,winner_n,control_n,winner_mean,control_mean,mean_difference,winner_median,control_median,standardized_mean_difference,probability_superiority_minus_half
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,volume_ratio20,67548,61258,1.0905471986871866,1.0336800962749921,0.0568671024121945,0.7509010800821833,0.7523563872221684,0.04955252313008864,0.0003554829406768878
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,prior_volume_contraction_5_20,67548,61258,1.324250039978766,1.216110219989645,0.10813981998912103,0.879166460358306,0.8694025076866161,0.05453462140594113,0.006891905190855696
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,rs5_vs_0050,67548,61258,0.007224251266676791,0.004215846028215253,0.0030084052384615383,-0.0011997072470115722,-0.0019369364593136984,0.03954378118705733,0.003454143674345489
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,rs20_vs_0050,67548,61258,0.04553351340716353,0.025468070145603563,0.020065443261559967,0.012983635842775842,0.003581745168796613,0.11376881717101558,0.018353085826452453
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,rs60_vs_0050,67548,61258,0.1509084515839514,0.07555046763384894,0.07535798395010244,0.0665422013848449,0.01764265683627253,0.2177628815196515,0.06082250867760142
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,recent_local_low_distance,67548,61258,0.1647081043690041,0.12241566494760062,0.04229243942140348,0.1112716763005781,0.07959183673469394,0.26441318428792576,0.08408185465961648
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,recent_local_high_distance,67548,61258,-0.11433368273930929,-0.08971511072372099,-0.0246185720155883,-0.0910730549050221,-0.07400722021660655,-0.3044262439177995,-0.07416160559563917
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,days_since_20d_high,67548,61258,9.046677917925031,9.171259264096118,-0.1245813461710874,9.0,9.0,-0.018383753594359713,0.02603415827835509
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,days_since_60d_high,67548,61258,24.57223011784213,27.191501518169055,-2.6192714003269266,20.0,24.0,-0.12848278343266684,-0.02519830813884244
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,recent_breakout_flag,67548,61258,0.13079587848640967,0.12117600966404388,0.00961986882236579,0.0,0.0,0.02899309127538472,0.39467331297144237
