time_slice_type,time_slice,left_setup,right_setup,left_winners,right_winners,intersection_winners,intersection_share_all_winners,winner_jaccard
YEAR,2020,N_COMPACT_RETEST_HYPOTHESIS,N_RETEST,5,48,5,0.00023216939078751856,0.10416666666666667
YEAR,2020,N_COMPACT_RETEST_HYPOTHESIS,V_REVERSAL,5,189,0,0.0,0.0
YEAR,2020,N_COMPACT_RETEST_HYPOTHESIS,MOMENTUM_DIRECTIONAL,5,394,0,0.0,0.0
YEAR,2020,N_COMPACT_RETEST_HYPOTHESIS,TREND_PULLBACK,5,468,0,0.0,0.0
YEAR,2020,N_COMPACT_RETEST_HYPOTHESIS,CONSOLIDATION_BREAKOUT_V2,5,23,0,0.0,0.0
YEAR,2020,N_RETEST,N_COMPACT_RETEST_HYPOTHESIS,48,5,5,0.00023216939078751856,0.10416666666666667
YEAR,2020,N_RETEST,N_RETEST,48,48,48,0.002228826151560178,1.0
YEAR,2020,N_RETEST,V_REVERSAL,48,189,0,0.0,0.0
YEAR,2020,N_RETEST,MOMENTUM_DIRECTIONAL,48,394,0,0.0,0.0
YEAR,2020,N_RETEST,TREND_PULLBACK,48,468,2,9.286775631500742e-05,0.0038910505836575876
YEAR,2020,N_RETEST,CONSOLIDATION_BREAKOUT_V2,48,23,0,0.0,0.0
YEAR,2020,V_REVERSAL,N_COMPACT_RETEST_HYPOTHESIS,189,5,0,0.0,0.0
YEAR,2020,V_REVERSAL,N_RETEST,189,48,0,0.0,0.0
YEAR,2020,V_REVERSAL,V_REVERSAL,189,189,189,0.008776002971768202,1.0
YEAR,2020,V_REVERSAL,MOMENTUM_DIRECTIONAL,189,394,1,4.643387815750371e-05,0.001718213058419244
YEAR,2020,V_REVERSAL,TREND_PULLBACK,189,468,0,0.0,0.0
YEAR,2020,V_REVERSAL,CONSOLIDATION_BREAKOUT_V2,189,23,0,0.0,0.0
YEAR,2020,MOMENTUM_DIRECTIONAL,N_COMPACT_RETEST_HYPOTHESIS,394,5,0,0.0,0.0
YEAR,2020,MOMENTUM_DIRECTIONAL,N_RETEST,394,48,0,0.0,0.0
YEAR,2020,MOMENTUM_DIRECTIONAL,V_REVERSAL,394,189,1,4.643387815750371e-05,0.001718213058419244
YEAR,2020,MOMENTUM_DIRECTIONAL,MOMENTUM_DIRECTIONAL,394,394,394,0.018294947994056465,1.0
YEAR,2020,MOMENTUM_DIRECTIONAL,TREND_PULLBACK,394,468,16,0.0007429420505200594,0.018912529550827423
YEAR,2020,MOMENTUM_DIRECTIONAL,CONSOLIDATION_BREAKOUT_V2,394,23,0,0.0,0.0
YEAR,2020,TREND_PULLBACK,N_COMPACT_RETEST_HYPOTHESIS,468,5,0,0.0,0.0
YEAR,2020,TREND_PULLBACK,N_RETEST,468,48,2,9.286775631500742e-05,0.0038910505836575876
YEAR,2020,TREND_PULLBACK,V_REVERSAL,468,189,0,0.0,0.0
YEAR,2020,TREND_PULLBACK,MOMENTUM_DIRECTIONAL,468,394,16,0.0007429420505200594,0.018912529550827423
YEAR,2020,TREND_PULLBACK,TREND_PULLBACK,468,468,468,0.021731054977711738,1.0
YEAR,2020,TREND_PULLBACK,CONSOLIDATION_BREAKOUT_V2,468,23,2,9.286775631500742e-05,0.00408997955010225
YEAR,2020,CONSOLIDATION_BREAKOUT_V2,N_COMPACT_RETEST_HYPOTHESIS,23,5,0,0.0,0.0
YEAR,2020,CONSOLIDATION_BREAKOUT_V2,N_RETEST,23,48,0,0.0,0.0
YEAR,2020,CONSOLIDATION_BREAKOUT_V2,V_REVERSAL,23,189,0,0.0,0.0
