period,feature,feature_family,bucket_spearman_path_success_rate,q5_minus_q1_path_success_rate,bucket_spearman_downside_first_rate,q5_minus_q1_downside_first_rate,bucket_spearman_mae10_mean,q5_minus_q1_mae10_mean,bucket_spearman_mfe10_mean,q5_minus_q1_mfe10_mean,bucket_spearman_net_mean,q5_minus_q1_net_mean
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_return_5d,RETURN_RS,-0.8999999999999998,-0.06867239958832466,0.9999999999999999,0.08303313144394348,-0.9999999999999999,-0.012670715838817778,-0.7,-0.01680273506021826,-0.8999999999999998,-0.012566197817847211
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_return_20d,RETURN_RS,-0.8999999999999998,-0.023395427905705035,0.9999999999999999,0.0974093172645224,-0.9999999999999999,-0.02687679464616162,0.0,-0.007765822587398205,-0.9999999999999999,-0.011343209756368064
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_3d_vs_0050,RETURN_RS,-0.39999999999999997,-0.061175373716104486,0.8999999999999998,0.08488795341982036,-0.9999999999999999,-0.015674193723780552,-0.3,-0.01523892098309837,-0.7,-0.014138688448331558
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_5d_vs_0050,RETURN_RS,-0.8999999999999998,-0.06511206357812654,0.9999999999999999,0.09784558671853755,-0.9999999999999999,-0.019867658294460758,-0.9999999999999999,-0.018154372505370192,-0.9999999999999999,-0.015601295082574181
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_20d_vs_0050,RETURN_RS,-0.8999999999999998,-0.02054507337526207,0.9999999999999999,0.09700593498095489,-0.9999999999999999,-0.02679327757059749,-0.3,-0.0004742405304478531,-0.8999999999999998,-0.011106786945827408
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_breadth_up,BREADTH,-0.8999999999999998,-0.02384550968890753,0.8999999999999998,0.04085254034121133,-0.8999999999999998,-0.0053715044687309005,-0.9999999999999999,-0.012515905980879774,-0.9999999999999999,-0.005705737500592924
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_breadth_above_ma20,BREADTH,-0.7,-0.11631670411868533,0.9999999999999999,0.12947901520629712,-0.9999999999999999,-0.0241021794907805,-0.7,-0.03804067555143385,-0.9999999999999999,-0.023102583500749993
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_breadth_ma20_rising,BREADTH,-0.3,-0.018438012288671146,0.8999999999999998,0.061731175933225746,-0.9999999999999999,-0.01756150386755881,0.0,-0.0025205421328781674,-0.6,-0.008424060035222131
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_breadth_20d_close_high,BREADTH,-0.5,,1.0,,-1.0,,-1.0,,-1.0,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_turnover_market_share,ACTIVITY_VOLUME,-0.7,-0.02213142638084442,0.39999999999999997,0.02947615284158489,-0.3,-0.00033456646956663005,-0.7999999999999999,-0.007542416963281742,-0.39999999999999997,-0.0044910664051665255
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_turnover_share_vs_20d,ACTIVITY_VOLUME,-0.6,-0.01096462816921423,0.7,0.03382962422080582,-0.3,-0.005487136000854209,-0.6,-0.0017603634577431082,-0.7999999999999999,-0.004922750688066264
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_turnover_share_change_5d,ACTIVITY_VOLUME,-0.7999999999999999,-0.011132977592276827,0.7,0.03239741067665247,-0.6,-0.0025330440337477805,-0.3,-0.00019356532518621794,-0.8999999999999998,-0.004528977250686967
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_turnover_share_change_20d,ACTIVITY_VOLUME,-0.8999999999999998,-0.007617185783947655,0.8999999999999998,0.05637547774897855,-0.9999999999999999,-0.012829441032691055,-0.3,-0.0008984075035442379,-0.8999999999999998,-0.005829644192494903
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_median_volume_ratio5,ACTIVITY_VOLUME,-0.8999999999999998,-0.02838517825740461,0.9999999999999999,0.03769333447495349,-0.9999999999999999,-0.005394376056728947,-0.8999999999999998,-0.008134419373864221,-0.8999999999999998,-0.0072558370961610386
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_median_volume_ratio20,ACTIVITY_VOLUME,-0.6,-0.003505957378753366,0.8999999999999998,0.021386423307078184,-0.7,-0.004562316365234159,-0.8999999999999998,-0.0025208966782421793,-0.8999999999999998,-0.002478906214630725
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_return_1d,RETURN_RS,-0.39999999999999997,-0.005109948615141524,0.0,-0.020716843448891353,0.7,0.01021892755740296,0.0,0.0002827034202005779,0.0,0.0033527866181271844
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_return_3d,RETURN_RS,-0.39999999999999997,-0.036873281685320725,0.09999999999999999,0.014820858875978171,0.8999999999999998,0.004974634537491432,-0.39999999999999997,-0.006993008576415258,-0.3,-0.002386044914589422
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_return_5d,RETURN_RS,-0.8999999999999998,-0.056467954665085585,0.7,0.053730566204777785,0.49999999999999994,0.0016604241132526648,-0.3,-0.006886174973792,-0.7,-0.009275227996465987
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_return_20d,RETURN_RS,-0.8999999999999998,-0.06712226924396658,0.8999999999999998,0.07637753059590524,0.3,0.0022366122223418244,-0.09999999999999999,-0.011949565308878182,-0.8999999999999998,-0.012121252772259871
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_3d_vs_0050,RETURN_RS,-0.6,-0.059599887964419895,0.7,0.04870273206597464,0.0,-0.001858307826414718,-0.09999999999999999,-0.0011042504732467345,-0.7,-0.008951665941975787
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_5d_vs_0050,RETURN_RS,-0.49999999999999994,-0.037540851227545025,0.49999999999999994,0.033305641168736244,-0.09999999999999999,-0.00045307688001124113,0.3,0.004262230323154315,-0.19999999999999998,-0.005089142003751374
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_20d_vs_0050,RETURN_RS,-0.7,-0.06208156824402894,0.8999999999999998,0.0884240096478568,-0.9999999999999999,-0.015637829829728278,-0.19999999999999998,-0.004776465591840681,-0.7,-0.014051292654818233
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_breadth_up,BREADTH,-0.7999999999999999,-0.015153994941228932,0.49999999999999994,0.0016468903436988036,0.7,0.006068687634767367,-0.7999999999999999,-0.008439795001330866,-0.19999999999999998,2.2514554777619197e-05
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_breadth_above_ma20,BREADTH,-0.49999999999999994,-0.09121736747742898,0.7,0.07902880995002459,0.0,-0.0023982346498252066,-0.19999999999999998,-0.03265848972905351,-0.49999999999999994,-0.01363729884278063
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_breadth_ma20_rising,BREADTH,-0.6,-0.07205883958043902,0.8999999999999998,0.10235258530226699,-0.19999999999999998,-0.0030380753503516378,-0.09999999999999999,-0.017177775146864638,-0.7,-0.013886728396053651
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_breadth_20d_close_high,BREADTH,-0.5,,0.5,,0.5,,-1.0,,0.5,
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_turnover_market_share,ACTIVITY_VOLUME,0.6,0.04877782274382836,-0.7999999999999999,-0.03849453662484825,0.0,-0.0011499907994077518,0.09999999999999999,0.010885894710583571,0.8999999999999998,0.009429192503499068
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_turnover_share_vs_20d,ACTIVITY_VOLUME,-0.09999999999999999,-0.011479955956119281,0.0,0.009535500183516232,-0.7,-0.0029670759785099116,-0.19999999999999998,-0.007493201684606238,-0.09999999999999999,-0.0008998405871518548
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_turnover_share_change_5d,ACTIVITY_VOLUME,-0.7,-0.007084550283095736,0.09999999999999999,0.0031727390219669083,0.8999999999999998,0.003823637507119823,-0.8999999999999998,-0.005709128863713109,-0.09999999999999999,-0.0004857610705317761
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_turnover_share_change_20d,ACTIVITY_VOLUME,-0.6,-0.0170709793351303,0.7,0.03305637222529323,-0.49999999999999994,-0.0036616925406854767,0.7,0.006860626804773631,-0.6,-0.00449720925985463
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_median_volume_ratio5,ACTIVITY_VOLUME,0.7,0.02155010156836823,-0.9999999999999999,-0.04093959847968365,0.7,0.007305462216848607,0.0,7.91309114443195e-05,0.8999999999999998,0.007009808709325654
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_median_volume_ratio20,ACTIVITY_VOLUME,0.19999999999999998,0.03837184023682322,-0.7,-0.04223548185665715,0.8999999999999998,0.0033306505517998047,0.09999999999999999,0.008381174746977804,0.7,0.008111424458080834
