observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf,time_slice_type,period,cohort,retained_pct,delta_success,delta_downside_first,mae_improvement,mfe_retention,delta_net,delta_net_pf
5520,5510,184,24,562,0.34192377495462795,0.5453720508166969,0.11270417422867514,0.285480943738657,0.19618874773139747,-0.0035248222152446584,-0.0019246433078512592,0.002281495390199331,0.0123189338265245,0.04677678200160859,0.0868426592948227,-0.04673038256802834,-0.07222153080867778,1.2024483325461182,-0.0001340246773743004,-0.005919864156204495,-0.05750185013977739,0.9966970553571134,0.8648343892041076,23,-0.0066905991800570086,0.8478742107034243,-0.0009092220124876625,0.9776863905501889,111,-0.00951461477006666,0.7871334565864109,-0.003749745497128281,0.9094517532948082,20230214,-0.006370873564179007,0.8552284834335054,202401,-0.007132295523694959,0.8387306733209619,PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GATE_RETAINED,0.38253638253638256,-0.008333562644481818,0.005589049008378644,-0.0002780574620084991,0.9849360200875703,-0.0008263685999139805,-0.01856529758580938
8910,8868,297,24,602,0.35543527289129456,0.5363103292737934,0.10825439783491204,0.2980378890392422,0.19474515110509696,-0.00331264316179572,0.002130176527501363,0.005459440368795591,0.011511189496186878,0.051634993696397576,0.08899612329678139,-0.04602882666792818,-0.07177070647525895,1.2400062318943517,0.0012137237542418655,-0.004580043708576708,-0.057084635472381344,1.0300104710021245,0.8949837337604252,37,-0.005341469436715608,0.8780359327571228,0.0004478840175032981,1.011028151541829,182,-0.008214261444888876,0.8155198628695395,-0.002441706897979296,0.940865540656107,20230815,-0.004884663863225499,0.8883201409278676,202302,-0.005626592087294276,0.8730415366416499,PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GATE_SKIPPED,0.6174636174636174,,,,,,
7290,7281,243,12,378,0.33800302156297213,0.5624227441285538,0.0995742343084741,0.2826534816646065,0.18678752918555144,-0.0036072105571023807,-0.0007687723470800495,0.001697830319841753,0.011262472422083019,0.04880297203493495,0.08832831210438193,-0.04920053177831715,-0.07648767879663858,1.1548044533973192,-0.0024304079561358444,-0.008202852179612714,-0.0585520075504282,0.941881944639159,0.8181558313960419,29,-0.008953042548206665,0.8023158243385644,-0.003184926077547269,0.9241425888244181,141,-0.011738544633804419,0.7448145375629408,-0.0059866796005134506,0.8596135821087295,20250410,-0.008623763193607347,0.8094587324413002,202512,-0.011367186090748153,0.7552119924393857,PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_TOP30,1.0,,,,,,
600,599,20,7,192,0.34724540901502504,0.5642737896494157,0.08848080133555926,0.2854757929883139,0.17195325542570952,-0.0032141972191754398,0.005782693233203218,0.00561949179984147,0.004096727818785777,0.05112929296163871,0.08397085553202975,-0.043104520642923826,-0.07123401056251547,1.1788028621291278,-0.0005186313465844381,-0.006301792542761942,-0.05895266101782918,0.9874563259757494,0.8588988097798095,3,-0.007215186515399943,0.8392564428306526,-0.0014373373195089426,0.9654105117895894,12,-0.009832051943952763,0.7842642999223122,-0.004069400594174964,0.9035487811951392,20251202,-0.00867859961993471,0.8099906040850308,202511,-0.01014357223852929,0.7819700715363749,PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LOW_RISK,0.0823045267489712,,,,,,
1950,1947,65,11,293,0.34103749357986646,0.5629173086800205,0.096045197740113,0.2840267077555213,0.1941448382126348,-0.0019903787494361756,-0.004683723667554876,-0.001680392717258166,0.016406933646990415,0.047458571029732055,0.08903234869742149,-0.051390932310702186,-0.0754228223504887,1.1804430797310865,-0.0019855941974323164,-0.007760235576339224,-0.05793860661655499,0.9520874286141493,0.8264224511928376,8,-0.00852725155427999,0.8100498773532232,-0.0027570508125546993,0.9337454647180935,39,-0.011371845918882817,0.7507345815337785,-0.005618242379912355,0.8671468443604149,20251217,-0.008915621751454952,0.8025552976445395,202508,-0.013094671936324732,0.7200202570138045,PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,MEDIUM_RISK,0.2674897119341564,,,,,,
4740,4735,158,12,344,0.3355860612460401,0.5619852164730729,0.10242872228088701,0.28173178458289333,0.1856388595564942,-0.004321758924355673,1.2237650464786592e-05,0.0025908239896862526,0.01005360547646113,0.049061489991014055,0.08859005597770629,-0.049071028258474904,-0.07759015456704906,1.1417692936950106,-0.002855161193161624,-0.008625346213202387,-0.05880125829793917,0.9320733719146556,0.8097253461288534,19,-0.009385937888666058,0.7937775731611115,-0.003620136226313961,0.9142195834441318,92,-0.012196146854395814,0.7361811944405211,-0.006446722457956245,0.8496071815916169,20250410,-0.009276717219256112,0.7964011317635671,202512,-0.01115141377598716,0.7599298242179705,PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,HIGH_RISK,0.6502057613168725,,,,,,
2550,2546,85,11,305,0.3424980361351139,0.5632364493322859,0.09426551453260015,0.28436763550667715,0.1889238020424195,-0.002278307760973418,-0.002221279157125142,3.7058510449094705e-05,0.013510699047188933,0.04832218549839352,0.087841526071314,-0.04944137984055324,-0.07443731635638189,1.1800737905536125,-0.0016404603609602485,-0.007417106205910004,-0.058196833783256144,0.9603939586940232,0.83405717208704,10,-0.008147415250526459,0.8184339311480285,-0.0023749968652460552,0.9428850782845108,50,-0.010942707950561511,0.7599868817617914,-0.005186590191349395,0.8772380406728735,20251217,-0.008293330934282014,0.8158573575888406,202512,-0.011796101725460322,0.7458254896209608,PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,GATE_RETAINED,0.3497942386831276,0.004495014572141798,0.0008137052037321402,0.0020503624402566922,0.9944889014465411,0.0007857459737027096,0.015901340690998134
4740,4735,158,12,344,0.3355860612460401,0.5619852164730729,0.10242872228088701,0.28173178458289333,0.1856388595564942,-0.004321758924355673,1.2237650464786592e-05,0.0025908239896862526,0.01005360547646113,0.049061489991014055,0.08859005597770629,-0.049071028258474904,-0.07759015456704906,1.1417692936950106,-0.002855161193161624,-0.008625346213202387,-0.05880125829793917,0.9320733719146556,0.8097253461288534,19,-0.009385937888666058,0.7937775731611115,-0.003620136226313961,0.9142195834441318,92,-0.012196146854395814,0.7361811944405211,-0.006446722457956245,0.8496071815916169,20250410,-0.009276717219256112,0.7964011317635671,202512,-0.01115141377598716,0.7599298242179705,PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,GATE_SKIPPED,0.6502057613168725,,,,,,
7350,7301,245,12,351,0.3837830434187098,0.5110258868648131,0.1051910697164772,0.3335159567182578,0.2325708807012738,-0.002499339196678848,0.005153339880004066,0.01285662812905337,0.029788715392279223,0.059607056112702624,0.10961998056316072,-0.04730937001141374,-0.07401475415700129,1.481055795046391,0.005530782073589826,-0.00028799147081743194,-0.05600688912153467,1.1385927974481462,0.9932860627361337,33,-0.0010970252906662087,0.9745406762929547,0.004717072740473998,1.117668240105058,161,-0.004098924246219462,0.9065491172085318,0.001697647668258808,1.0416023189276458,20200331,-0.0006841172710028681,0.9841106141496311,202004,-0.0031771375557570025,0.9286808395718311,YEAR,2020,STAGE_A_TOP30,1.0,,,,,,
1650,1637,55,12,278,0.40256566890653633,0.48503359804520463,0.11240073304825901,0.3555284056200366,0.25045815516188147,-0.0008257317961873917,0.0072469535743279,0.010531502196526642,0.03147232879546213,0.05960676900013404,0.11102347553820056,-0.046657305089338685,-0.06830710889494533,1.62535755552108,0.009972055591921746,0.004127641723696934,-0.03331170937615635,1.2649183418389012,1.1020006210794262,8,0.0032791805682118977,1.0806377792803359,0.009118685054116877,1.2410637777164353,39,0.00011565845503721774,1.0027900134997008,0.005936673747649543,1.1539567077506885,20200401,0.0026941515605093135,1.0656682469050591,202006,0.0014129595962334312,1.0338391065363506,YEAR,2020,LOW_RISK,0.22448979591836735,,,,,,
