period,feature,bucket,lower,upper,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
STRESS_PREVALENCE_SEEN_NOT_BLIND,tx_total_oi_change_5,3,-1040.9999999999998,921.5,1050,1048,35,10,259,0.39217557251908397,0.49713740458015265,0.11068702290076336,0.32633587786259544,0.21851145038167938,-0.001027645645066123,0.003531648899501917,0.014058833557174324,0.027578190792343842,0.05590766213765434,0.09779579774715834,-0.0413856442003613,-0.06344859675078368,1.5413390170201111,0.009034005169834146,0.003195229278566063,-0.047595845842561435,1.249223758732886,1.0815221721848178,5,0.0023628811286408747,1.0599982544589073,0.00819683205903003,1.2250495608450753,24,-0.000694941800702501,0.9826754953773305,0.005121137278223276,1.138042939512895,20250421,0.0014176944879635389,1.035601685029542,202512,-0.001380449093507857,0.9663136126248164
STRESS_PREVALENCE_SEEN_NOT_BLIND,tx_total_oi_change_5,4,921.5,2600.5999999999995,960,960,32,12,243,0.33541666666666664,0.553125,0.11145833333333334,0.2947916666666667,0.19583333333333333,-0.002568582076265453,0.0027242171867038695,-0.00016955320241644918,0.015246814119132202,0.05158433172788634,0.08909636365904235,-0.04880508683271382,-0.07601201338795671,1.172135293987078,-0.0010985928127025756,-0.0068793056080402515,-0.05830889319348421,0.9733965709423773,0.8454899486531201,4,-0.007657759697021872,0.828722416533555,-0.0018814987551994508,0.9546276305301276,20,-0.01066797066302942,0.7653878134810558,-0.00490923817591954,0.8835950124595867,20250410,-0.01011835868903799,0.7784675753392508,202512,-0.00962264379509143,0.7894556909512476
STRESS_PREVALENCE_SEEN_NOT_BLIND,tx_total_oi_change_5,5,2600.5999999999995,5724.600000000001,1410,1410,47,12,263,0.33191489361702126,0.5836879432624114,0.08439716312056737,0.27163120567375887,0.16312056737588654,-0.0014601605026200823,-0.0009123136045657989,-0.006419720853571414,0.0037389401339884016,0.04898984864060615,0.08271023745441271,-0.05452001787730631,-0.08070270444416348,1.0248756596705901,-0.005946395318004061,-0.01169810335561758,-0.0596022832823347,0.8644341908036886,0.7521427701236995,6,-0.012504575064797307,0.736182821954746,-0.006757510479117178,0.8465979667820028,27,-0.015258998338037733,0.6828861351821387,-0.009527975439874057,0.7869408994180047,20251126,-0.013035251436882925,0.7277184102708733,202508,-0.012215733127259251,0.7421118699531846
STRESS_PREVALENCE_SEEN_NOT_BLIND,tx_total_oi_change_5,6,5724.600000000001,,1050,1050,35,11,232,0.26476190476190475,0.6447619047619048,0.09047619047619047,0.20761904761904762,0.12285714285714286,-0.00793553836541731,-0.0136942038585399,-0.013818463711797999,-0.005519205295095777,0.034170659740144806,0.06749360646148714,-0.056017440514677184,-0.08199561244074423,0.8231368051584802,-0.016910053701617484,-0.02259862190953508,-0.062307133283526064,0.6391826564337677,0.5536628857632777,4,-0.02336852608825574,0.5402150498258216,-0.017684383709720884,0.6240979164148335,16,-0.025587264143204686,0.502336101652772,-0.01991610196559477,0.5815168280972081,20250113,-0.024726071016321984,0.5188893583804998,202510,-0.02415825116403818,0.5292819158784169
HISTORICAL_DISCOVERY,txo_volume_pc_ratio,1,,0.9231639647870102,4410,4391,147,31,551,0.3554998861307219,0.551582782965156,0.09291733090412206,0.3003871555454338,0.19767706672739696,-0.003411315320267001,0.0009763453531995748,0.007478168235582826,0.020063028825238218,0.05240244830324247,0.09640963839298673,-0.048101048632955806,-0.07562021225935348,1.2749189074255978,-0.0008893935635371195,-0.0066709008825061224,-0.0582587672247092,0.9790710850188996,0.8539672793953309,18,-0.007426645605034474,0.8380897181676755,-0.0016495114449705355,0.9613433598054476,89,-0.010305563721165232,0.7789734675943276,-0.0045452174127596995,0.895211321771572,20210520,-0.007390461789080228,0.8391472394973577,202005,-0.007844253506813724,0.8302384094891099
HISTORICAL_DISCOVERY,txo_volume_pc_ratio,2,0.9231639647870102,1.0022857474515772,4410,4387,147,36,589,0.3147937086847504,0.5953954866651471,0.08981080465010258,0.2653293822657853,0.17984955550490084,-0.0063326334775930335,-0.010833729280813838,-0.006678743195042323,0.008413133294510483,0.045737294608197365,0.08859917222007872,-0.0587287466509377,-0.08583174811433357,1.0322424297132893,-0.008290321533516345,-0.014029148289282584,-0.060469903130373336,0.818775142904126,0.7145664115310691,16,-0.014732359946784,0.7013522377367477,-0.00899759820238492,0.8040315494769055,80,-0.017434095608563703,0.6517585740979194,-0.011715106333957696,0.7485799759657558,20200323,-0.014753999734903595,0.7016860676907749,202004,-0.014894806657062006,0.699765605873223
HISTORICAL_DISCOVERY,txo_volume_pc_ratio,3,1.0022857474515772,1.0360716698521217,2190,2179,73,30,485,0.3547498852684718,0.5461220743460303,0.09912804038549794,0.3106929784304727,0.2202845341899954,-0.0010853114174510013,0.002132211708178791,0.011499523697661511,0.022160881025166508,0.060119372198389656,0.10827762752587675,-0.050420366879682814,-0.07858973100972212,1.377757960674048,0.0005619052148105732,-0.005228532983320107,-0.05811111519115298,1.0133264855309292,0.8846780279997694,9,-0.005984188952441999,0.8685562290936724,-0.00019812026134523786,0.9953206668614133,45,-0.008926237406527914,0.8071863276342329,-0.003157277317568277,0.9266664880529866,20210329,-0.006575251429855919,0.8565613686728087,202007,-0.006319739645358583,0.8619433956980554
HISTORICAL_DISCOVERY,txo_volume_pc_ratio,4,1.0360716698521217,1.0691159682278324,2220,2206,74,31,492,0.33091568449682685,0.585675430643699,0.08340888485947416,0.28513145965548503,0.20126926563916592,-0.00963108298573414,-0.004700060286307405,0.002960709948996091,0.014659551643560406,0.050409887910116746,0.09707735156946887,-0.05727339208854573,-0.08459025812744807,1.147618575926404,-0.006207895403093086,-0.011958538708186833,-0.0602689756862277,0.863691116482551,0.75530858197418,9,-0.012733381018142389,0.740517001691533,-0.006987201029796579,0.8472055578843825,42,-0.015496177656338681,0.6889594872399589,-0.009766067735667877,0.78964576973982,20210324,-0.013044348218886804,0.7355213964444542,202102,-0.014138467707219915,0.7165175741256653
HISTORICAL_DISCOVERY,txo_volume_pc_ratio,5,1.0691159682278324,1.1395756513374724,4410,4390,147,35,599,0.37334851936218677,0.5341685649202733,0.09248291571753986,0.32072892938496583,0.22118451025056948,-0.000970323386879604,0.008764866176076226,0.010605727257321182,0.014153782932789974,0.0609538813910922,0.10202700140025464,-0.04604332454557838,-0.07778579380022177,1.3116405504878161,0.0031119080332398462,-0.0026928027724044115,-0.05743987483212687,1.075629429725345,0.9391400034066275,19,-0.003482946571596819,0.9216226678529165,0.0023172209916718822,1.0560722279219668,93,-0.006476545737786845,0.8567245938399802,-0.0006938167115613263,0.9834952229710979,20200331,-0.003369953009146595,0.9243092772168052,202103,-0.004697555424311896,0.8956305278539628
HISTORICAL_DISCOVERY,txo_volume_pc_ratio,6,1.1395756513374724,,4410,4384,147,33,589,0.3697536496350365,0.5355839416058394,0.09466240875912409,0.31500912408759124,0.21875,-0.0018409692572566095,0.0060568982529756385,0.007480774886705741,0.012404605063899591,0.05900867960514538,0.10399813997300959,-0.04894688339794729,-0.07884176852387732,1.3190741648763704,0.0023162916280737448,-0.003483726799059285,-0.05726153016745134,1.056066958002762,0.9216004480550327,19,-0.004271141239105173,0.9042966529153357,0.0015243091439807637,1.0367367314387996,92,-0.007198623833461454,0.841398190085313,-0.0014202168167790573,0.9663443816190095,20200325,-0.004058291845404259,0.9091820557575478,202103,-0.004294893770608379,0.9040598580337564
