period,setup_family,row_type,comparison,n,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,median_mfe5,mean_mfe5,median_mae5,mean_mae5,median_mfe10,mean_mfe10,median_mae10,mean_mae10,up5_within_5d_rate,up8_within_10d_rate,up10_within_10d_rate,up8_before_down5_rate,up10_before_down5_rate,downside_first_rate,effect_direction_count,mean_mfe10_delta,mean_mae10_delta,day5_net_mean_delta,day10_net_mean_delta,up8_before_down5_rate_delta,up10_before_down5_rate_delta,downside_first_rate_delta,day5_net_pf_delta,day10_net_pf_delta
HISTORICAL_DISCOVERY,MEAN_REVERSION,GROUP,A_R_LT_0_8,830,0.4493975903614458,0.42168674698795183,-0.00897631764371871,-0.014713239901935071,0.7592278714186015,0.6350419607896558,0.43373493975903615,0.42771084337349397,-0.01128165649859167,-0.017004584683131724,0.8050798296058923,0.7204683862948387,0.027911620294599038,0.038068728480265754,-0.040172910662824246,-0.049389641968075916,0.045226130653266416,0.06708184689969356,-0.0717703349282297,-0.0832283530733214,0.3602409638554217,0.363855421686747,0.3144578313253012,0.31204819277108437,0.26987951807228916,0.5746987951807229,,,,,,,,,,
HISTORICAL_DISCOVERY,MEAN_REVERSION,GROUP,B_R_0_8_TO_1_2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORICAL_DISCOVERY,MEAN_REVERSION,GROUP,C_R_GE_1_2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORICAL_DISCOVERY,MEAN_REVERSION,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
HISTORICAL_DISCOVERY,MEAN_REVERSION,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
HISTORICAL_DISCOVERY,TREND_PULLBACK,GROUP,A_R_LT_0_8,365,0.44931506849315067,0.41643835616438357,0.0037970641197517473,-0.002014483986436587,1.1031220400444701,0.949427868770832,0.5315068493150685,0.5150684931506849,0.02947916631511261,0.023518392931647807,1.7403822821366808,1.555698092171622,0.02491103202846978,0.043153854968703866,-0.042349726775956276,-0.04768440907147126,0.05989583333333326,0.08602697530726565,-0.05594405594405594,-0.0661148296539238,0.3780821917808219,0.4301369863013699,0.3835616438356164,0.3917808219178082,0.34794520547945207,0.5041095890410959,,,,,,,,,,
HISTORICAL_DISCOVERY,TREND_PULLBACK,GROUP,B_R_0_8_TO_1_2,39,0.358974358974359,0.358974358974359,0.00020728917057050012,-0.005579923984189449,1.006204399161355,0.8489017297351216,0.358974358974359,0.358974358974359,-0.015768946767184617,-0.021467871485740354,0.7611660251424939,0.6904591494142902,0.010973936899862702,0.0413707568942799,-0.03155006858710574,-0.050350472802238234,0.01608579088471851,0.07432082784928708,-0.05630026809651478,-0.07535960255903287,0.358974358974359,0.3076923076923077,0.28205128205128205,0.2564102564102564,0.2564102564102564,0.5897435897435898,,,,,,,,,,
HISTORICAL_DISCOVERY,TREND_PULLBACK,GROUP,C_R_GE_1_2,13,0.7692307692307693,0.7692307692307693,0.14360606157157346,0.13697793940182776,17.390067831792578,14.628667517220226,0.8461538461538461,0.8461538461538461,0.21314249897362594,0.20612193700542536,15.414669365740938,14.221313728751516,0.20216606498194944,0.16432551338748788,0.0,0.0029878881979699635,0.24757281553398047,0.2584710294617754,0.0,-0.002069334286073485,0.8461538461538461,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.23076923076923078,,,,,,,,,,
HISTORICAL_DISCOVERY,TREND_PULLBACK,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.011706147457978572,0.00924477290510907,0.003565439997752862,0.044986264417388164,0.13537056550755183,0.09153494906919568,-0.08563400070249383,0.1005261390357104,0.8652389427573317
HISTORICAL_DISCOVERY,TREND_PULLBACK,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.18415020161248835,0.07329026827295938,0.1425578633860172,0.22758980849116572,0.5128205128205129,0.5128205128205129,-0.358974358974359,13.779765787485104,13.530854579337227
HISTORICAL_DISCOVERY,VOLATILITY_CONTRACTION_EXPANSION,GROUP,A_R_LT_0_8,148,0.4527027027027027,0.4391891891891892,0.0007697409721636274,-0.005026510066947312,1.032977880536298,0.8098503564117108,0.668918918918919,0.6621621621621622,0.03544606785567181,0.029451773395021048,1.9487975436532377,1.7534885479831834,0.02238805970149249,0.032282112722687176,-0.031754722628122733,-0.0324087710785025,0.09605263157894739,0.08893762694417442,-0.04341317365269459,-0.05706869435860966,0.2972972972972973,0.5405405405405406,0.5,0.4391891891891892,0.40540540540540543,0.39864864864864863,,,,,,,,,,
HISTORICAL_DISCOVERY,VOLATILITY_CONTRACTION_EXPANSION,GROUP,B_R_0_8_TO_1_2,37,0.40540540540540543,0.40540540540540543,-0.007708492104638507,-0.013451914479312793,0.8351836785954615,0.7306607802634171,0.3783783783783784,0.3783783783783784,-0.021270038852098657,-0.02693886094171617,0.7003612830493555,0.6368255639802867,0.019209039548022666,0.04510317327505802,-0.04632768361581918,-0.04669888199803029,0.0485875706214689,0.07192485015701285,-0.06395348837209303,-0.08169834041703904,0.40540540540540543,0.3783783783783784,0.35135135135135137,0.3783783783783784,0.35135135135135137,0.5675675675675675,,,,,,,,,,
HISTORICAL_DISCOVERY,VOLATILITY_CONTRACTION_EXPANSION,GROUP,C_R_GE_1_2,42,0.5238095238095238,0.4523809523809524,0.0184880356462885,0.0125902595722474,1.698717793561082,1.4282467626967816,0.4523809523809524,0.4523809523809524,0.01390352630207279,0.00803500947165614,1.3781076818429958,1.2022491374348292,0.03303772448554765,0.04960672794943949,-0.026229842825066296,-0.03348528697338971,0.06220913321698662,0.07553412739181845,-0.03988959467634601,-0.05464741922710764,0.40476190476190477,0.40476190476190477,0.35714285714285715,0.40476190476190477,0.35714285714285715,0.40476190476190477,,,,,,,,,,
HISTORICAL_DISCOVERY,VOLATILITY_CONTRACTION_EXPANSION,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01701277678716158,0.024629646058429377,0.008425404412365481,0.056390634336737216,0.0608108108108108,0.05405405405405406,-0.16891891891891891,0.0791895761482937,1.1166629840028968
HISTORICAL_DISCOVERY,VOLATILITY_CONTRACTION_EXPANSION,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0036092772348055996,0.027050921189931396,0.026042174051560195,0.03497387041337231,0.026383526383526368,0.00579150579150578,-0.16280566280566278,0.6975859824333646,0.5654235734545425
