stock_id,stock_name,period,comparison,left_n,baseline_n,mean_mfe10_delta,mean_mae10_delta,day5_net_mean_delta,day10_net_mean_delta,up8_before_down5_rate_delta,up10_before_down5_rate_delta,downside_first_rate_delta,day5_net_pf_delta,day10_net_pf_delta
6531,愛普*,HISTORICAL_DISCOVERY,C_MINUS_B,87,32,0.02694179042406941,-0.02876575748435438,-0.008444798517160249,0.00847564688006719,-0.25251436781609193,-0.2672413793103448,0.28376436781609193,-0.8752340028910908,0.34301103417403844
6533,晶心科,HISTORICAL_DISCOVERY,A_MINUS_B,212,32,0.00946509820639825,-0.0026891224680937673,2.734049697029157e-05,0.005504088502519971,0.011792452830188704,0.1444575471698113,0.018867924528301883,-0.00045165805076707866,0.15543789759166304
6533,晶心科,HISTORICAL_DISCOVERY,C_MINUS_B,95,32,-0.014744431132060996,-0.023145319461508496,-0.021743373412122555,-0.03947976707711953,-0.15394736842105264,0.0023026315789473617,0.08947368421052626,-0.56818852650262,-0.7125660209197138
8046,南電,HISTORICAL_DISCOVERY,A_MINUS_B,293,50,-0.03262141749362581,-0.05023647501811029,-0.029398174775126466,-0.06567671873556104,-0.14259385665529012,0.019863481228668933,0.31242320819112634,-1.1647053999436494,-7.856152581169434
8046,南電,HISTORICAL_DISCOVERY,C_MINUS_B,90,50,-0.01790690745744683,-0.018951831422265406,0.008126479304627121,-0.035116483354761974,-0.08222222222222225,0.028888888888888853,0.11333333333333331,0.27554438561602335,-6.429057700298882
2603,長榮,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,A_MINUS_B,107,24,-0.0616568536600335,-0.026132467808209856,-0.04628031972859618,-0.06424816511740247,-0.16510903426791276,-0.09190031152647975,0.1425233644859813,-3.2452467735755772,-4.326026138880761
2603,長榮,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,C_MINUS_B,79,24,-0.026347181258987967,-0.02896462962749084,-0.04145402940844441,-0.018152327735581536,0.09704641350210974,0.03586497890295359,0.18037974683544306,-3.056636832311402,-2.3207975808189496
3529,力旺,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,A_MINUS_B,126,22,-0.015866404718433286,-0.01920863372530347,-0.009915690503953429,-0.01057666331358622,-0.004329004329004349,-0.051948051948051965,0.11976911976911975,-0.5893558122398095,-1.816911978127753
3529,力旺,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,C_MINUS_B,40,22,-0.07543602728598658,-0.07048087405198311,-0.05924215156720915,-0.0956653604329261,-0.2840909090909091,-0.3840909090909091,0.6931818181818181,-2.0420848634598565,-3.1378520839294937
3661,世芯-KY,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,A_MINUS_B,113,40,-0.011939101253502282,-0.026703334149122036,-0.04897622672327135,-0.0059848072110008765,-0.15176991150442481,-0.07986725663716815,0.3236725663716814,-2.9041621483901334,-0.05438551855716478
