scope,period,decile,ratio_min,ratio_max,ratio_median,n,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,median_mfe5,mean_mfe5,median_mae5,mean_mae5,median_mfe10,mean_mfe10,median_mae10,mean_mae10,up5_within_5d_rate,up8_within_10d_rate,up10_within_10d_rate,up8_before_down5_rate,up10_before_down5_rate,downside_first_rate
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1,-1.7857142857142858,-0.48148148148148145,-0.7540942302847065,178,0.5842696629213483,0.5561797752808989,0.0068632536102917995,0.0010355717087379987,1.3106757902386672,1.0424446944130163,0.5561797752808989,0.4887640449438202,0.005718678538595045,-0.00010400471782871123,1.2746199313860416,0.9955706670689362,0.035532994923857864,0.03826098652579966,-0.019306484443152083,-0.030368831610789487,0.05390334572490696,0.05246388913006813,-0.029385964912280682,-0.0441139439995296,0.38764044943820225,0.25280898876404495,0.17415730337078653,0.25280898876404495,0.17415730337078653,0.33707865168539325
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,2,-0.47058823529411764,-0.0784313725490196,-0.21426160337552744,178,0.33707865168539325,0.3089887640449438,-0.012982839744237269,-0.018699814558646242,0.5832115833689347,0.4638520933058359,0.42696629213483145,0.4157303370786517,-0.006848096900701701,-0.012598125698587717,0.8211787780662518,0.6960282845453724,0.010089686098654793,0.025539723486996437,-0.02644230769230771,-0.03850594509352652,0.03954426503022612,0.050698411551901766,-0.05493273542600896,-0.05963205216085096,0.25842696629213485,0.25842696629213485,0.16853932584269662,0.24157303370786518,0.16853932584269662,0.5112359550561798
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,3,-0.0784313725490196,0.18333333333333332,0.07986638323716976,178,0.5112359550561798,0.47752808988764045,0.006122933279860867,0.000295191232637172,1.2507072926276557,1.010849796169057,0.5561797752808989,0.5337078651685393,0.026434485749575812,0.02048909388266445,1.9362658963870298,1.6682309047941548,0.026755852842809347,0.03490660022889647,-0.02992655816404549,-0.035074188161865284,0.04706785239572131,0.07175281200518402,-0.04466487741186709,-0.047694880678070525,0.3202247191011236,0.38764044943820225,0.34831460674157305,0.38764044943820225,0.34831460674157305,0.4438202247191011
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,4,0.18627450980392157,0.391304347826087,0.2608695652173913,178,0.398876404494382,0.3595505617977528,-0.011699764740637619,-0.01742171195842023,0.6603822399428981,0.5393482638054812,0.42134831460674155,0.398876404494382,-0.0022087916909488054,-0.007986378264875128,0.9369342681193693,0.7910752804842086,0.013129102844638973,0.02631246527624168,-0.03179190751445082,-0.04083740476690328,0.029217962833216538,0.0467261101019904,-0.04957670512732987,-0.0583514372476056,0.24719101123595505,0.2696629213483146,0.1797752808988764,0.24157303370786518,0.1797752808988764,0.4943820224719101
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,5,0.391304347826087,0.5909090909090909,0.5,178,0.4887640449438202,0.47191011235955055,0.0010712157539431444,-0.004721674298036312,1.0394940844058296,0.8425228458178,0.550561797752809,0.5280898876404494,-0.0025272282547288403,-0.008301977172673045,0.9355096982789861,0.8006915301868225,0.02241692199395351,0.033173076309582626,-0.030075169080183706,-0.033515058983972786,0.042105263157894646,0.05373490390143918,-0.047418387741505696,-0.05656339964418627,0.29775280898876405,0.2696629213483146,0.20786516853932585,0.2696629213483146,0.20786516853932585,0.43820224719101125
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,6,0.5942028985507246,0.7777777777777778,0.6846590909090908,178,0.5898876404494382,0.5280898876404494,0.014917336377312605,0.009040086776749051,1.8284404931276514,1.442905540376558,0.5955056179775281,0.5842696629213483,0.016652651104845054,0.010764443861346146,1.6648548672978183,1.3947309760719298,0.029117901316664474,0.040937184671820705,-0.023696682464455,-0.022828178414756865,0.06501959043741778,0.07067261079026496,-0.03515625,-0.04204793593013485,0.4044943820224719,0.398876404494382,0.30337078651685395,0.37640449438202245,0.2808988764044944,0.29775280898876405
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,7,0.782608695652174,0.9807692307692307,0.875,178,0.5393258426966292,0.5280898876404494,0.014293207967703371,0.008421897289736477,1.7105421027876777,1.371480975842303,0.4101123595505618,0.38764044943820225,-0.009867107749931542,-0.015598184582448294,0.7318587706218518,0.6109802904973417,0.048169556840077066,0.05043124383604861,-0.02318548387096775,-0.022486211657326848,0.055863777089783295,0.06806404777496329,-0.04320660182729147,-0.051628380557004645,0.47752808988764045,0.38202247191011235,0.2247191011235955,0.34269662921348315,0.1853932584269663,0.39325842696629215
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,8,0.9807692307692307,1.3725490196078431,1.1869918699186992,178,0.4438202247191011,0.42134831460674155,0.0006682303980916889,-0.005124411548549491,1.023289090391193,0.838942193524382,0.4943820224719101,0.43258426966292135,-0.00837533965716225,-0.014118474739774657,0.7667991956749702,0.6363768995895885,0.028481012658227778,0.03963410803210565,-0.029484553678102043,-0.035309264744810755,0.04606525911708248,0.054700518186324106,-0.04578313253012045,-0.05517207534353502,0.3595505617977528,0.2640449438202247,0.20224719101123595,0.24719101123595505,0.1853932584269663,0.46629213483146065
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,9,1.3777777777777778,1.8529411764705883,1.5757575757575757,178,0.4550561797752809,0.4044943820224719,0.0024533961663976245,-0.0033504265412256616,1.105779960312404,0.8724621550092804,0.34269662921348315,0.3202247191011236,-0.004002526390792025,-0.009767504832337326,0.867747834754761,0.7120823975620514,0.021818181818181737,0.034079608355196855,-0.02921348314606742,-0.02950045833886026,0.04415584415584406,0.05331671778103424,-0.05239179954441908,-0.052659224183606614,0.34269662921348315,0.33146067415730335,0.21910112359550563,0.33146067415730335,0.21910112359550563,0.5280898876404494
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,10,1.8529411764705883,4.470588235294118,2.522727272727273,177,0.21468926553672316,0.21468926553672316,-0.03183419409995363,-0.037441606714870984,0.2545520206260678,0.20346036966644215,0.3220338983050847,0.3220338983050847,-0.023146356839359828,-0.02880361404615602,0.45367413962414793,0.3744840562722039,0.004854368932038833,0.013054873322617571,-0.046511627906976716,-0.053213212317204356,0.01751824817518255,0.02616638921598435,-0.06879606879606881,-0.07144217286741546,0.2033898305084746,0.1864406779661017,0.096045197740113,0.1807909604519774,0.0903954802259887,0.5875706214689266
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,1,-7.4142857142857155,-0.7325581395348837,-1.8387096774193548,85,0.5882352941176471,0.5411764705882353,-0.007905798492252468,-0.013646708302892314,0.8724419284909594,0.7869311395041759,0.6,0.5764705882352941,0.03612066587574539,0.030120979450993637,2.0110685163337245,1.7944127097193603,0.040000000000000036,0.07261260539284635,-0.04675324675324677,-0.08035078877945312,0.08928571428571419,0.10343225981636997,-0.061475409836065587,-0.09451187856330924,0.4235294117647059,0.5764705882352941,0.47058823529411764,0.4,0.3764705882352941,0.5529411764705883
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,2,-0.7222222222222222,-0.32142857142857145,-0.446360153256705,84,0.44047619047619047,0.42857142857142855,-0.023374642771772418,-0.02902334749317898,0.5513721900938076,0.4730223759722565,0.39285714285714285,0.39285714285714285,-0.011705990836297244,-0.017432734231402538,0.7339601585128515,0.6311814042251909,0.021069979716024312,0.034990429236885064,-0.04293381037567079,-0.058042444082864506,0.034482758620689724,0.049830483785480946,-0.05719814241486071,-0.08134257618712844,0.27380952380952384,0.2619047619047619,0.20238095238095238,0.21428571428571427,0.17857142857142858,0.5476190476190477
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,3,-0.3125,0.03333333333333333,-0.1794871794871795,85,0.38823529411764707,0.3764705882352941,0.0016997703793642026,-0.00409962522086368,1.0634989330059061,0.8641430608088108,0.38823529411764707,0.32941176470588235,-0.012766441313083547,-0.01847773506736474,0.6918251066985399,0.5872759654540097,0.024590163934426146,0.03737478997881105,-0.026960784313725505,-0.03300021220888029,0.029357798165137616,0.05312262460904927,-0.053892215568862256,-0.059262682388021085,0.25882352941176473,0.27058823529411763,0.2,0.24705882352941178,0.18823529411764706,0.5411764705882353
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,4,0.034482758620689655,0.18181818181818182,0.09000900090009001,84,0.5357142857142857,0.47619047619047616,0.01241416566913691,0.0065513410013264065,1.4927831646341108,1.2345935290393288,0.39285714285714285,0.30952380952380953,-0.018216781802907995,-0.02390418087797735,0.5935802537374123,0.5057159723377386,0.031088082901554515,0.04566829602830989,-0.021698191730653182,-0.03009126729886096,0.0428196082754565,0.06225018147885364,-0.03999811463046754,-0.06425798373684248,0.36904761904761907,0.38095238095238093,0.2976190476190476,0.36904761904761907,0.2857142857142857,0.36904761904761907
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,5,0.1836734693877551,0.3879310344827586,0.26666666666666666,84,0.35714285714285715,0.2619047619047619,-0.01725328064900829,-0.022941644411948254,0.500359508002458,0.4005785600374631,0.27380952380952384,0.27380952380952384,-0.04149748061929844,-0.04704580488659854,0.3765189084083757,0.3315086669869064,0.006094067877523757,0.025001309005890867,-0.03960396039603964,-0.043671329396014466,0.015671975948314487,0.03853376223118115,-0.07054673721340388,-0.09112457120973991,0.19047619047619047,0.14285714285714285,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.5595238095238095
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,6,0.3879310344827586,0.5483870967741935,0.45,85,0.36470588235294116,0.32941176470588235,-0.017355524849619774,-0.02304281400362618,0.45532153053878693,0.34901112688687597,0.3764705882352941,0.3764705882352941,-0.025583612529253674,-0.03122592849846163,0.5002106144190994,0.42707311248848095,0.022099447513812098,0.03142981874810979,-0.035107587768969384,-0.04811176561052428,0.030952380952380842,0.047416344235467936,-0.0669781931464174,-0.08022460463661542,0.23529411764705882,0.2823529411764706,0.12941176470588237,0.2823529411764706,0.12941176470588237,0.611764705882353
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,7,0.5483870967741935,0.7402597402597403,0.6865671641791045,84,0.3333333333333333,0.32142857142857145,-0.006611719854901635,-0.012359664791604734,0.7842611556093741,0.6400521719708563,0.4642857142857143,0.42857142857142855,-0.004567578881642818,-0.010328306712719148,0.8823348703987401,0.7527723046905738,0.002136752136752129,0.021723411717083634,-0.046272493573264795,-0.0503173228280131,0.015873015873015817,0.043978461069463806,-0.06981882315215648,-0.06236977811792217,0.21428571428571427,0.27380952380952384,0.23809523809523808,0.25,0.21428571428571427,0.5595238095238095
