scope,period,cluster_scheme,cluster_count,iterations,comparison,metric,point_delta,ci_2_5,ci_97_5,valid_iterations
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,C_MINUS_B,DAY5_NET_MEAN,-0.025418456106098063,-0.043664152590363214,-0.007574073136816356,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,C_MINUS_B,DAY10_NET_MEAN,-0.012046349137064491,-0.03325824489347308,0.009050030715934977,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,C_MINUS_B,UP8_BEFORE_DOWN5_RATE,-0.05011177347242923,-0.1736459238867961,0.07280192275896416,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,C_MINUS_B,DOWNSIDE_FIRST_RATE,0.18204172876304026,0.041574402876151925,0.31349280314044764,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,C_MINUS_B,DAY5_NET_PF,-0.7545733794954529,-1.6410515124654992,-0.18307309558894286,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,C_MINUS_B,DAY10_NET_PF,-0.2304709267057563,-0.8197627569911127,0.19212247011885777,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,A_MINUS_B,MFE10_MEAN,-0.004160434796626887,-0.02235448592266315,0.012070565760733808,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,A_MINUS_B,MAE10_MEAN,-0.002087897637652547,-0.02051870533442408,0.01633897708950575,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,A_MINUS_B,DAY5_NET_MEAN,-0.009129352052064128,-0.029164730815536118,0.009906610628806076,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,A_MINUS_B,DAY10_NET_MEAN,0.010030030174197976,-0.01611886536991068,0.03423571535183656,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,A_MINUS_B,UP8_BEFORE_DOWN5_RATE,-0.019237966913691174,-0.1519105144595402,0.11222056147823455,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,A_MINUS_B,DOWNSIDE_FIRST_RATE,0.04486862789130924,-0.08893903469907917,0.18408934753818068,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,A_MINUS_B,DAY5_NET_PF,-0.35762045293157596,-1.422844166592106,0.37775707890758875,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,A_MINUS_B,DAY10_NET_PF,0.2837630797187488,-0.5962675659858443,0.9726463040423667,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,C_MINUS_B,MFE10_MEAN,-0.020657734210132492,-0.03869090200409024,-0.003047055742620678,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,C_MINUS_B,MAE10_MEAN,-0.013528727167977012,-0.02861950764474135,0.0036971652054332226,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,C_MINUS_B,DAY5_NET_MEAN,-0.025418456106098063,-0.04074720273946463,-0.01008711738911785,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,C_MINUS_B,DAY10_NET_MEAN,-0.012046349137064491,-0.03732311544678941,0.012369278148430876,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,C_MINUS_B,UP8_BEFORE_DOWN5_RATE,-0.05011177347242923,-0.19294796526037702,0.08392905896814642,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,C_MINUS_B,DOWNSIDE_FIRST_RATE,0.18204172876304026,0.034990333949200855,0.32460651006087476,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,C_MINUS_B,DAY5_NET_PF,-0.7545733794954529,-1.7207371839931611,-0.2163806477086751,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,24,5000,C_MINUS_B,DAY10_NET_PF,-0.2304709267057563,-1.0999022933402751,0.22540963426970528,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,A_MINUS_B,MFE10_MEAN,0.019525041195710732,0.0023906933061334716,0.035691190085626864,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,A_MINUS_B,MAE10_MEAN,-0.014895781176992688,-0.03918346277134848,0.009346955702468471,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,A_MINUS_B,DAY5_NET_MEAN,0.007483429856941084,-0.01771928926241196,0.03283913205170636,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,A_MINUS_B,DAY10_NET_MEAN,-0.0008330498261816827,-0.027820149281805977,0.027043157481224003,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,A_MINUS_B,UP8_BEFORE_DOWN5_RATE,0.11822317609540073,-0.023994091271475528,0.24247031484427858,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,A_MINUS_B,DOWNSIDE_FIRST_RATE,0.03177002252013961,-0.1516464902768905,0.22379061180455131,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,A_MINUS_B,DAY5_NET_PF,0.38055707182099413,-0.10918504991393659,0.8848579178354696,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,A_MINUS_B,DAY10_NET_PF,0.10816230828590889,-0.7267865476411804,0.5707361447909346,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,C_MINUS_B,MFE10_MEAN,0.04754973283087387,0.008260962379269461,0.09380037262087097,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,C_MINUS_B,MAE10_MEAN,0.024438496391693293,-0.0022133325141374216,0.0511002178363451,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,C_MINUS_B,DAY5_NET_MEAN,0.05175647430334804,0.01538974110358924,0.09171066325765032,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,C_MINUS_B,DAY10_NET_MEAN,0.0465824721060205,-0.002022045798668963,0.09812632971000564,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,C_MINUS_B,UP8_BEFORE_DOWN5_RATE,0.2254873853211009,0.01674806572190528,0.4412023632093672,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,C_MINUS_B,DOWNSIDE_FIRST_RATE,-0.13603784403669728,-0.3874529324451597,0.10945931731839283,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,C_MINUS_B,DAY5_NET_PF,2.558764156793986,0.6387090818079528,6.914151096167573,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,184,5000,C_MINUS_B,DAY10_NET_PF,1.4773119082796093,-0.048417245093060855,4.39573819298468,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,A_MINUS_B,MFE10_MEAN,0.019525041195710732,-0.002626008195225355,0.04347872290670426,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,A_MINUS_B,MAE10_MEAN,-0.014895781176992688,-0.05477280584943063,0.016267645632352078,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,A_MINUS_B,DAY5_NET_MEAN,0.007483429856941084,-0.022239080461252014,0.03257649217283718,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,A_MINUS_B,DAY10_NET_MEAN,-0.0008330498261816827,-0.04927978791133755,0.04787915771299747,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,A_MINUS_B,UP8_BEFORE_DOWN5_RATE,0.11822317609540073,-0.045127902253743975,0.25778071591013874,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,A_MINUS_B,DOWNSIDE_FIRST_RATE,0.03177002252013961,-0.11912960594980664,0.21163290967682036,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,A_MINUS_B,DAY5_NET_PF,0.38055707182099413,-0.06661784215558177,0.9906721787033129,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,A_MINUS_B,DAY10_NET_PF,0.10816230828590889,-1.7929466240933083,1.1523241631019034,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,C_MINUS_B,MFE10_MEAN,0.04754973283087387,-0.029349739362077756,0.10645302528857366,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,C_MINUS_B,MAE10_MEAN,0.024438496391693293,-0.03477145694597844,0.043760441881759767,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,C_MINUS_B,DAY5_NET_MEAN,0.05175647430334804,-0.01180043163512696,0.08986832253417511,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,C_MINUS_B,DAY10_NET_MEAN,0.0465824721060205,-0.07159838750466448,0.12858222235784522,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,C_MINUS_B,UP8_BEFORE_DOWN5_RATE,0.2254873853211009,-0.06062937062937062,0.419594657349889,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,C_MINUS_B,DOWNSIDE_FIRST_RATE,-0.13603784403669728,-0.3095260243632336,0.20976692282338677,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,C_MINUS_B,DAY5_NET_PF,2.558764156793986,-0.10084371880158255,8.390132445472105,5000
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,12,5000,C_MINUS_B,DAY10_NET_PF,1.4773119082796093,-1.4230199678962048,8.442874358839262,5000
