scope,period,dimension,dimension_value,ratio_bucket,n,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,median_mfe5,mean_mfe5,median_mae5,mean_mae5,median_mfe10,mean_mfe10,median_mae10,mean_mae10,up5_within_5d_rate,up8_within_10d_rate,up10_within_10d_rate,up8_before_down5_rate,up10_before_down5_rate,downside_first_rate
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5347,B2_R_0_5_TO_0_8,15,0.6666666666666666,0.6666666666666666,0.0026214007400201743,-0.003179731363075304,1.1073357330035287,0.8786817304767081,0.6666666666666666,0.6,0.044315451807874016,0.038276413795089094,4.197043308996623,3.420780996020662,0.025380710659898442,0.02555337514280172,0.004060913705583813,-0.012183051658225382,0.08040201005025116,0.06236048487437883,0.004060913705583813,-0.013173851375139748,0.4,0.6,0.3333333333333333,0.6,0.3333333333333333,0.3333333333333333
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5347,B3_R_0_8_TO_1_0,9,0.5555555555555556,0.5555555555555556,0.014243399704868221,0.008369449756674557,2.3412099995568885,1.637124811324101,0.5555555555555556,0.5555555555555556,-0.013254382801287237,-0.018965935655412377,0.5000506340162754,0.34442972028986146,0.024973985431841816,0.02329066627382455,-0.024973985431841705,-0.019653610354750748,0.03017689906347565,0.025024970817702497,-0.024973985431841705,-0.034681920675872474,0.2222222222222222,0.0,0.0,0.0,0.0,0.4444444444444444
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5347,B4_R_1_0_TO_1_2,2,0.0,0.0,-0.024485318602965656,-0.03014304397084446,0.0,0.0,0.0,0.0,-0.04059274059274065,-0.04614508492938187,0.0,0.0,0.0021037785743668325,0.0021037785743668325,-0.024485318602965656,-0.024485318602965656,0.0021037785743668325,0.0021037785743668325,-0.049683649683649744,-0.049683649683649744,0.0,0.0,0.0,0.0,0.0,0.5
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5347,B5_R_1_2_TO_1_5,8,0.0,0.0,-0.02784402285567536,-0.033472199134662664,0.0,0.0,0.0,0.0,-0.03645099298065399,-0.042029282101878396,0.0,0.0,-0.0031779661016950733,-0.005191737288135628,-0.030303030303030276,-0.03394863893168981,0.0,-0.0024110169491525224,-0.04444444444444451,-0.04555072975517897,0.0,0.0,0.0,0.0,0.0,0.375
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5347,B6_R_GE_1_5,21,0.7142857142857143,0.7142857142857143,0.022171161687354474,0.01626090146455142,2.4196857831991294,1.9465126306423182,0.5238095238095238,0.5238095238095238,-0.003870940058205118,-0.009631358942160953,0.7637653183850355,0.4944647439293008,0.08095238095238089,0.05284958910597574,-0.014354066985645786,-0.016328073597276505,0.08095238095238089,0.053858467233497936,-0.014354066985645786,-0.021486697588867017,0.7142857142857143,0.5238095238095238,0.0,0.5238095238095238,0.0,0.19047619047619047
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5351,B0_R_LT_0,50,0.58,0.54,0.010383761646670948,0.004533422434051613,2.294307902989667,1.4350433718447235,0.44,0.36,-0.007599815332732515,-0.013343675889241367,0.7068196162236452,0.5419365311843057,0.024330900243308973,0.027563344055850127,-0.02023268094791697,-0.015785125594328507,0.029761904761904656,0.03831560794056671,-0.03688524590163933,-0.036289122947562556,0.22,0.08,0.04,0.08,0.04,0.3
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5351,B1_R_0_TO_0_5,42,0.2857142857142857,0.2857142857142857,-0.018607187181664403,-0.0242841002099731,0.43364951855463085,0.34002387367675596,0.3333333333333333,0.2857142857142857,-0.01607740418704136,-0.021770719029477012,0.6447162220592239,0.5557410652789065,0.011898989778062363,0.00966895114789269,-0.043073341094295725,-0.03942739664250361,0.016949152542372836,0.04075691636611395,-0.06182243598076187,-0.06199997637384941,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.6428571428571429
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5351,B2_R_0_5_TO_0_8,39,0.23076923076923078,0.20512820512820512,-0.0303007429999174,-0.035914631051537485,0.2658997885765733,0.212070692252306,0.48717948717948717,0.4358974358974359,-0.019946033605728282,-0.02561556043546838,0.6325272444314655,0.5506144375959074,-0.0011467889908257645,0.0010550610107965769,-0.047373841400617844,-0.04632944859796619,0.018537590113285374,0.032685689178022594,-0.07080745341614914,-0.07262370272258613,0.07692307692307693,0.3333333333333333,0.1794871794871795,0.3333333333333333,0.1794871794871795,0.5641025641025641
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5351,B3_R_0_8_TO_1_0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5351,B4_R_1_0_TO_1_2,4,1.0,0.0,0.0031746031746031633,-0.0026304053343545923,,0.0,1.0,1.0,0.00952380952380949,0.003670245500797779,,,0.021164021164021163,0.021164021164021163,0.0031746031746031633,0.0031746031746031633,0.021164021164021163,0.021164021164021163,-0.03386243386243393,-0.03386243386243393,0.0,0.0,0.0,0.0,0.0,0.0
