scope,period,dimension,dimension_value,total_frozen_signal_observations,measured_move_available_count,coverage_rate,structure_invalid_count,no_abc_count
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,1513,658,382,0.5805471124620061,276,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,1590,656,328,0.5,328,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,1605,732,400,0.546448087431694,332,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,1760,619,288,0.46526655896607433,331,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,1785,651,312,0.4792626728110599,339,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,1795,741,287,0.3873144399460189,454,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2014,822,409,0.4975669099756691,413,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2027,756,251,0.33201058201058203,505,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2049,753,365,0.4847277556440903,388,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2301,624,330,0.5288461538461539,294,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2303,809,397,0.4907292954264524,412,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2308,717,347,0.4839609483960948,370,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2313,674,333,0.4940652818991098,341,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2327,553,245,0.4430379746835443,308,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2337,726,310,0.42699724517906334,416,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2338,759,481,0.6337285902503293,278,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2344,738,328,0.4444444444444444,410,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2345,643,272,0.4230171073094868,371,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2347,728,419,0.5755494505494505,309,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2351,629,227,0.36089030206677264,402,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2353,674,303,0.4495548961424332,371,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2357,674,394,0.5845697329376854,280,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2368,661,394,0.5960665658093798,267,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2371,674,297,0.4406528189910979,377,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2376,691,420,0.6078147612156295,271,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2377,678,307,0.4528023598820059,371,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2379,741,307,0.4143049932523617,434,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,2383,734,368,0.5013623978201635,366,0
