time_slice_type,time_slice,model,top_k,primary_selection,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf,mean_daily_path_ic,median_daily_path_ic,path_ic_positive_day_rate,path_ic_days
YEAR,2021,LOGISTIC_RIDGE_PATH_SUCCESS,10,False,2440,2417,244,12,222,0.3835333057509309,0.555233760860571,0.06123293338849814,0.3305750930906082,0.2498965659908978,-0.0037571066336851452,0.0010039227905589392,0.006647650691835471,0.022477917637547605,0.06340746379556836,0.1197712296700053,-0.057904996874315585,-0.09143926197007779,1.3098446672633768,0.0012625681008887756,-0.004531549326428245,-0.05903997605489759,1.0286734442185488,0.9039010881870921,10,-0.0052915152329347315,0.8882490435691381,0.000498211461402823,1.0112677759958697,50,-0.00828468243992563,0.8279442338316007,-0.002512352266484136,0.9441237577741499,20210520,-0.005122237130243054,0.891824010104405,202103,-0.009812472110455885,0.800928214567249,,,,
YEAR,2022,LOGISTIC_RIDGE_PATH_SUCCESS,3,False,738,738,246,12,125,0.3170731707317073,0.6138211382113821,0.06910569105691057,0.26422764227642276,0.15447154471544716,-0.0024696707794760048,-0.003426185926057216,-0.008279535266648156,-0.012083980509330959,0.04672166559763634,0.07946501230689974,-0.05423130506381112,-0.08833875988351395,0.8995486512566467,-0.010242945157328912,-0.015969895763796902,-0.06056621834910472,0.7816955636783801,0.6830911601125891,3,-0.016759643912684044,0.6687712417642467,-0.011037233055377864,0.7657234045349309,13,-0.01929521011600646,0.6238479534292529,-0.013587600723907864,0.7155131901685698,20220812,-0.016644584739117466,0.6710452105539564,202211,-0.021861734555618954,0.5888426055672403,,,,
YEAR,2022,LOGISTIC_RIDGE_PATH_SUCCESS,5,True,1230,1229,246,12,156,0.3132628152969894,0.6078112286411717,0.07892595606183889,0.2595606183889341,0.1594792514239219,-0.003455752155095922,-0.0034422052541194736,-0.006491624976181217,-0.008379287723574397,0.04549426307077488,0.07893244974754782,-0.05310841816510866,-0.08551016367790376,0.9230768174514014,-0.00964137869903365,-0.01537198416066564,-0.060522138222767086,0.7908135809810861,0.6897766239268808,5,-0.016153423385789477,0.6753325853779022,-0.010427339494880688,0.7746812193306295,22,-0.0186569818612685,0.6302217455166415,-0.012945548675571763,0.724151775441886,20221115,-0.01596972744009251,0.6790246874383524,202211,-0.021088089656043647,0.5959833421772116,0.06514904991242468,0.06605923895454388,0.6058091286307054,241
YEAR,2022,LOGISTIC_RIDGE_PATH_SUCCESS,10,False,2460,2456,246,12,204,0.32247557003257327,0.5891693811074918,0.08835504885993485,0.26384364820846906,0.15798045602605862,-0.003931898473639027,-0.004142272075013405,-0.005025422792046231,-0.006048891761877469,0.044605480410814885,0.07820422023631433,-0.05203586906419328,-0.08255682543143036,0.947277464069507,-0.006990442876340243,-0.012736507793996077,-0.05986169917552389,0.843484144755285,0.7348874800490637,10,-0.013511305400402487,0.719905053754006,-0.0077697239245820456,0.8267443822372256,46,-0.016173205517639233,0.6696573430568148,-0.010447190026062035,0.7704687499655057,20221115,-0.013238997941307565,0.7255500999473444,202211,-0.01816274163834251,0.6410975372598591,,,,
YEAR,2023,LOGISTIC_RIDGE_PATH_SUCCESS,3,False,717,715,239,12,151,0.38181818181818183,0.5006993006993007,0.11748251748251748,0.31608391608391606,0.2041958041958042,-0.001242047354274254,0.0032297077534081966,0.006533876544965717,0.012660188931561714,0.053223881734547264,0.09388474274376497,-0.04257293647339404,-0.0701887095549305,1.3376046281387988,0.006009748808901946,0.00018815336793159403,-0.055476631245708195,1.156946962485791,1.0045574821951195,4,-0.0007998883778348438,0.9807333623481238,0.005016001490014685,1.1302620206005842,16,-0.003597799838342662,0.9148036250963039,0.002201680413939221,1.0562110901138937,20230802,-0.0003952387078392772,0.9904666309233644,202304,-0.0031464585252545117,0.926163218515588,,,,
YEAR,2023,LOGISTIC_RIDGE_PATH_SUCCESS,5,True,1195,1193,239,12,183,0.36462699077954736,0.512154233025985,0.12321877619446772,0.30259849119865884,0.19362950544844929,-0.0030564516159233305,-4.616848843770973e-05,0.002304448522725627,0.008465489938258465,0.04891506103415004,0.08943535337681914,-0.04520687185417645,-0.07229978156864023,1.2370072417426419,0.0035766636728642286,-0.002230875620441897,-0.056024780149847304,1.0915889361249944,0.9470630935578899,6,-0.003130570807790572,0.9260876505885731,0.0026717684855337136,1.068072861799407,26,-0.005996358881765959,0.8608121807366262,-0.00021083791794641833,0.9947186610378251,20230216,-0.0026470892278017025,0.9373972815481724,202302,-0.005509742444266236,0.8745456807422317,0.03876125230346263,0.044929988979454466,0.6118143459915611,237
YEAR,2023,LOGISTIC_RIDGE_PATH_SUCCESS,10,False,2390,2386,239,12,225,0.3704945515507125,0.519279128248114,0.11022632020117351,0.30595138306789604,0.19907795473595977,-0.0027539085486672273,0.0003849030407696587,0.004218754534741505,0.01224788591952242,0.04978403763166358,0.08956158792007447,-0.04517334635486439,-0.07081626080063008,1.2647037122196885,0.0045149130171139905,-0.00129805802549701,-0.0561980697211402,1.1165369123236548,0.9689492419738261,11,-0.0021232009285182137,0.9494452030643289,0.0036850011877310736,1.0946770955037506,51,-0.005002670482649689,0.8828893359980409,0.0007886609932449536,1.0199214491110646,20230407,-0.0017799671795830697,0.9575999770449891,202302,-0.003019815832684968,0.9297644733756754,,,,
YEAR,2024,LOGISTIC_RIDGE_PATH_SUCCESS,3,False,726,726,242,12,157,0.3939393939393939,0.5578512396694215,0.048209366391184574,0.3305785123966942,0.21763085399449036,-0.0006238808270189852,0.0012994058140244063,0.00154755618469704,0.004857497361083149,0.05500648613103139,0.09526711551279667,-0.050184781941735875,-0.0829180731830956,1.1489306475131484,0.002859277154719471,-0.0029436955154257464,-0.05863686200329127,1.0663427787635669,0.9363288580177581,4,-0.00396841026331926,0.9146375455319868,0.001828648443255756,1.0421957005021065,16,-0.006908919833578048,0.8538557830882785,-0.0011290333775955288,0.9743807794282574,20240117,-0.003543656879211466,0.9236686236070992,202402,-0.005197270330283267,0.8890190966302944,,,,
YEAR,2024,LOGISTIC_RIDGE_PATH_SUCCESS,5,True,1210,1208,242,12,196,0.3849337748344371,0.5521523178807947,0.06291390728476821,0.3253311258278146,0.2144039735099338,-0.0022423202825185683,0.001966526735247652,0.005122672536197673,0.009205898444656389,0.056604500715613126,0.09668773166439033,-0.05075087415617056,-0.08134371462015345,1.1886318705248222,0.0015982718656137108,-0.004197790743961156,-0.058657041881978414,1.0371154159892555,0.909105602440944,6,-0.0051149592384419325,0.8897963343623287,0.0006758025605403766,1.0156156851565583,26,-0.00803660310441001,0.8297295072009176,-0.0022628867651177287,0.9485817794814821,20240215,-0.0047223656954153564,0.8981702591870938,202402,-0.0060878072424274555,0.8699861559762959,0.019740487740574745,0.01925570956262336,0.5206611570247934,242
YEAR,2024,LOGISTIC_RIDGE_PATH_SUCCESS,10,False,2420,2412,242,12,236,0.3635986733001658,0.5679933665008292,0.06840796019900497,0.3072139303482587,0.20315091210613598,-0.003987491546930579,0.0005811458230499784,0.0038436209403274212,0.009154065623826252,0.05465117692847493,0.09610178236890422,-0.05195707543674933,-0.08246703133409201,1.165335781029571,-0.001509783830136699,-0.007287681352525004,-0.0590856461857749,0.9654924130465907,0.8448490250432121,10,-0.008065262911146977,0.8290065942469367,-0.0022918562593004376,0.9478345573524815,49,-0.010977979263333151,0.7710324389806501,-0.0052215433680201685,0.883080990134293,20240806,-0.007802315278354565,0.8345814046109903,202402,-0.008819429350286262,0.8141372551052081,,,,
YEAR,2025,LOGISTIC_RIDGE_PATH_SUCCESS,3,False,729,728,243,12,132,0.3956043956043956,0.5315934065934066,0.07280219780219781,0.33104395604395603,0.20604395604395603,-0.0008979597560145621,0.004398870347527095,0.0077535526818083254,0.0159233391061219,0.055408629376433774,0.09782176520651359,-0.045662385156960805,-0.07528776304711615,1.2993049766307354,0.0036970500172036954,-0.002110572150324133,-0.05744192160912237,1.0913857828597362,0.9515008770498458,4,-0.0030999741962880406,0.9291566731898181,0.0027018892577608104,1.0664198731670622,16,-0.005917376542624718,0.8670122917785321,-0.0001319643626513216,0.9968097215568578,20250424,-0.00272144457624157,0.937721262061366,202504,-0.0035800601365349963,0.9182339882462769,,,,
YEAR,2025,LOGISTIC_RIDGE_PATH_SUCCESS,5,True,1215,1213,243,12,164,0.37675185490519375,0.5457543281121187,0.07749381698268755,0.31986809563066776,0.20032976092333057,-0.002322516456392617,0.0038554070826829164,0.007847350535096902,0.015689319634304855,0.05459081717922027,0.09536094064542151,-0.047140359784420306,-0.07596047425845392,1.2554021229640815,0.0010677142485190623,-0.004724899916906961,-0.05845751378311296,1.0256323552073887,0.8945171780160452,6,-0.005626397421756931,0.8750126670618663,0.0001609824906030526,1.0038455510927782,26,-0.008481275519033393,0.8147150195137137,-0.0027105677496333117,0.9363228438615556,20250410,-0.005241310667769751,0.8834706934439011,202512,-0.007145401925595511,0.8444540666714577,0.041520625772702276,0.051384111270763665,0.5950413223140496,242
YEAR,2025,LOGISTIC_RIDGE_PATH_SUCCESS,10,False,2430,2426,243,12,207,0.3639736191261336,0.5494641384995878,0.08656224237427865,0.3062654575432811,0.19703215169002472,-0.0029966050197250257,0.0019421232785204411,0.0045940059637918805,0.013243941987566116,0.05230634417129077,0.09262910452345743,-0.048995759633510126,-0.07723516082387004,1.1993126386399624,6.501523209647764e-05,-0.005722139068923635,-0.05835576452212766,1.001560952323359,0.872352495571849,10,-0.006478679312891085,0.8560715869735404,-0.0006958986030191006,0.9833610230811208,50,-0.009388260656834652,0.7948862858993871,-0.0036224754021341415,0.9148203980740031,20250410,-0.0062320546333844195,0.861550527513771,202512,-0.009128294349425116,0.8027500192116379,,,,
OVERALL,2020_2025,LOGISTIC_RIDGE_PATH_SUCCESS,3,False,4377,4360,1459,72,580,0.39724770642201834,0.5344036697247706,0.06834862385321101,0.336697247706422,0.22752293577981653,-0.001081164365676186,0.004012458181593966,0.007891422438647624,0.01660951554987488,0.05934054610979932,0.10604145847574069,-0.04953199654507587,-0.08094014983737849,1.3101218454474657,0.004485383748807177,-0.0013270951041667817,-0.05732332799213116,1.1078779615170335,0.9702594818063824,19,-0.0021162780374186126,0.9527803780424512,0.0036916509179409193,1.0884009740168517,94,-0.005134438249426133,0.8874167500708603,0.0006559207649394473,1.0154354348090053,20210520,-0.001434472618983817,0.9678752454663447,202103,-0.0025857988243925467,0.9426289474109507,,,,
OVERALL,2020_2025,LOGISTIC_RIDGE_PATH_SUCCESS,5,True,7295,7264,1459,72,688,0.38009361233480177,0.5418502202643172,0.07805616740088106,0.32254955947136565,0.22040198237885464,-0.002351233758976708,0.002595759277864038,0.006569018704308378,0.015815601089616226,0.05726324645128481,0.10328855304436232,-0.0506755799080597,-0.08120563602550078,1.2719382311336975,0.0021394088143861555,-0.0036597066067137894,-0.057746540061609196,1.0507840840103493,0.9190951269791622,31,-0.004439607013317106,0.9022727745645864,0.0013550059334650826,1.032027103943495,153,-0.007400575838249055,0.8398419519439606,-0.0016232150153178834,0.962280603346635,20210520,-0.003767321483001464,0.9167734190600381,202103,-0.004678207329993933,0.8974994298795577,0.04550314967089438,0.046409192622242496,0.5879501385041551,1444
OVERALL,2020_2025,LOGISTIC_RIDGE_PATH_SUCCESS,10,False,14590,14523,1459,72,798,0.37113544033601875,0.5477518419059423,0.08111271775803897,0.31384700130826965,0.21386765819734216,-0.003043342375494607,0.0013897036042155217,0.005482623783611473,0.015029102806444393,0.05564482735002195,0.10076843700433498,-0.05111905618679648,-0.08089430811672516,1.245680188758556,0.0010818542451193742,-0.004711186172314793,-0.05801929741235302,1.025620133342801,0.8961493508117855,60,-0.005468435588898022,0.8799549936292421,0.000320228328332923,1.0075522164626045,300,-0.008401101925009471,0.8186364218237965,-0.0026295228510914152,0.9390147997578172,20210520,-0.004809276292361724,0.8940601057798726,202103,-0.005526319506092407,0.8789855377396409,,,,
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_PATH_SCORE,3,False,2205,2193,735,36,267,0.41450068399452805,0.5517555859553124,0.0337437300501596,0.36342909256725947,0.2758777929776562,-0.0021458220035122633,0.007752011361080196,0.01491307104246419,0.03090248535194031,0.07557147324249887,0.13638602183303325,-0.059071510747606505,-0.09436802451569133,1.4452567226344264,0.004121417697542037,-0.00168953799475555,-0.05962289555075809,1.0919993034314557,0.964667043012692,10,-0.00251491649039042,0.9476459004362241,0.003291290770567133,1.0731339892237746,48,-0.0056015606093992925,0.8854197603512585,0.00018670606560539256,1.0040764770309445,20210310,-0.0019157326143948944,0.9599914881175524,202103,-0.0038073347615671317,0.9216187309378151,,,,
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_PATH_SCORE,5,False,3675,3647,735,36,346,0.41020016451878255,0.5478475459281601,0.041952289553057305,0.36084452975047987,0.27173018919659997,-0.001432276189188995,0.00641249468337537,0.01258789849669798,0.029999204955065133,0.07223123086740695,0.1311397334067307,-0.05758665952039746,-0.09087692224170892,1.4430476976094462,0.004677094370128103,-0.0011368680342608915,-0.05890637169362941,1.1065377950779458,0.9757722998860484,16,-0.001927270033114854,0.959108297902163,0.003882138442750314,1.0880418330399826,79,-0.004980536114559847,0.8961593710492374,0.0008111130345017533,1.0180758211024157,20210310,-0.001301184623532141,0.9723009761416198,202106,-0.00271738679923388,0.9427737519526004,0.05683332024413024,0.06175565821933988,0.6182572614107884,723
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_PATH_SCORE,10,False,7350,7292,735,36,464,0.38699945145364784,0.554306088864509,0.058694459681843114,0.33721886999451456,0.24437739989029073,-0.002825833420797297,0.0034841841722567687,0.009634148308660204,0.022864838989022612,0.06514420523566158,0.11789528134185391,-0.055462263328337064,-0.08709558397584685,1.3536309874740418,0.0022598446743422257,-0.003539909545733087,-0.058942782375307735,1.0518032619415867,0.9242293979235355,31,-0.004313961470835444,0.9080536249177734,0.0014813225453416197,1.0338125501712963,153,-0.007300672403765727,0.8470103128346356,-0.0015227585400441402,0.9658256484135849,20210616,-0.003729194237599227,0.9202872866272775,202103,-0.005251226110836734,0.8890394613810894,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_PATH_SCORE,3,False,1443,1438,481,24,230,0.4012517385257302,0.5431154381084841,0.055632823365785816,0.35952712100139084,0.2510431154381085,-0.003505283217118551,0.0014792342034262718,0.0065321850673767,0.024123267309921752,0.05759948299548179,0.11122935452396913,-0.05160906358305629,-0.08171863464291465,1.3611259538293472,0.004459675720567618,-0.0013533296612963438,-0.05792614443031598,1.1059199604504821,0.9699996525946307,7,-0.002244488872051038,0.9504868122744864,0.0035633433975408775,1.0842195572641244,32,-0.005276001523245816,0.8856452969910276,0.000514102399210366,1.0119385228365239,20230406,-0.0016532619405697404,0.9634272711200915,202311,-0.003355710120580503,0.9270320913655024,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_PATH_SCORE,5,False,2405,2394,481,24,290,0.39306599832915623,0.5317460317460317,0.07518796992481203,0.34502923976608185,0.23809523809523808,-0.003453596379221684,0.0025479814825118486,0.009313948863801564,0.023697962933256413,0.05853950295615566,0.1092724817929303,-0.050705602555086444,-0.07930061017105325,1.377952597807596,0.004963956396997445,-0.0008517665601387194,-0.05740047446584784,1.1203484751949782,0.9807426800747615,11,-0.0016820198096692504,0.9621464807522674,0.004128878481522279,1.0996425037361168,53,-0.004719052701210189,0.8956704450806695,0.0010741111414130928,1.0254647327800461,20230406,-0.0011448654222226131,0.9741701608306201,202311,-0.0029248391483364024,0.9352450313658445,0.032794663364591956,0.03186881268022457,0.5553235908141962,479
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_PATH_SCORE,10,False,4810,4787,481,24,412,0.3710048046793399,0.5433465636097765,0.08564863171088365,0.3179444328389388,0.21558387298934614,-0.003075487580091873,0.0014958537968917354,0.006481594947555861,0.015697463663717433,0.055037222661492996,0.09933524323631057,-0.04958752475995939,-0.07782151472174927,1.2764496243935064,0.001887987677254592,-0.003909853168563574,-0.057663747766922464,1.0453650185538412,0.9125656778546121,21,-0.004711453506246492,0.8951020454976565,0.0010817351458762372,1.0258781656357874,101,-0.0076270489419917225,0.8330382879870529,-0.0018509253820363728,0.9564638816273386,20230811,-0.0041477282243140385,0.9074399447776295,202302,-0.005341215669488092,0.8826762188569591,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_PATH_SCORE,3,False,729,729,243,12,100,0.3717421124828532,0.5692729766803841,0.05898491083676269,0.3113854595336077,0.21536351165980797,-0.005111232352379121,-0.00149474480997609,0.0017049939317420278,0.01641165922353011,0.05238496690856734,0.09764502376360695,-0.054305490600444005,-0.08484850629475403,1.150816060619845,-0.0002929399537457468,-0.00607824052659386,-0.05926455626930303,0.9932506327322653,0.8695332954178779,3,-0.0068857539532726645,0.8528086110602133,-0.001105162543222834,0.974641725316409,15,-0.009870873730966817,0.792485670804661,-0.004107633901678462,0.9073070155638054,20250110,-0.00669736187362503,0.8568357215345006,202512,-0.009425190894346194,0.8048150304723459,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_PATH_SCORE,5,False,1215,1215,243,12,134,0.3695473251028807,0.5547325102880658,0.0757201646090535,0.30864197530864196,0.20658436213991768,-0.0029662174019930475,0.001057185971626421,0.004151195765153041,0.013998162993449997,0.054205174881986264,0.09857096977645213,-0.05136958803467683,-0.0824238028415334,1.1959041730452913,0.0006798675074725373,-0.005110826983909159,-0.058257803319844786,1.0160814912714091,0.8875589631061307,5,-0.005894566565096477,0.8708499342687079,-0.00010841539511507152,0.9974461106152773,25,-0.008865925130936312,0.8089581980744981,-0.0030970517563164855,0.9282501198037805,20250812,-0.005648545189298176,0.876240267299095,202512,-0.00842813775988353,0.8206708858096837,0.03855450461835528,0.02797085091458882,0.5702479338842975,242
