time_slice_type,time_slice,row_type,band,probability_decile,observations,event_rate,predicted_probability_mean,log_loss,brier_score,auc,decile_success_spearman,strictly_nondecreasing_realized_success,expected_calibration_error
PERIOD,HISTORICAL_DISCOVERY,SUMMARY_BAND,MIDDLE,,4395,0.35494880546075086,0.35365503848857466,0.6495922346778574,0.22856264643979698,0.5343078731967621,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,SUMMARY_BAND,TOP,,2191,0.40392514833409404,0.3848941222697201,0.6744608573039356,0.24071668277770206,0.5263858246597625,0.9515151515151514,False,0.010763338219988044
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,PROBABILITY_DECILE,BOTTOM,1,1436,0.3384401114206128,0.3262821721913518,0.639158277441703,0.22353309959574688,0.5501949317738791,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,PROBABILITY_DECILE,OTHER,2,1437,0.3312456506610995,0.3347724133447744,0.6346203221215224,0.221328516113736,0.5215090198410269,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,PROBABILITY_DECILE,OTHER,3,1438,0.34909596662030595,0.34061715572575196,0.646793927007226,0.22718689521630386,0.5113413865903905,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,PROBABILITY_DECILE,OTHER,4,1440,0.3423611111111111,0.345565702595932,0.642483744096687,0.22510339973536908,0.5066174596408858,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,PROBABILITY_DECILE,MIDDLE,5,1436,0.32729805013927576,0.35014042041044946,0.6333738351595037,0.22068153811052055,0.4994978194793181,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,PROBABILITY_DECILE,MIDDLE,6,1437,0.3542101600556715,0.3546854136326592,0.6498044736945263,0.22864988631852526,0.5046109680915927,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,PROBABILITY_DECILE,OTHER,7,1437,0.3500347947112039,0.359429912729134,0.6475711812794397,0.22755779249791894,0.5051468490981307,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,PROBABILITY_DECILE,OTHER,8,1436,0.3635097493036212,0.364630327566327,0.6551292626762824,0.2312402143137822,0.5155247868407153,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,PROBABILITY_DECILE,OTHER,9,1440,0.35833333333333334,0.37099127266983345,0.6528346541558512,0.23010983945809985,0.5011556595858921,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,PROBABILITY_DECILE,TOP,10,1441,0.38792505204718947,0.38134879293802476,0.6676349395572138,0.2373549943212218,0.5118611547182976,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SUMMARY_BAND,BOTTOM,,1436,0.3384401114206128,0.3262821721913518,0.639158277441703,0.22353309959574688,0.5501949317738791,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SUMMARY_BAND,MIDDLE,,2873,0.34075878872258963,0.3524137080054078,0.6415920139185805,0.22466709897891693,0.5111971248380726,0.8303030303030303,False,0.008042303561801691
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SUMMARY_BAND,TOP,,1441,0.38792505204718947,0.38134879293802476,0.6676349395572138,0.2373549943212218,0.5118611547182976,0.8303030303030303,False,0.008042303561801691
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,PROBABILITY_DECILE,BOTTOM,1,728,0.31868131868131866,0.3276384984027554,0.6260595483773265,0.21720185835765457,0.5128528225806451,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,PROBABILITY_DECILE,OTHER,2,729,0.31550068587105623,0.337292962847326,0.6245150993541733,0.21644045003652707,0.5053149777816502,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,PROBABILITY_DECILE,OTHER,3,727,0.3108665749656121,0.3442745871668785,0.6222551396047701,0.2153266343081169,0.5046720717856322,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,PROBABILITY_DECILE,OTHER,4,729,0.33058984910836764,0.3500269589648,0.6337631498960818,0.22091613905382468,0.5590180940072104,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,PROBABILITY_DECILE,MIDDLE,5,728,0.32967032967032966,0.35540578133459266,0.6348184326769928,0.22138251519799335,0.5197318989071038,0.9361745372672995,False,0.021302664161444048
