period,level_band,acceleration_band,rotation_role,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,HIGH,MID,MATURE_ROTATION,1050,1045,371,24,373,0.36076555023923446,0.5425837320574163,0.09665071770334928,0.30239234449760766,0.20191387559808613,-0.004053091244302379,-0.0026245448220185244,0.0003690655296110087,0.007229230717860419,0.05014441518800003,0.09091261164062105,-0.05140870976843385,-0.07977185157416511,1.1396577846271776,0.0011937953673787354,-0.004599728054186734,-0.057488771388208904,1.0288001175197155,0.8969737809990175,5,-0.005471020411241783,0.8780446127266741,0.000317462092239881,1.007622076330817,22,-0.008336475525737819,0.8172078973556323,-0.0025647557655764045,0.9394283047399747,20230518,-0.004765016505051953,0.8933737284580494,202402,-0.007094039751522458,0.8449516589001198
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,HIGH,HIGH,MATURE_ROTATION,1974,1966,404,24,466,0.32553407934893186,0.5910478128179044,0.08341810783316378,0.2807731434384537,0.1953204476093591,-0.0073818945065015915,-0.008746904682931005,-0.006730846028288228,0.0051487727712758126,0.04220259918943531,0.08165827241361051,-0.054999697326244185,-0.07957138932747027,1.026226550821575,-0.00615845197227571,-0.01190976896198049,-0.05952489632189294,0.8615261924129137,0.7512452632398318,8,-0.012689588059004914,0.7360359880951385,-0.006942788830739179,0.8445254869331136,36,-0.01529675170300748,0.6863530740363827,-0.009565171916045256,0.7888638243658709,20240612,-0.012002164758319988,0.7494429379422233,202402,-0.014111069929503445,0.7098081544717385
STRESS_PREVALENCE_SEEN_NOT_BLIND,LOW,LOW,NO_ROTATION,801,801,183,12,193,0.3732833957553059,0.5355805243445693,0.09113607990012484,0.3196004993757803,0.19850187265917604,-0.0003244453652519285,0.003152162387085826,0.014510751809888579,0.017428666385558886,0.054066979875780456,0.09713974644292439,-0.04472252068783232,-0.07093993690654386,1.3693238347659669,0.0026017656479802617,-0.0031996892044147966,-0.05715672279531541,1.0648090740536231,0.926158830303167,4,-0.004154057459180212,0.9046130249843624,0.0016418480846919334,1.0406936286243096,17,-0.0070237721499127135,0.8413482989723795,-0.0012446041113584173,0.9696553299751408,20251208,-0.003415302062859242,0.9212813997613288,202512,-0.007355741546986334,0.8363574191293349
STRESS_PREVALENCE_SEEN_NOT_BLIND,LOW,MID,OTHER,785,785,193,12,188,0.354140127388535,0.5464968152866242,0.09936305732484077,0.2929936305732484,0.18471337579617833,-0.0029548480053311348,0.0018272302734616988,0.004088848995726048,0.013997365220551622,0.05285932550837989,0.09176435302693152,-0.04945058497866447,-0.07852909278257977,1.1685395790958093,-0.0007073397140268447,-0.006490030857088303,-0.057749908932290275,0.9829964238517063,0.8551255722760388,4,-0.007442507046151081,0.8347103715661605,-0.0016653066187550915,0.9601720628182926,16,-0.010265910672959632,0.7755088959410723,-0.004505169651038653,0.893908629166927,20250514,-0.006725684721421124,0.8500564175365333,202507,-0.008309953629047013,0.8181171016550647
STRESS_PREVALENCE_SEEN_NOT_BLIND,LOW,HIGH,EARLY_ROTATION,641,641,172,12,185,0.34477379095163807,0.5491419656786272,0.1060842433697348,0.29329173166926675,0.20124804992199688,-0.002859280307156126,0.0026882479608552456,0.00219769787968181,0.02318279700295261,0.05300784678282623,0.0907279255858491,-0.049345145746803765,-0.07215110534788981,1.257471041481454,0.0016422153363268542,-0.004153077611466301,-0.0573233279921311,1.041360160809076,0.9032158627795455,3,-0.005012987431073598,0.8837231117987034,0.0007773248113361319,1.0194857575401182,13,-0.007811632272413044,0.8216481818645697,-0.002037695880534135,0.9497202514944363,20251017,-0.004436024939823908,0.8967832787344143,202512,-0.006081392229258815,0.8604751573145976
STRESS_PREVALENCE_SEEN_NOT_BLIND,MID,LOW,OTHER,869,869,199,12,222,0.3084004602991945,0.5995397008055235,0.09205983889528194,0.2566168009205984,0.17836593785960875,-0.005878413688196827,-0.005424095016599969,0.0017397768634111988,0.0019574425181667706,0.046210492423958215,0.08642919751943881,-0.05235487501207452,-0.08322501039787791,1.038500291033218,-0.010593348169244331,-0.01631929219771912,-0.06058910682303381,0.7668123483256707,0.6665134386805183,4,-0.017201034871868134,0.6501129035268612,-0.011480221046927629,0.7484531496680049,16,-0.019668853206284663,0.6054652030640338,-0.013962421696647366,0.6983090325188636,20250423,-0.016530520892495605,0.6625856828493595,202508,-0.020462762070334983,0.5952228995977773
STRESS_PREVALENCE_SEEN_NOT_BLIND,MID,MID,OTHER,677,676,215,12,216,0.3224852071005917,0.5887573964497042,0.08875739644970414,0.2618343195266272,0.1849112426035503,-0.004499668404587399,-0.00819250918424927,-0.00697543707862632,0.006842717052036796,0.04202740356810042,0.08323799053903282,-0.05402779483284068,-0.08197176020120227,1.0154471531991327,-0.006680414995176477,-0.012428626828517112,-0.05975411942203222,0.8466006806482126,0.7350449554448457,3,-0.013280548668407294,0.7181400113374782,-0.007537265044360098,0.8276933075189331,13,-0.016024911630305963,0.6649485360371644,-0.010297614545877895,0.7680878754864018,20250410,-0.012706125644660586,0.7295298969026197,202512,-0.016273448382878374,0.6665259463066796
STRESS_PREVALENCE_SEEN_NOT_BLIND,MID,HIGH,EARLY_ROTATION,825,824,199,12,229,0.29854368932038833,0.5776699029126213,0.12378640776699029,0.2487864077669903,0.15048543689320387,-0.006870795329027056,-0.00465424204900929,-0.008476106030311579,-0.0015910033100872845,0.03976883268682736,0.07494097491064969,-0.05102575888067441,-0.07757202502271938,0.9660824877099816,-0.008144641501486973,-0.01388424599517528,-0.05880069706707775,0.812867672396188,0.7046925593972234,3,-0.014585825769923693,0.6908999631139812,-0.00885024372970861,0.7973959964307441,15,-0.017250718350280584,0.6397694141299373,-0.011530671268857276,0.739892576401096,20250418,-0.014109121155713162,0.7002738216739014,202507,-0.017261939417365608,0.6446652149323305
STRESS_PREVALENCE_SEEN_NOT_BLIND,HIGH,LOW,LATE_EXHAUSTION,729,726,174,12,196,0.3402203856749311,0.5909090909090909,0.06887052341597796,0.28512396694214875,0.2024793388429752,-0.004837289958882301,-0.005088837575345657,-0.0024256241534183105,0.01866838930990694,0.04916969285291246,0.09698340073787896,-0.05522933516791341,-0.08195467595577759,1.1833784906941833,-0.0035933760500747817,-0.009358212146164814,-0.05946905335641997,0.9170919024151114,0.7995131430240875,3,-0.010132705053425232,0.7838177169115745,-0.004372329284869324,0.8995363808581731,14,-0.012926373079704788,0.7284104343463755,-0.007182301078501047,0.8374820780557344,20250117,-0.00960065381803919,0.7946024697410576,202512,-0.013619238033407676,0.7196429128885569
STRESS_PREVALENCE_SEEN_NOT_BLIND,HIGH,MID,MATURE_ROTATION,578,575,178,12,198,0.3408695652173913,0.5860869565217391,0.07304347826086957,0.28,0.18956521739130436,-0.004215387260237305,-0.002626635865293477,-0.002544762481425023,0.003617233264056861,0.049883991128219334,0.08798879297874901,-0.05320683245974821,-0.08406890462626672,1.0466270896463845,-0.004093719392983915,-0.009856428532725704,-0.05982168800243124,0.9052283004331008,0.78821680068978,3,-0.01081966435466964,0.7687328758281718,-0.005062567389587981,0.8834104569652429,11,-0.013323897718963579,0.7191887667000726,-0.0075814899434731835,0.8278423121628117,20251031,-0.010150737564986183,0.7822723551212365,202512,-0.01741196156176866,0.6506676851256022
STRESS_PREVALENCE_SEEN_NOT_BLIND,HIGH,HIGH,MATURE_ROTATION,935,934,184,12,237,0.3683083511777302,0.5417558886509636,0.08993576017130621,0.3083511777301927,0.21734475374732334,-0.0019134891421222061,0.006918614521186052,0.007717277514574067,0.019058747642343322,0.055968482465158675,0.09624387786053346,-0.0444830860871019,-0.07243954362881715,1.3286096659262596,0.003816701162986534,-0.0019924185466352966,-0.05789975995362396,1.094978086117526,0.9539904621665058,4,-0.002765212436905079,0.9364183390459101,0.0030394696207392143,1.0753128592779702,20,-0.005758201223860462,0.8698771843848144,2.906574006950715e-05,1.0007078088062373,20251105,-0.002176467557818309,0.9497941573593024,202512,-0.007152879528197375,0.8416036229351981
