period,cohort,interpretation_status,retained_pct,average_stocks_per_day,mfe_retention_vs_stage_a,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MATURE_ROTATION,PRIMARY_2D_DEFINITION,0.20956340956340958,6.734966592427617,0.9625639048469906,3024,3011,449,24,512,0.33776154101627365,0.5742278312852873,0.08801062769843905,0.28827632015941546,0.19760876785121223,-0.0062265974593417855,-0.0066220737116080095,-0.00426674520530427,0.005870818123046295,0.04495889202188305,0.08487009057775066,-0.053753406393692936,-0.07964096191059751,1.0656587833911801,-0.0036067752967729226,-0.00937274048352002,-0.05901140344566289,0.9169418567395609,0.7995396242835406,12,-0.010123955066905875,0.7843358952261874,-0.004362338485295408,0.8999428328757403,57,-0.012827548066481424,0.7308432139100814,-0.007081725152715894,0.8400066489427945,20230518,-0.009431655485225208,0.7983465685943504,202402,-0.011674978200461154,0.754878184679319
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LATE_EXHAUSTION,PRIMARY_2D_DEFINITION,0.10304920304920305,4.018918918918919,1.0670715758922866,1487,1479,370,24,369,0.35294117647058826,0.5584854631507775,0.08857336037863421,0.2988505747126437,0.2041920216362407,-0.0034389969054284494,7.990262228096814e-05,0.00405730397222065,0.011499308405794223,0.05165586503280871,0.09408462216679249,-0.04987882844870929,-0.07699615087384216,1.2219392930556972,0.0006370065661755258,-0.005153616176987444,-0.05856612209234237,1.0153161918382236,0.8849828538256853,6,-0.005896858898490937,0.8689292375590154,-0.00011053557335513648,0.9973530634587641,30,-0.008716874127838246,0.8094050000728187,-0.002947021740208038,0.9305790680754951,20231003,-0.005265611526409147,0.8825628258076582,202411,-0.006088271270782194,0.8655634528257421
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,NO_ROTATION,PRIMARY_2D_DEFINITION,0.10651420651420651,3.8233830845771144,1.052891728662111,1537,1532,402,24,380,0.37010443864229764,0.5156657963446475,0.11422976501305483,0.3048302872062663,0.2003916449086162,0.00012007145798994944,0.007604575438404847,0.01337848487030559,0.016405375232360398,0.055431712088116224,0.09283437279348467,-0.0385492518185323,-0.06690648897803697,1.387524202980654,0.005304004206458556,-0.0005135033318800402,-0.05611550802655908,1.1377357015174956,0.987638247195405,7,-0.0013342884178562068,0.968025954874338,0.004478468347913341,1.1157665932076717,34,-0.00438322119304351,0.8968229220200551,0.0014117325293516328,1.0358466136795703,20230410,-0.0006262189913822837,0.9849346422635051,202302,-0.0012832908938506407,0.969419719860683
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_SCORE_TOP15,DESCRIPTIVE_ONLY_COMPOSITE_GATE_FAILED,0.5,15.0,0.9637150984988256,7215,7191,481,24,569,0.34195522180503407,0.5390070921985816,0.11903768599638437,0.2852176331525518,0.18815185648727575,-0.004176984105849857,-0.00011867949919093801,0.0035491803043739487,0.009810627321039557,0.048390982590699676,0.08497159231598518,-0.046332504547499063,-0.07126783303862654,1.1922853367792356,-0.0003600220922328042,-0.006144660438423896,-0.05720093822047212,0.9911318133767252,0.8597605132770721,29,-0.006888834129724878,0.8434103039441502,-0.001108506266053093,0.9728050131738462,144,-0.009734642254638323,0.782275448787145,-0.003970943692249042,0.9041450855249011,20230815,-0.006358223334111831,0.855189069164979,202302,-0.007218539985110542,0.8377554940005377
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_SCORE_TOP10,DESCRIPTIVE_ONLY_COMPOSITE_GATE_FAILED,0.3333333333333333,10.0,0.9445738833669417,4810,4796,481,24,527,0.33882402001668055,0.5389908256880734,0.12218515429524604,0.27898248540450377,0.18265221017514596,-0.004161583173936518,-0.000600253396491108,0.002712762315831391,0.008299461261272924,0.04765778057628923,0.08328389485108861,-0.04642756468049764,-0.07128492342534626,1.1683241118763126,-0.0008767787092641515,-0.006658571681326705,-0.05720093822047206,0.9784009980879517,0.8480641924803589,20,-0.007431021186866726,0.8311454754656984,-0.001653697918586787,0.959431867962592,96,-0.010255318217998664,0.7706773860854169,-0.004494506840442749,0.8914963327675252,20230406,-0.006885149125674205,0.8431566895407533,202302,-0.007814764398734495,0.8245375499937069
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_SCORE_TOP5,DESCRIPTIVE_ONLY_COMPOSITE_GATE_FAILED,0.16666666666666666,5.0,0.9185610187185764,2405,2396,481,24,449,0.337228714524207,0.5421535893155259,0.12061769616026712,0.27879799666110183,0.1823873121869783,-0.005263210621792396,-0.0030459490066470406,0.0017210820465389154,0.006002555426259345,0.04625036704763789,0.08099031811527234,-0.04758505704940494,-0.07206530301129402,1.1238462162932916,-0.0017509177351345282,-0.007527423018869769,-0.0572122472415831,0.957303079392809,0.8299251757597038,10,-0.008307482919847993,0.8130838656562122,-0.0025354942761223534,0.9384288773587466,48,-0.011146135881853047,0.7532089986628201,-0.005390742454453543,0.871177810964429,20230406,-0.007825844163439457,0.823551623833924,202304,-0.008414847563240102,0.8110978342559727
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_TOP30,BASELINE,1.0,30.0,1.0,6840,6831,228,12,374,0.3391889913629044,0.5675596545161763,0.09325135412091934,0.28326745718050067,0.18972332015810275,-0.0037983906938703522,-0.0010462847586278834,0.0014693950957149792,0.011456332010479279,0.04930058067445031,0.08959494345232409,-0.05014986328717448,-0.07786109310910065,1.1507023581955331,-0.002817923119751409,-0.008588202419471625,-0.05894502260238402,0.9333657809753131,0.811637079763121,27,-0.009335353570130597,0.7960592868527571,-0.0035693829531455714,0.9159299440309362,132,-0.01213256539678634,0.7390414826741774,-0.006382907806500789,0.8519827143530154,20250410,-0.009038663567783763,0.8024596311736631,202512,-0.012024498965239671,0.7445410450090885
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_ROTATION,PRIMARY_2D_DEFINITION,0.21432748538011695,6.850467289719626,0.9135386014203452,1466,1465,214,12,270,0.31877133105802047,0.5651877133105802,0.11604095563139932,0.26825938566552904,0.1726962457337884,-0.005115586367239161,-0.0014415894235327254,-0.003805861452628464,0.009248591229611398,0.045561466158182504,0.08184843933577106,-0.050290418936093456,-0.07520014139707722,1.0884080510379497,-0.003862474106921332,-0.0096264446750678,-0.0581953548817237,0.907712916389373,0.787119300783655,6,-0.010399759381859018,0.7709600041225892,-0.004640244600725371,0.8895835240257154,28,-0.013152844554549573,0.714695120251709,-0.007409358940221932,0.8263498676396978,20251211,-0.009837855276485931,0.7827411383605575,202512,-0.011833457874874918,0.7439015561538244
STRESS_PREVALENCE_SEEN_NOT_BLIND,MATURE_ROTATION,PRIMARY_2D_DEFINITION,0.22119883040935673,7.239234449760765,1.0391021917424466,1513,1509,209,12,264,0.35785288270377735,0.558648111332008,0.08349900596421471,0.2975480450629556,0.20675944333996024,-0.002790620631794958,0.003281425010102069,0.003806957436575738,0.013174804125103617,0.053650004984217584,0.09309830211035053,-0.04780724391630775,-0.07687087734222568,1.2110997731414082,0.0008024587377492843,-0.004988976361083264,-0.05921689905637954,1.0194148471391484,0.8879823845677365,7,-0.00583388611383743,0.8696192373899753,-4.733209570838901e-05,0.9988601500300837,31,-0.008646998845917754,0.8098372397860472,-0.0028768525854382526,0.9318267390859849,20250820,-0.005065894099340129,0.8863307261013428,202512,-0.011027449702396504,0.7650117455824588
STRESS_PREVALENCE_SEEN_NOT_BLIND,LATE_EXHAUSTION,PRIMARY_2D_DEFINITION,0.10657894736842105,4.189655172413793,1.0824651146689597,729,726,174,12,196,0.3402203856749311,0.5909090909090909,0.06887052341597796,0.28512396694214875,0.2024793388429752,-0.004837289958882301,-0.005088837575345657,-0.0024256241534183105,0.01866838930990694,0.04916969285291246,0.09698340073787896,-0.05522933516791341,-0.08195467595577759,1.1833784906941833,-0.0035933760500747817,-0.009358212146164814,-0.05946905335641997,0.9170919024151114,0.7995131430240875,3,-0.010132705053425232,0.7838177169115745,-0.004372329284869324,0.8995363808581731,14,-0.012926373079704788,0.7284104343463755,-0.007182301078501047,0.8374820780557344,20250117,-0.00960065381803919,0.7946024697410576,202512,-0.013619238033407676,0.7196429128885569
