period,feature,feature_family,ordered_bucket_correlation_path_success_rate,q5_minus_q1_path_success_rate,ordered_bucket_correlation_downside_first_rate,q5_minus_q1_downside_first_rate,ordered_bucket_correlation_mae10_mean,q5_minus_q1_mae10_mean,ordered_bucket_correlation_mfe10_mean,q5_minus_q1_mfe10_mean,ordered_bucket_correlation_net_mean,q5_minus_q1_net_mean
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_turnover_share_change_1d,TURNOVER,-0.8029028550099526,-0.010163400621729046,0.6890320995550706,0.021626037854641234,-0.9762289854698252,-0.004185893327266113,-0.6342596991727787,-0.004442101430473078,-0.8656564199496197,-0.003676466932218578
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_turnover_share_change_3d,TURNOVER,-0.7376457619388258,-0.02310129476778583,0.8717432685401105,0.03435038348267028,-0.8565909619655855,-0.0044705646046607345,-0.6326826193584455,-0.006425952465472742,-0.9526661867657521,-0.005796843775379378
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_turnover_acceleration,TURNOVER,-0.5382112034269604,-0.021022773529724925,0.6046518085768435,0.021248614425009915,-0.31980075178214495,-0.0013887976978534805,-0.4279560556469115,-0.005625219847196189,-0.6607613230052501,-0.00463209857669169
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_breadth_up_change_3d,BREADTH,-0.272312627113555,-0.013784261150834198,0.565374949180418,0.02639580975255129,-0.6879556010259474,-0.005059350754331587,-0.5962230982345437,-0.008329804378754052,-0.5870454651793815,-0.0051859950907817065
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_breadth_ma20_change_3d,BREADTH,-0.9956470821922179,-0.06312263694829046,0.9144535109808735,0.05636388168179868,-0.4234695511768168,-0.0030999495665983146,-0.9655334557831666,-0.018174841772771816,-0.9760345025145475,-0.010132906767907944
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_breadth_newhigh_change_3d,BREADTH,-0.7332556256718884,-0.040775246391498265,0.5704094239346584,0.04143025017395774,-0.34347327602081146,-0.003537340243694634,-0.6503029265129634,-0.013515937990292687,-0.5840392627482986,-0.007876198204821352
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_volume_expansion_change_3d,VOLUME,-0.9531400435793208,-0.024169510643963055,0.9058146211930601,0.024872442289635477,-0.9120853461268144,-0.005098264065814595,-0.8580132973410088,-0.01020365447448994,-0.9630493360571991,-0.0051380362267469375
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_3d_vs_0050,RS,-0.6817316784478461,-0.059599887964419895,0.6585424014111931,0.04870273206597464,0.11979175919312997,-0.001858307826414718,0.12434789017363294,-0.0011042504732467345,-0.6781675573420104,-0.008951665941975787
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_20d_vs_0050,RS,-0.4917350552853377,-0.06208156824402894,0.8157520840666715,0.0884240096478568,-0.946162515545934,-0.015637829829728278,0.02159857917123019,-0.004776465591840681,-0.7192994078108772,-0.014051292654818233
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_acceleration_3v20,RS,-0.9104126840641239,-0.02445184173167725,-0.6821158225283477,-0.016746251785658695,0.3209249101468653,0.0003914362795347931,-0.939001086462796,-0.020237132566706853,-0.5063116412092891,-0.0005247519994390614
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_turnover_share_change_1d,TURNOVER,-0.22649167071051196,-0.003267084224173211,0.33356462260456154,0.0041438270481735096,-0.09646324701443482,-0.00046229049336186934,-0.3738735865007194,-0.003949346424297492,-0.2419084739206763,-0.0007389431911900652
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_turnover_share_change_3d,TURNOVER,-0.5102694575898501,-0.03125680687885091,0.10029266489115378,0.01638944105528517,0.29710886429665273,-0.0005532932479993258,-0.7248480618712498,-0.008912728871914063,-0.3055367759441943,-0.00408535715744329
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_turnover_acceleration,TURNOVER,-0.6033957168212002,-0.021155182109894477,-0.01595351816120083,0.000744318369777397,0.8510497617729021,0.00200187075304524,-0.719666805906164,-0.011399104675148444,-0.4882728375967109,-0.0014147121182902303
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_breadth_up_change_3d,BREADTH,0.7995236527104139,0.022304470807523458,-0.731847007889809,-0.045440595514055326,0.9377038837429239,0.00610126516737608,-0.42260054434374944,3.92610667134391e-05,0.8447290626132564,0.0075357796968107205
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_breadth_ma20_change_3d,BREADTH,-0.52605019959866,-0.014638704789900314,-0.5809292327427279,-0.02898368285679298,0.6321410612533381,0.0049661693614726915,-0.33850515513679086,-0.007816394215900746,0.5683497996881168,0.0021429770092053543
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_breadth_newhigh_change_3d,BREADTH,0.46776122817830795,0.0037397600549653465,-0.8882547682637021,-0.02745133273435163,0.9047040895358142,0.006131604746945268,0.14959159000846392,-0.002775371797515705,0.832281720744496,0.0031859746489443456
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_volume_expansion_change_3d,VOLUME,0.464185090397991,0.04387688277668633,-0.5789767420759293,-0.05304518664047153,0.5892172095556583,0.007521192944372215,0.022634205391327683,0.00039582810643182254,0.597472332994634,0.009912576160963558
