row_type,signal_date,stock_code,stage_a_rank,stage_a_percentile,stage_b_original_rank,in_stage_a_top30,in_two_stage_top5,time_slice_type,time_slice,cohort,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,candidates_per_day,candidates_per_month,winner_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,mfe5_mean,mfe10_mean,mfe10_median,mae5_mean,mae10_mean,mfe_abs_mae,day1_return,day3_return,day5_return,day10_return,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,universe_winner_rate,universe_plus10_rate,universe_plus15_rate,universe_mfe10_mean,universe_mae10_mean,signal_volatility20_mean,universe_volatility20_mean,signal_atr20_mean,universe_atr20_mean,winner_rate_lift,mfe10_lift_difference,mfe10_lift_multiple,mae10_improvement_vs_universe,top1_positive_net_removed_count,top1_removed_net_mean,top1_removed_net_pf,top1_extreme_mfe_removed_count,top1_extreme_mfe_removed_mean,top1_extreme_mfe_removed_lift,top5_positive_net_removed_count,top5_removed_net_mean,top5_removed_net_pf,top5_extreme_mfe_removed_count,top5_extreme_mfe_removed_mean,top5_extreme_mfe_removed_lift
SIGNAL_DETAIL,20210806,8415,239,0.5882352941176471,337,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210818,6271,96,0.826007326007326,296,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210901,3169,98,0.7974947807933195,229,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210901,3552,172,0.6430062630480167,411,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210901,6129,133,0.7244258872651357,376,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210901,6269,312,0.3507306889352818,271,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210901,6278,253,0.47390396659707723,277,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210910,2376,346,0.2467248908296943,258,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210910,6233,66,0.8580786026200873,428,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210917,3169,112,0.7424593967517401,316,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210917,3324,241,0.4431554524361949,225,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210917,8016,133,0.6937354988399071,95,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210927,1708,284,0.3626126126126126,208,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211015,2484,247,0.41428571428571426,235,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211015,8086,216,0.48809523809523814,264,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211019,3014,300,0.29314420803782504,366,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211019,3162,155,0.635933806146572,228,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211019,4952,217,0.4893617021276596,387,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
