stock_id,stock_name,period,threshold_id,threshold_return,threshold_horizon_sessions,episode_ordinal,signal_date,entry_date,first_hit_day,cooldown_sessions,blocked_through_calendar_index,mfe10,mae10
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,16,20210513,20210514,4,10,579,0.13080895008605853,-0.04302925989672979
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,17,20210616,20210617,7,10,602,0.10666666666666669,0.03166666666666673
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,18,20210819,20210820,4,10,648,0.09496124031007747,0.036821705426356655
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,19,20210908,20210909,4,10,662,0.10320284697508897,0.028469750889679624
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,20,20211015,20211018,8,10,686,0.09532374100719432,0.012589928057553879
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,21,20211102,20211103,6,10,698,0.09046052631578938,-0.023026315789473673
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,22,20211130,20211201,7,10,718,0.08448275862068955,0.0017241379310344307
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,23,20220310,20220311,9,10,781,0.10604332953249718,-0.03192702394526792
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,24,20220415,20220418,5,10,805,0.08639308855291583,-0.002159827213822907
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,25,20220506,20220509,5,10,819,0.09401709401709413,-0.01175213675213671
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,26,20220523,20220524,9,10,830,0.09892473118279566,-0.010752688172043001
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,27,20220705,20220706,10,10,860,0.08333333333333326,-0.014705882352941124
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,28,20220728,20220729,6,10,877,0.0847457627118644,-0.02421307506053272
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,29,20220826,20220829,10,10,898,0.09049773755656099,-0.020361990950226283
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,30,20221014,20221017,3,10,931,0.11811023622047245,0.011811023622047223
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,31,20221123,20221124,10,10,959,0.08286038592508516,0.0011350737797957144
