period,start_date,end_date,stock_id,stock_name,sessions,market_sessions,coverage,longest_missing_run_sessions,discontinuity_count,median_close,median_daily_turnover_proxy,median_atr14_pct,p75_atr14_pct,median_daily_range_pct,p75_daily_range_pct,median_abs_close_return_pct,p90_abs_close_return_pct,abs_return_ge_5pct_rate,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,median_er10,median_er20,p75_er20,forward_evaluable_observations,median_mfe5,median_mae5,median_mfe10,p75_mfe10,median_mae10,median_day5_close_return,median_day10_close_return,median_abs_day5_close_displacement,median_abs_day10_close_displacement,up8_before_down5_rate,up10_before_down5_rate,down5_before_up8_rate,down5_before_up10_rate,swing_persistence,up5_raw_hit_count,up5_raw_hit_rate,up5_deoverlapped_episode_count,up5_episodes_per_year,up5_episodes_per_252_sessions,up8_raw_hit_count,up8_raw_hit_rate,up8_deoverlapped_episode_count,up8_episodes_per_year,up8_episodes_per_252_sessions,up10_raw_hit_count,up10_raw_hit_rate,up10_deoverlapped_episode_count,up10_episodes_per_year,up10_episodes_per_252_sessions,up15_raw_hit_count,up15_raw_hit_rate,up15_deoverlapped_episode_count,up15_episodes_per_year,up15_episodes_per_252_sessions,repeatability_qualifying_years,swing_repeatability_pass,repeatability_status
2021,20210101,20211231,1590,亞德客-KY,244,244,1.0,0,0,970.0,724799190.0,4.524814197154789,5.219282096794515,3.902439024390244,5.250174107815088,1.8262387867908514,5.183646654538109,0.11885245901639344,0.9288014722797389,3.425141242937862,0.27258448763697857,0.19968099605314582,0.2898565925421838,234,0.026840607465344668,-0.024097644818135366,0.04915196500286856,0.09346064814814814,-0.037676620704550356,0.006107714484541171,0.005481574165102643,0.04147553516819574,0.060869565217391286,0.2905982905982906,0.18803418803418803,0.4230769230769231,0.42735042735042733,0.4932465698197416,70,0.29914529914529914,15,15.0,15.491803278688524,73,0.31196581196581197,13,13.0,13.426229508196721,46,0.19658119658119658,10,10.0,10.327868852459016,16,0.06837606837606838,6,6.0,6.19672131147541,3,True,PASS
2022,20220101,20221231,1590,亞德客-KY,246,246,1.0,0,0,890.0,471366521.0,3.6213675085067605,4.184037210789136,3.171572750210261,4.262226508487968,1.538825757575757,4.159550250753252,0.07723577235772358,0.8408411441499619,3.389711366073836,0.24128361347228033,0.19384048099160858,0.33763373085887316,236,0.023743961352657106,-0.026324376900921487,0.03277697765936949,0.07374367888748418,-0.044042899511688494,-0.0032382046400868947,-0.012149791062241178,0.03378440571048125,0.04739665166942281,0.2033898305084746,0.1440677966101695,0.4491525423728814,0.4533898305084746,0.4725774388465836,61,0.2584745762711864,14,14.0,14.341463414634145,52,0.22033898305084745,9,9.0,9.21951219512195,38,0.16101694915254236,7,7.0,7.170731707317072,17,0.07203389830508475,3,3.0,3.073170731707317,3,True,PASS
2020,20200101,20201231,1605,華新,245,245,1.0,0,0,14.7,134852564.0,2.7349222374521354,3.362582840256984,2.3648648648648622,3.3854166666666594,1.041666666666674,3.600253508890603,0.036734693877551024,0.5540166204986208,2.2732375392905344,0.28448732524639714,0.25907449583179193,0.39106074360770493,235,0.013986013986013957,-0.01388888888888884,0.02564102564102555,0.06469733016124779,-0.023054755043227737,0.0,0.0,0.021929824561403466,0.03164556962025311,0.20851063829787234,0.14893617021276595,0.1574468085106383,0.16170212765957448,0.4231619292087883,46,0.19574468085106383,9,9.0,9.257142857142858,50,0.2127659574468085,10,10.0,10.285714285714285,36,0.15319148936170213,8,8.0,8.22857142857143,8,0.03404255319148936,3,3.0,3.0857142857142854,3,True,PASS
2021,20210101,20211231,1605,華新,244,244,1.0,0,0,25.825000000000003,346251270.54999995,3.260453000055434,4.430546548628078,2.743532621661307,4.199484725800516,1.320007965350728,4.852684144818978,0.09836065573770492,0.675471241414799,3.5547101197507702,0.31032235006949077,0.18487012700583141,0.3152143256354098,234,0.019361102364566007,-0.018584607355559668,0.03252942991931562,0.08709633649932147,-0.03017945627427354,0.0018772893772893706,0.009638240974595202,0.03325427773251083,0.05131343927075627,0.26495726495726496,0.20512820512820512,0.3333333333333333,0.3333333333333333,0.5914540304392688,55,0.23504273504273504,10,10.0,10.327868852459016,65,0.2777777777777778,9,9.0,9.295081967213115,48,0.20512820512820512,8,8.0,8.262295081967213,25,0.10683760683760683,4,4.0,4.131147540983607,3,True,PASS
2022,20220101,20221231,1605,華新,246,246,1.0,0,0,37.375,1980298828.775,4.117589580928745,4.843057768028044,3.3970960567360002,4.6791094868735135,1.6029524649339322,5.72421294063038,0.11382113821138211,0.9444901438043274,3.227892991289058,0.2654074571886473,0.22382950152138537,0.37600635715315006,236,0.0243496743496745,-0.027287034216671724,0.03800948839116769,0.1060021629416007,-0.03439054358610444,0.0,0.008112365450249404,0.03685980685980672,0.055866708385481856,0.2966101694915254,0.2542372881355932,0.3220338983050847,0.326271186440678,0.5200501867594969,70,0.2966101694915254,13,13.0,13.317073170731708,72,0.3050847457627119,11,11.0,11.268292682926829,62,0.2627118644067797,10,10.0,10.24390243902439,42,0.17796610169491525,6,6.0,6.146341463414634,3,True,PASS
2020,20200101,20201231,1760,寶齡富錦,244,245,0.9959183673469387,1,0,113.5,266069428.4,5.530018990952006,6.931709029873939,4.621848739495799,6.9045063629901176,1.8867924528301883,8.946069299552903,0.22633744855967078,0.8474576271186418,6.033871362191241,0.3147128336854466,0.26290276016327196,0.40751886870878945,224,0.012553180314092138,-0.03823759506495844,0.026261349270198853,0.10187854958497167,-0.065032640474188,-0.013930666431438199,-0.03090015357879,0.04821431474226634,0.07217261904761901,0.24553571428571427,0.21428571428571427,0.5758928571428571,0.5758928571428571,0.4938064262895506,63,0.28125,12,12.0,12.39344262295082,65,0.29017857142857145,9,9.0,9.295081967213115,57,0.2544642857142857,8,8.0,8.262295081967213,39,0.17410714285714285,6,6.0,6.19672131147541,3,True,PASS
2021,20210101,20211231,1760,寶齡富錦,244,244,1.0,0,0,78.6,54063786.099999994,3.579589185674391,4.470663000556084,3.1375683062554396,4.7888795986622075,1.4796547472256394,4.729540600717957,0.09836065573770492,0.5776417203296469,3.490703381722879,0.2682551176989506,0.1864799838969003,0.31274957066473785,234,0.008267995527123317,-0.03336272568264936,0.01957275137817316,0.05318142818142829,-0.04701466029449758,-0.017056277056277158,-0.021845174973488868,0.034071528019491815,0.042883387690271835,0.1282051282051282,0.11538461538461539,0.45726495726495725,0.45726495726495725,0.43221108083900284,34,0.1452991452991453,8,8.0,8.262295081967213,42,0.1794871794871795,6,6.0,6.19672131147541,37,0.1581196581196581,5,5.0,5.163934426229508,24,0.10256410256410256,4,4.0,4.131147540983607,3,True,PASS
2022,20220101,20221231,1760,寶齡富錦,245,246,0.9959349593495935,1,0,121.0,1169602616.0,6.139889152520493,6.9223966518289854,5.7827795641300455,7.634997452878248,2.8839193580680322,7.571807502841992,0.25,1.0582306830907107,3.3296961305178883,0.253833897110044,0.2095231885585739,0.3261185781270111,225,0.03539823008849563,-0.033175355450236976,0.07079646017699126,0.13805970149253732,-0.05292479108635095,0.0,0.01449275362318847,0.05150214592274671,0.07692307692307687,0.4311111111111111,0.3288888888888889,0.47555555555555556,0.5066666666666667,0.4206491445984321,96,0.4266666666666667,16,16.0,16.45714285714286,107,0.47555555555555556,17,17.0,17.485714285714284,83,0.3688888888888889,16,16.0,16.45714285714286,52,0.2311111111111111,8,8.0,8.22857142857143,3,True,PASS
2020,20200101,20201231,1785,光洋科,245,245,1.0,0,0,40.55,275476950.0,3.5339163408208885,5.341283460034034,3.053435114503824,5.0,1.671309192200554,5.947292961015913,0.12653061224489795,0.8547008547008739,4.122213624223066,0.32425951536058384,0.19246748453304202,0.38410552940531634,235,0.015706806282722363,-0.02067183462532307,0.042321644498186206,0.08116952119014886,-0.03264812575574372,-0.0023809523809523725,0.009302325581395321,0.038961038961039085,0.05450236966824629,0.225531914893617,0.1829787234042553,0.39148936170212767,0.39148936170212767,0.5644515752421372,62,0.26382978723404255,13,13.0,13.37142857142857,60,0.2553191489361702,12,12.0,12.342857142857142,50,0.2127659574468085,7,7.0,7.2,34,0.14468085106382977,5,5.0,5.142857142857142,3,True,PASS
2021,20210101,20211231,1785,光洋科,244,244,1.0,0,0,48.65,406992600.0,3.634216439030792,4.540351197431292,3.1185031185031185,4.213321400821408,1.3975794356667015,4.644117647058824,0.08196721311475409,0.660793753024691,2.7207676044885303,0.22857091099898472,0.15224405846217026,0.27564740696763407,234,0.016570001545557322,-0.025243099151273873,0.034687164339419985,0.07266695067322476,-0.035344740561275956,-0.004347826086956608,-0.0020836224242004042,0.03459772850924908,0.04016064257028118,0.2222222222222222,0.1623931623931624,0.3418803418803419,0.3418803418803419,0.407243789703077,58,0.24786324786324787,14,14.0,14.459016393442623,53,0.2264957264957265,10,10.0,10.327868852459016,38,0.1623931623931624,9,9.0,9.295081967213115,13,0.05555555555555555,4,4.0,4.131147540983607,3,True,PASS
