time_slice,model,entry_gap_quintile,boundaries_fit_period,entry_gap_lower,entry_gap_upper,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,-0.004796163069544446,911,911,320,141,0.06805708013172337,0.20209984732185807,0.33674978498790126,-0.0015511643925368455,-0.0073300407916669745,-0.0057987299296855,0.9177683508737854,0.665126320049432,-0.0009264675305936951,-0.003793739009582669,-0.0037211937559112496,-0.0008298724329292541,0.014192851649344687,-0.020205331173845542,0.02536024892381968,-0.031080720791278108,0.8159479020491792,-0.012751372197143104,-0.014262149804281917,-0.012710985411745071,4,-0.0022154175313860497,-0.007990417502302703,0.8830700749383208,0.6365597645094544,20,-0.004263329918731162,-0.010026613288241216,0.778950548233061,0.551989476546148,False
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,-0.004796163069544446,0.0,3362,3350,685,157,0.021194029850746268,0.19913553867601266,0.10643017309546286,4.1300608892208295e-05,-0.0057472609642161875,-0.004056775932005488,1.003280150918644,0.6301530915996825,-0.0004318918061076657,-0.0005030912940940554,-0.0002606952590315837,-0.00081773239886566,0.010430844412199946,-0.011370996409678017,0.018382018255357114,-0.019889629967915195,0.9242011181208463,-0.0010318101674279352,-0.0009900183751146252,-0.0010313189840068335,15,-0.0004798408707147049,-0.00626541938675067,0.9620610210000402,0.5986139700161967,71,-0.001980722337827826,-0.0077576594322986666,0.8460223878220794,0.5113606983574486,False
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.0,0.005141388174807249,1891,1887,589,150,0.036036036036036036,0.2040096738467102,0.1766388591117153,0.004326959664674038,-0.001486046218050049,-0.0011481302754488938,1.3763186750146803,0.8952622197291943,0.0007004440116813444,0.000981008553530989,0.0018099529893631033,0.003690199629155951,0.013036170580388987,-0.010388145189643197,0.02248726979237316,-0.017728999414213183,1.2683891102362672,0.0028326578187470686,0.007172763768678574,0.0028458041040045363,10,0.003626417602559668,-0.0021825809990067193,1.313720653307041,0.8469850758735249,46,0.0018234280551559367,-0.003975127561556956,1.1547189270712144,0.7266594859522616,False
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.005141388174807249,0.0117647058823529,956,953,384,149,0.05141657922350472,0.2127799468181051,0.24164203437581536,0.004599807102536126,-0.0012143586799331799,-0.0006653547196998679,1.347149035047527,0.9237926767310327,5.447165603416255e-05,0.001784216930656276,0.0009273127254307642,0.0037115165051491853,0.014728989306525468,-0.013059260075662545,0.02476557071840557,-0.021682734102172273,1.1421793304159202,0.007557102611302386,0.012193639631235391,0.007593832528699265,5,0.003927224766710892,-0.001883029140616754,1.2948339816830836,0.8824501162830832,24,0.002026442178985279,-0.00377281611557767,1.1490848019359357,0.7691987385895436,False
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.0117647058823529,,225,223,101,103,0.14349775784753363,0.25535575026377355,0.5619523261148631,0.019384393831953915,0.013485722039136339,0.013846776919509661,2.529502618838971,1.9276792453687541,-0.0003977095699763466,0.00592571516338893,0.009998235030745595,0.021522192325012963,0.024306438451819703,-0.015186744406617457,0.043553788406268,-0.02584547550049982,1.6851610412594547,0.018387103188886103,0.038135810754771605,0.01875141692281769,2,0.018096527877668085,0.012205452884114025,2.4150789379982074,1.8320797361064407,8,0.015336222604866771,0.009460966921739356,2.166675292808313,1.627469697716785,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,-0.004796163069544446,373,373,172,103,0.01876675603217158,0.1907934844222933,0.09836161905106848,-0.004786759268666869,-0.010547532561272659,-0.005797759632685216,0.7168493958875135,0.47248034479151485,-0.002497212925271026,-0.004036998790249273,-0.0036104761804554384,-0.0021732815734491523,0.009677061860401544,-0.01649430478434599,0.017560304010488893,-0.02452865771124681,0.7159097011018745,-0.011006643625661302,-0.01567276631477014,-0.010886007046103274,2,-0.00539013881561237,-0.011147531024620032,0.6828673668886824,0.44546171023953685,8,-0.006848644640982113,-0.01259749417238918,0.603571772515475,0.3834675071886065,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,-0.004796163069544446,0.0,2372,2372,458,157,0.01854974704890388,0.187660971230328,0.09884712269839327,0.0004115624660661322,-0.005378974271970837,-0.004071652034837609,1.036601129894411,0.6218156701014879,-8.994241497649724e-05,0.0002076845101521991,-7.656607736175064e-05,-0.0001636652341507175,0.010128579227987725,-0.009918880750592407,0.017354481105487436,-0.017395048774728344,0.9976678611387486,-0.0009484910385320593,-0.0005362509497919753,-0.0009478134158581075,11,-0.00015517512847497205,-0.005942489816740016,0.9862639409970965,0.584133620578506,51,-0.001674935249752701,-0.007453453879933894,0.8542470981686815,0.4872306156469616,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.0,0.005141388174807249,1399,1399,417,147,0.01858470335954253,0.19022685271982215,0.09769758103980844,0.0002129364098488738,-0.005576569562536397,-0.0035340624846023606,1.0185996139421167,0.610969999124803,-0.00013225638503686337,0.0003531318759387721,0.00045943108453354233,-0.0008038408143790971,0.010532589262673395,-0.009904757185763375,0.01785814675054031,-0.017735855499991123,1.006895142472786,0.0027478320043375576,0.002960563534918794,0.00274762712506992,7,-0.0003045766656255032,-0.006091157183110636,0.9735288900954268,0.5771977423835655,31,-0.00177108442636609,-0.007549160293196381,0.8487269199531494,0.4850287307403694,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.005141388174807249,0.0117647058823529,581,581,251,134,0.024096385542168676,0.19616471419320658,0.12283751255302551,-0.0013365987735409577,-0.007117128746220845,-0.005796511025400172,0.9091548912528482,0.5988803282439473,-0.0007154630966024977,-0.00037861205045458714,-0.0007245475641517063,-0.0010651008741333272,0.011263559071697623,-0.012408112595700595,0.019335050039854248,-0.021358472478577722,0.9052637101855977,0.007432071647311552,0.00608263547958211,0.007419234253123067,3,-0.0019283494708486597,-0.007705470736661847,0.8696119051040261,0.567963916374557,12,-0.003416467470290164,-0.009185005746962186,0.7725877187234704,0.49302714607055287,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.0117647058823529,,85,85,54,64,0.10588235294117647,0.21839348079161816,0.484823780258372,0.009539373834231066,0.0036961321970259177,0.004918617887673146,1.6742406553602316,1.2257977896855612,0.0011671792287554596,0.0018727102744631433,0.007341904864079936,0.01346320299767648,0.02055518098745614,-0.011948196496650514,0.030939284413218877,-0.01907303784240614,1.6221476971240447,0.017577882221823188,0.02725286890837731,0.017713495074146244,1,0.008161884130515698,0.0023265089474672354,1.570093189693709,1.140455023861196,3,0.005875073733376115,5.305011129297405e-05,1.4005929627168614,1.0031264638854815,False
