time_slice_type,time_slice,model,ranking_mode,top_k,primary_evaluation,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent
YEAR,2022,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,True,2460,2447,246,321,0.08868001634654679,0.16079299393706092,0.5515166685761118,-0.0022376878318617526,-0.008012258489682941,-0.009512836429498994,0.8928085946716068,0.666058849964058,-0.0006317619529661668,-3.1926530588672186e-05,0.0004344890821361131,-0.0013879535272819854,0.017699405408272254,-0.01805670620091202,0.02959651825586724,-0.030976825448376204,0.9554406504691939,0.0004891516036982889,-0.001788182436905942,0.0004495053949558107,11,-0.0029162096296257815,-0.00868680755458613,0.8609335018346956,0.6395720169978718,51,-0.004829773500453812,-0.010589423211327484,0.7734625157870623,0.5678444087330121,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,20,False,4920,4899,246,427,0.09205960400081649,0.16079299393706092,0.5725349205006488,-0.002184552813039418,-0.007959269380973617,-0.009004066287961774,0.8974874378989228,0.6738864086939433,-0.00046993901124225485,0.00012461497225828543,0.00031916454799909633,-0.0018017511875161201,0.018367032383483337,-0.01845497117978475,0.03053701922986371,-0.031866945818768956,0.9582662676094316,0.00037514600313180414,-0.0018303954082150222,0.0003541574048243959,21,-0.002827806397867765,-0.008598751020941507,0.8678708720353727,0.6491952816522224,102,-0.0047968907924857435,-0.01055656750961663,0.7795872821503675,0.5764733882434196,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,30,False,7380,7348,246,500,0.09063690800217747,0.16079299393706092,0.5636869230611838,-0.0027006620060327285,-0.008472429730087308,-0.009354647468429157,0.8753863417799841,0.6581745319581042,-0.0004944946900359939,8.370183450892455e-05,-0.00010737384197754204,-0.0022715055450160124,0.0184461424512774,-0.01896111154750447,0.03058757651998097,-0.03262580612151555,0.9375270730800291,0.0003661573196474221,-0.002353408679724525,0.0003472533263082036,31,-0.00334959307450012,-0.009117558760172702,0.8460954822965789,0.6336983120609307,152,-0.0053465549487784255,-0.011103099637379373,0.7584030470732118,0.5613049987976195,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,5,False,1195,1186,239,202,0.09106239460370995,0.18439071989771025,0.4938556270848463,0.012463645206059082,0.006603799283180781,0.004236864973627003,2.145034264599391,1.4990643721459267,0.0007897714279051576,0.0033026066035002793,0.006953901590291097,0.012841807645582416,0.018248101813284387,-0.009647416454671343,0.03332193950804629,-0.017336989237806622,1.9220142004461434,0.0009847210256550246,0.01344819104103875,0.0009845458349796686,7,0.011553698750475164,0.005699145623624877,2.05517273519039,1.4281555445236773,33,0.00906231909618063,0.0032221348735366837,1.8093891413064942,1.2367287668604092,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,True,2390,2374,239,273,0.08930075821398484,0.18439071989771025,0.48430180360228514,0.009741576327091554,0.003897837681464399,0.0031415120379014233,1.7743715543155598,1.2597266740688557,0.000260193893359832,0.002586199833263399,0.0056641940252587135,0.00988663830020862,0.017675080806174123,-0.011096945026686122,0.03177775447059224,-0.019252609570342433,1.6505686854806472,0.0008991191154350549,0.01064761158419544,0.0009060352571038863,13,0.008873453570324043,0.003034764245173564,1.701500697692754,1.2011097080741953,64,0.006408439529066894,0.000583946420184897,1.4956826404086743,1.0378614349854294,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,20,False,4780,4754,239,366,0.09087084560370215,0.18439071989771025,0.4928168058246763,0.008841206117900834,0.0030023538648411715,0.0018212092640895773,1.6727446551227567,1.191871608045268,7.366697489285776e-05,0.0023259963651670284,0.004705602539969198,0.009731964865921181,0.017345532257163263,-0.011894849299336381,0.03189329254041321,-0.020000386887080886,1.594633779860252,0.0010313355730025935,0.009883553065868966,0.0010423469479681324,25,0.008027679798833195,0.002193563745564399,1.6076295952951745,1.139447018673015,124,0.005658106130348709,-0.00016237173512230173,1.4193065469999946,0.9898939583764036,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,30,False,7170,7138,239,445,0.09204258896049314,0.18439071989771025,0.4991714822283533,0.008279920268809695,0.0024442920565650034,0.0008080459790035827,1.615262061339977,1.1525298744513617,8.404017707840264e-05,0.0022297729294632647,0.004474449216022352,0.009430965024002378,0.01746719611237922,-0.012260674642019404,0.031854101774929464,-0.02044984813731852,1.5576693558325037,0.0011760626599434027,0.009473512105656126,0.0011935918368464315,37,0.007467964858634465,0.0016370562601988163,1.552051019299156,1.10162683264563,182,0.005126463014811294,-0.0006909594315065227,1.3712229687730377,0.9579818046967619,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,5,False,1210,1207,242,240,0.14498757249378624,0.19536350121729637,0.7421425782727008,0.012210860746051487,0.006352537099725904,0.0037365612705949967,1.8180388813887913,1.366387594277797,0.00029334595783425297,0.0030585124298980713,0.007663084660338448,0.014572132921517466,0.021232017534394278,-0.013659065218282149,0.03968353423582766,-0.022890011893900438,1.73366158216817,0.0008500966403042001,0.013097512048138919,0.0008866513020874319,7,0.011334312710429095,0.005481083119337232,1.7549128781729382,1.314292425229086,33,0.008728752740979721,0.0028905844016221685,1.5687752446109182,1.1621586170024198,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,True,2420,2417,242,344,0.14894497310715762,0.19536350121729637,0.7623991798830994,0.009722770560885084,0.003878573779624367,0.0008759486168540965,1.587379617565989,1.202628049291741,0.00045711995770793295,0.0027829235648482663,0.006346785603552556,0.01202285798032287,0.02137287329551729,-0.01471488376726219,0.03897923417352485,-0.02499920615029806,1.5592188783586676,0.0010139009719941751,0.01076927775589378,0.001046507195008697,13,0.008887098584996108,0.0030477587068101102,1.5340066257112581,1.1583674412526046,62,0.006413708822217102,0.0005886107314554756,1.3775307538532657,1.0299619409110419,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,20,False,4840,4833,242,457,0.14111318021932548,0.19536350121729637,0.722310868407144,0.007485697319043063,0.0016547824161547299,-0.0004896437112723648,1.4235845401533622,1.0813595709798207,0.0001000922620156828,0.0021021635999858373,0.005235057030214,0.010254504312780886,0.02125761865733613,-0.0158589365965997,0.038644604653745765,-0.026566738135570103,1.4546236145567548,0.0008904229209389387,0.00840349641553057,0.0009177990964875067,24,0.00667649606108735,0.000850273574278143,1.3759191217813298,1.0415972304477557,120,0.004198242651183652,-0.0016137166076552144,1.2316626497231429,0.9226294532920526,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,30,False,7260,7244,242,537,0.144809497515185,0.19536350121729637,0.7412310724003567,0.006452745607502427,0.0006275876732817769,-0.0019044247711477763,1.3472603212481074,1.0294444133579426,4.9514417525941264e-05,0.002034139643706834,0.004888559978720738,0.009283073026593293,0.02160075160370082,-0.016524654255883436,0.03877472378290023,-0.027705928244653715,1.3995100052416547,0.0009622344064463897,0.007436806301701488,0.0009840606941990612,35,0.005676922671720302,-0.00014372827015084573,1.3040326194168206,0.9932893083528563,175,0.0032306103828442312,-0.002575924301348146,1.1696581563793398,0.8820654274122298,True
YEAR,2025,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,5,False,1215,1209,243,218,0.08436724565756824,0.20333962689023227,0.41490803808306265,-0.00092555526153446,-0.006707898502206454,-0.007628971519061126,0.9534923933614661,0.7075998945702667,-0.0011539424718109436,-0.002143638646160612,-0.0028666879731105103,-0.001137921349102772,0.01536864383003508,-0.019642871956178417,0.027772020565194178,-0.03207794846007602,0.86576673067977,0.0008952226195755011,-2.3361855889852586e-06,0.0009232190759454747,6,-0.001631672439915439,-0.007409823040267762,0.9184180764271505,0.6786056741616651,27,-0.0038009519954632356,-0.009566764285897521,0.8132738267559149,0.592293822839208,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,True,2430,2420,243,300,0.08636363636363636,0.20333962689023227,0.42472604914465384,-0.0009782132394347337,-0.006760429502602667,-0.008105417503571943,0.9506786025233381,0.7049968572871305,-0.0006755975752447604,-0.0009710511083921618,-0.0019375352830702693,-0.0012725048955396462,0.016401119688538142,-0.019118157952313242,0.028363564406729914,-0.032016449942758415,0.8859059782530723,0.001171188546459979,0.00022938242601158452,0.0012075956654463182,11,-0.0016253421534396374,-0.007403778020740241,0.9184229361402705,0.6783917524454157,51,-0.0037063013426457906,-0.009472875201463808,0.8170669148727813,0.5953459747786554,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,20,False,4860,4828,243,403,0.09631317315658658,0.20333962689023227,0.47365668280968565,-0.00014251530629985753,-0.005929454081545589,-0.007724543021790021,0.9929042285945894,0.7437131405915246,-0.0008437093073128651,-0.0009091475564811029,-0.0010992380059170327,-0.00024214361569014576,0.017351168089608616,-0.019600287694080242,0.030624715772337087,-0.032810369941414314,0.9333852628611047,0.0013676545377445677,0.0012894754351748198,0.0014319907414746774,21,-0.0008202751871396605,-0.00660327849073562,0.9593365202148354,0.7158300809467459,103,-0.003015585914188653,-0.008786028087920925,0.8530585358515578,0.6283460373123964,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,30,False,7290,7237,243,473,0.1073649302197043,0.20333962689023227,0.52800790412418,0.000720858440230801,-0.0050710197258323165,-0.007602846189314862,1.0355343371159722,0.7825807812924821,-0.0008100586110806218,-0.0003270503169412306,-0.0002801519616256543,0.0005203244156825829,0.018421334352851673,-0.01974868403644424,0.032369278659495876,-0.033365799189374205,0.9701334733742663,0.001404679719628441,0.0021851018316182843,0.0014642433913874832,32,1.030017873603094e-05,-0.005777439838861245,1.0005054967920994,0.753388414581299,156,-0.0022089887305981816,-0.007984007929089763,0.8934563054572794,0.6650657099501739,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,5,False,7295,7255,1459,571,0.11536871123363197,0.19963761561329713,0.5778906489100929,0.006254153160163834,0.0004301600146155326,-0.0018212497827573863,1.3750538033971882,1.0221616498994737,-4.38938605636011e-05,0.0018785840997203366,0.003987442192156649,0.007403136357124625,0.019469219849350905,-0.015388350146479397,0.03454981160104683,-0.02620720117142248,1.3183327504167637,0.0007704880700667227,0.007029500527654303,0.0007753473674904695,35,0.0055016812179653676,-0.0003179319920628743,1.3283373319006686,0.9836993071732801,175,0.0031456834493193814,-0.002660382540093537,1.1840924254292806,0.8662443976741901,True
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,True,14590,14519,1459,719,0.11474619464150423,0.19963761561329713,0.5747724159547687,0.0050613697929236074,-0.0007556608325859638,-0.0026084893052489753,1.2899053737800539,0.9626639629868979,-0.00010010201062151411,0.0015404587556620759,0.0031702640170985187,0.005941804483799568,0.019235688104200663,-0.016045261951380806,0.033923772791676084,-0.027367177102988194,1.2395788087318653,0.0009552720358821057,0.00602985004333756,0.0009684802504139525,69,0.004323293873382478,-0.0014894323237877203,1.2464529926641295,0.9267591758637876,344,0.0020252178755311243,-0.0037743278568040427,1.1132521123667003,0.8179346540357414,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,20,False,29180,29027,1459,887,0.11461742515588934,0.19963761561329713,0.57412739980779,0.0045861284203275515,-0.0012280888206780342,-0.0029466608181597004,1.256456785460067,0.9406312089006044,-0.0002001231118966394,0.0013230767570198048,0.0028026198318801517,0.00554030317298563,0.019429623301720624,-0.016645828951387456,0.03433312227976476,-0.028202868994762337,1.217362754340379,0.0009507224971117486,0.005556011315751476,0.0009698828954239243,137,0.003851452010072705,-0.0019584799008090306,1.214357094829535,0.9057691875699827,681,0.0015539295906693451,-0.004242827986139334,1.0848572492280086,0.7997034437681172,False
