time_slice_type,time_slice,model,cohort,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent
YEAR,2021,LINEAR_RIDGE_NET_RETURN,RANK_TOP10_ONLY,2440,2432,244,351,0.1377467105263158,0.22823851953392735,0.6035208728465308,0.008525569453412615,0.0026887404795527385,-0.00028546619788493517,1.5210699966843473,1.1416186413802782,-8.967336941234127e-07,0.0027109768548061164,0.005065062435870832,0.011897111215237594,0.021157233134131915,-0.015844314136249656,0.03823882772574348,-0.02543600147999452,1.5033348600729726,0.0014520199522731101,0.009961903443364131,0.0014363339899515163,13,0.007759429744205022,0.001927086457698006,1.471709663597549,1.1009589988496935,61,0.005438114836427294,-0.00038101202806977997,1.3240328406691437,0.9804350740981433,False
YEAR,2021,LINEAR_RIDGE_NET_RETURN,N_COMPACT_UNION_RANK_TOP10,2487,2479,244,375,0.14037918515530456,0.22823851953392735,0.615054748172941,0.00825624191596115,0.0024210344823134833,-0.0005457637880075824,1.4926937362083987,1.1248407778839058,-0.00013507562320241623,0.0025941221454690547,0.004794252476843831,0.011680747562654727,0.021220602475463844,-0.016200232075752687,0.03867274288386088,-0.026038412263201985,1.4852189332033119,0.0014477096811416406,0.009688075397705855,0.0014318334817447053,13,0.0074979092162053285,0.0016671501616897621,1.4450936049826582,1.0855158772873743,62,0.005156143649827431,-0.0006612731732667162,1.2999989696635201,0.9667542205751599,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,N_COMPACT_ONLY,52,51,31,50,0.3137254901960784,0.19886319395779803,1.5775945460408125,0.008439746400939772,0.002603354208051388,-0.02114295086950392,1.296112437348954,1.082906337521551,0.004514769427209041,0.014471136910480622,0.016998430690914036,0.0024806768004319644,0.043771449274175055,-0.019100653927579717,0.06529636847036133,-0.0445221552928405,1.4666039422593153,0.0021876455475234955,0.010648063835529914,0.0022083174345901412,1,0.005789158069046674,-3.194312640783112e-05,1.1991326568018184,0.9990026864561088,2,0.003388575141496864,-0.00241853386368584,1.1142273960043705,0.9259998593480742,True
YEAR,2022,LINEAR_RIDGE_NET_RETURN,RANK_TOP10_ONLY,2460,2447,246,321,0.08868001634654679,0.16079299393706092,0.5515166685761118,-0.0022376878318617526,-0.008012258489682941,-0.009512836429498994,0.8928085946716068,0.666058849964058,-0.0006317619529661668,-3.1926530588672186e-05,0.0004344890821361131,-0.0013879535272819854,0.017699405408272254,-0.01805670620091202,0.02959651825586724,-0.030976825448376204,0.9554406504691939,0.0004891516036982889,-0.001788182436905942,0.0004495053949558107,11,-0.0029162096296257815,-0.00868680755458613,0.8609335018346956,0.6395720169978718,51,-0.004829773500453812,-0.010589423211327484,0.7734625157870623,0.5678444087330121,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,N_COMPACT_UNION_RANK_TOP10,2511,2497,246,354,0.09291149379255106,0.16079299393706092,0.577832973424945,-0.0020581168242096437,-0.007833729637969584,-0.009577556321065881,0.9021795926967506,0.675674892673787,-0.0005418346318782968,0.00023772744074593277,0.0007259557205873283,-0.001350427596791497,0.018191984634404485,-0.018100194730323524,0.03029050526599056,-0.031280822831313976,0.9683410640869701,0.0005245907919576447,-0.0015719042693633405,0.0004862125548463032,11,-0.0027253361130748373,-0.008497032900254378,0.8710378998692406,0.649763121636572,52,-0.004667612186072844,-0.010428204498634856,0.7827726370481757,0.5772517174786287,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,N_COMPACT_ONLY,37,37,31,37,0.4864864864864865,0.19696872801688303,2.46986661986662,0.035860505076346715,0.029864248670233004,0.0653071410897619,3.092398705741781,2.5281636363312208,0.006867220447975101,0.023297089967017376,0.02607865957040919,0.026753753880270455,0.04860869659355937,-0.01320900230881716,0.07815240616144814,-0.03593397120156451,2.1748892078492426,0.004025003020820944,0.04000191723081548,0.004141412154468768,1,0.03187759457794335,0.02590442144937914,2.8097323939734338,2.2897125973450287,2,0.029083154505365857,0.023125736507190218,2.605224839425425,2.1193867483277713,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,RANK_TOP10_ONLY,2390,2374,239,273,0.08930075821398484,0.18439071989771025,0.48430180360228514,0.009741576327091554,0.003897837681464399,0.0031415120379014233,1.7743715543155598,1.2597266740688557,0.000260193893359832,0.002586199833263399,0.0056641940252587135,0.00988663830020862,0.017675080806174123,-0.011096945026686122,0.03177775447059224,-0.019252609570342433,1.6505686854806472,0.0008991191154350549,0.01064761158419544,0.0009060352571038863,13,0.008873453570324043,0.003034764245173564,1.701500697692754,1.2011097080741953,64,0.006408439529066894,0.000583946420184897,1.4956826404086743,1.0378614349854294,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,N_COMPACT_UNION_RANK_TOP10,2427,2411,239,305,0.09539610120282041,0.18439071989771025,0.5173584725724857,0.010142406009265937,0.004296326775858609,0.003234017699892191,1.801775468730515,1.2849579113213232,0.0003615874987189216,0.0029040359738477612,0.005977481136486653,0.010145486610645075,0.018149798261227316,-0.011129357353288714,0.032489435147722755,-0.019508607239506776,1.6653897814872491,0.0009470899592754855,0.011098092425723825,0.000955686416457888,13,0.009279017354461768,0.003437951461460268,1.7295679178335248,1.2267958596894102,65,0.006786293074700938,0.0009595966761378865,1.5220056231041903,1.061930265964589,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,N_COMPACT_ONLY,42,42,34,41,0.47619047619047616,0.19564564564564565,2.4339436465299853,0.021326834625115133,0.015416669010094922,0.0070674338121938666,1.7690594955678602,1.5060663624865904,-0.003830267713817704,0.01260027571931582,0.01921324293147755,0.007012352832758266,0.049793142023469204,-0.02825078873196055,0.07416459065379202,-0.04884222519347265,1.5184523301305997,0.0028970851035174596,0.02429634240161321,0.0029695077764980773,1,0.018198460739522176,0.012306463053086436,1.6406233436498747,1.3943526299191287,2,0.015268005591343562,0.00939344200646348,1.524356370509507,1.293665130801383,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,RANK_TOP10_ONLY,2420,2417,242,344,0.14894497310715762,0.19536350121729637,0.7623991798830994,0.009722770560885084,0.003878573779624367,0.0008759486168540965,1.587379617565989,1.202628049291741,0.00045711995770793295,0.0027829235648482663,0.006346785603552556,0.01202285798032287,0.02137287329551729,-0.01471488376726219,0.03897923417352485,-0.02499920615029806,1.5592188783586676,0.0010139009719941751,0.01076927775589378,0.001046507195008697,13,0.008887098584996108,0.0030477587068101102,1.5340066257112581,1.1583674412526046,62,0.006413708822217102,0.0005886107314554756,1.3775307538532657,1.0299619409110419,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,N_COMPACT_UNION_RANK_TOP10,2462,2459,242,377,0.15453436356242375,0.19536350121729637,0.7910093881381676,0.009920969296427037,0.0040756457599740075,0.0008759486168540965,1.5925190154424604,1.2107939866092632,0.00038389088808447755,0.0029506050575231904,0.0065665461597838905,0.011937277981869145,0.021858294721533545,-0.014946078565357894,0.039580204068673776,-0.025406447630498683,1.5578802926057431,0.0010460659713939222,0.011000321560334701,0.0010793522639076635,13,0.00910069993973241,0.0032601439205214608,1.5406558497942202,1.167724491673405,63,0.006602444640617186,0.0007762972827165682,1.3842211259871473,1.0391217378613031,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,N_COMPACT_ONLY,36,36,30,34,0.2777777777777778,0.2021567117148659,1.3740715082938846,0.0015544676652055056,-0.004238588533107587,-0.049645393570826535,1.0455504964719775,0.8859051579235635,-0.004039738109178376,0.0012236139652632304,-0.009157362555475008,-0.014773292289870751,0.024151739762716718,-0.031998244137298064,0.048670971911288774,-0.06215183749636036,0.7830978756523325,0.0059601968447049024,0.007274391702014212,0.005719924036808707,1,-0.003581359293358715,-0.009344744420091311,0.8979707113317134,0.755444336871651,1,-0.003581359293358715,-0.009344744420091311,0.8979707113317134,0.755444336871651,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,RANK_TOP10_ONLY,2430,2420,243,300,0.08636363636363636,0.20333962689023227,0.42472604914465384,-0.0009782132394347337,-0.006760429502602667,-0.008105417503571943,0.9506786025233381,0.7049968572871305,-0.0006755975752447604,-0.0009710511083921618,-0.0019375352830702693,-0.0012725048955396462,0.016401119688538142,-0.019118157952313242,0.028363564406729914,-0.032016449942758415,0.8859059782530723,0.001171188546459979,0.00022938242601158452,0.0012075956654463182,11,-0.0016253421534396374,-0.007403778020740241,0.9184229361402705,0.6783917524454157,51,-0.0037063013426457906,-0.009472875201463808,0.8170669148727813,0.5953459747786554,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,N_COMPACT_UNION_RANK_TOP10,2466,2456,243,327,0.08916938110749185,0.20333962689023227,0.4385243667021563,-0.0009410892522331648,-0.006723464406958603,-0.00816759281879241,0.953046367900882,0.7092568055766727,-0.0007249090814424843,-0.0009388817506349982,-0.0020433633701250615,-0.0014703991733067124,0.016514728126107533,-0.01930695400388468,0.02866122998904429,-0.03245817386455388,0.8830204098556493,0.0012413857364993997,0.0003326480342917531,0.001273737286524918,11,-0.0016145472981954514,-0.007393006774511125,0.9198064106339744,0.6817356071896554,52,-0.003739464370905875,-0.009505803068726323,0.8173776698794006,0.5976431853554659,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,N_COMPACT_ONLY,236,235,175,203,0.34893617021276596,0.2059266118763746,1.694468563500891,0.010662588025978742,0.004814425419808316,-0.01223388589321848,1.3674460870713343,1.1507506706439,-0.00010567830081685377,0.008312198098497044,0.00830606993646704,0.004058303551179127,0.03801790752066452,-0.025759409709244972,0.06499435784903392,-0.04961773207459932,1.309901826051141,0.0026304922742411085,0.01328151857652654,0.002618930550547797,2,0.009206671638932119,0.003366931663187379,1.3145731927494817,1.1045290852908392,6,0.006658612940489182,0.0008338010462808834,1.2236054517469,1.0254416248974703,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,RANK_TOP10_ONLY,14590,14519,1459,719,0.11474619464150423,0.19963761561329713,0.5747724159547687,0.0050613697929236074,-0.0007556608325859638,-0.0026084893052489753,1.2899053737800539,0.9626639629868979,-0.00010010201062151411,0.0015404587556620759,0.0031702640170985187,0.005941804483799568,0.019235688104200663,-0.016045261951380806,0.033923772791676084,-0.027367177102988194,1.2395788087318653,0.0009552720358821057,0.00602985004333756,0.0009684802504139525,69,0.004323293873382478,-0.0014894323237877203,1.2464529926641295,0.9267591758637876,344,0.0020252178755311243,-0.0037743278568040427,1.1132521123667003,0.8179346540357414,False
