time_slice_type,time_slice,model,score_decile,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent
YEAR,2023,LINEAR_RIDGE_NET_RETURN,6,11949,11931,239,896,0.1921046014583857,0.18439071989771025,1.041834434861769,0.0031002858686879045,-0.0027045132400829977,-0.011206663610591455,1.1245132349241775,0.9032529073049181,-0.0023341554512284154,0.00018096491358300033,0.002178571733748853,0.006913281703246949,0.025482556318978427,-0.024129512708504434,0.047209362107304205,-0.03857503631898486,1.2238319548663634,0.003485367485314561,0.0065934970704753055,0.003493211201787401,52,0.002330818425854478,-0.0034695271823796258,1.0932020049657736,0.8764274120223221,257,-0.00030518731476294797,-0.006090109422094787,0.9880071308016863,0.7868345819526947,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,7,11923,11891,239,867,0.16811033554789337,0.18439071989771025,0.9117071381962805,0.00443330597455197,-0.001379306419275909,-0.007725314198620356,1.1979423637039972,0.9456372369693609,-0.0020091835765211523,0.0001926322072524122,0.002283617676824392,0.006725927724054016,0.0237273953187017,-0.022000301895452008,0.04327798547580767,-0.0346339426347595,1.2495829866153554,0.0032124162567936103,0.007651274884397453,0.0032179689098454835,53,0.003665449861077797,-0.0021427209073213867,1.1629289601205781,0.9159251060268986,264,0.0010346790529495377,-0.004758073513589383,1.045171654334218,0.8166329890486502,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,8,11906,11877,239,821,0.1445651258735371,0.18439071989771025,0.784015193138428,0.0054309186201587705,-0.0003879034829422631,-0.005796371637958139,1.277248859880939,0.9827458277096431,-0.0018239596042894373,0.00038167601864765044,0.002588625428084329,0.0073980379473087415,0.02132853449146895,-0.019337576768286843,0.03938207445436621,-0.030470963426365773,1.2924459887700783,0.0025172502592423125,0.007956081095753697,0.0025251624755949264,55,0.004654957020033506,-0.0011593592049384239,1.2365355095099206,0.9486698345257344,272,0.002091531982083725,-0.0037077863049161885,1.1043276372709687,0.8388525136564766,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,9,11928,11901,239,724,0.11730106713721536,0.18439071989771025,0.6361549388292832,0.0066305902130147695,0.0008045810814932291,-0.0019010832583847906,1.4058412414364503,1.0421530362189364,-0.0008864202001666128,0.001026219494573433,0.0027744547058319345,0.0074751680518782325,0.01905368659420127,-0.01630118876071701,0.03524350950295963,-0.025632573235064956,1.3749501144406004,0.001998305513042362,0.008641669124330776,0.0020110789113160065,57,0.005873061399988698,5.146029060184794e-05,1.3577531564733683,1.0026831578503252,285,0.003405990055633688,-0.002401318797076771,1.203479430435978,0.877204623875681,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,10,11795,11747,239,537,0.09364092959904656,0.18439071989771025,0.5078397093465081,0.007182848232256515,0.0013536377789172402,-0.000442788945916477,1.5052862093154509,1.0802861671687032,-0.0001306334651327605,0.0016912577308572342,0.0038104594152744762,0.00795014839952237,0.017384829971072237,-0.01314767285045762,0.031621064741323104,-0.02180728447106622,1.4500230316744733,0.0012939200773376188,0.008489032809132395,0.0013061845768758806,59,0.006384449692620918,0.0005598710614498735,1.4468661502296207,1.0330399600234692,291,0.004066268267511673,-0.0017449674914712418,1.2789605679629321,0.8990673593990577,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,1,14064,14031,242,722,0.24545648920248023,0.19536350121729637,1.2564091433305502,-0.008230058196405784,-0.013968572953414636,-0.05625155696796125,0.7869816898077856,0.6684050779106478,-0.004790009705330351,-0.004727234763578492,-0.005019259385517245,-0.004373531577963302,0.032331708439215824,-0.04073337193004202,0.05961867641562676,-0.06454098314767139,0.923733626418701,0.0048768651813680145,-0.003387361238565618,0.004842696957840166,50,-0.008918549112585225,-0.014653097797811496,0.7699841050856824,0.6533949466313136,247,-0.011463424539755056,-0.017183181000315118,0.7085157820907345,0.5992753709024149,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,2,13949,13923,242,852,0.24276377217553688,0.19536350121729637,1.2426260312847217,-0.003982970549967653,-0.009746528176817558,-0.036580445115488525,0.8852861317754153,0.744022142565807,-0.0040139297114957,-0.00200336487129851,-0.0007096176410227051,0.0003653408580840704,0.033062191906875545,-0.0361748252356348,0.05913374233234186,-0.057369821558042294,1.030746492256647,0.0042943392987385585,0.00032165433601020723,0.00430462488597786,53,-0.004697632920900186,-0.010457068057369191,0.8652181091394958,0.7264063398604119,262,-0.007317086215471243,-0.013061274720601396,0.7932256473309982,0.6634204779774693,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,3,13966,13943,242,921,0.2294341246503622,0.19536350121729637,1.1743960525931105,-0.00600163319982804,-0.011753414644589013,-0.038413878976569664,0.8296140637882193,0.6957687831567395,-0.003759035700782469,-0.0033294994549097237,-0.002374320692054783,-0.001917977851457669,0.03121191972900462,-0.03596335698510997,0.055936659256964276,-0.05727543505677162,0.9766256546374489,0.004376681841555671,-0.0016327022676576625,0.004368930932170377,52,-0.006710000992289383,-0.01245770293711916,0.8102140037333962,0.6787412454968895,256,-0.009279913478321503,-0.015012661316517614,0.741381098535921,0.6185396141506906,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,4,13946,13914,242,969,0.22236596234008912,0.19536350121729637,1.1382165089924285,-0.004667225902870023,-0.010426716236332994,-0.03206124309336131,0.8617476723979298,0.7188566556180935,-0.003319895474703827,-0.003264015098333165,-0.002898091871319647,-0.002153590090180511,0.029022275721873467,-0.034065012221647845,0.05312429933642779,-0.054703069658991556,0.9711392736750328,0.0038776187053729473,-0.000789783262662088,0.0038774426402079353,53,-0.005372756767145504,-0.011128150726247876,0.8414546992977727,0.7010863028199568,265,-0.00795565901447752,-0.013696018949872213,0.7688261929955659,0.6377374537336193,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,5,13928,13904,242,1008,0.207566168009206,0.19536350121729637,1.0624613436792218,-0.003909657280480687,-0.009673911175006393,-0.025292089476359136,0.8768000767102617,0.7241076016258507,-0.0033907367319872053,-0.0028720369945097928,-0.0024710260620485944,-0.0015223870139667787,0.027221221025865067,-0.03193365932322485,0.050117912737474214,-0.05120008017712023,0.9788639502926091,0.003477145609988325,-0.0004138736929089103,0.0034957835875717765,53,-0.004616057184182615,-0.010376226643002367,0.8550946904663204,0.7052061231268876,264,-0.007159282756679968,-0.012904636021358344,0.7786824392615019,0.6389577641133698,False
