signal_date,year,month,period,model,eligible_stocks,evaluable_stocks,daily_spearman_ic_net_return,top10_candidates,top10_evaluable,top10_winner_rate,universe_winner_rate,top10_gross_mean,top10_net_mean,top10_median_net,universe_net_mean,universe_net_median,bottom10_net_mean,top_decile_net_mean,bottom_decile_net_mean,top10_minus_universe_net_spread,top10_minus_bottom10_net_spread,top_decile_minus_bottom_decile_net_spread,top1_score,top10_mean_score,universe_mean_score,universe_median_score,top10_vs_universe_score_spread,top10_vs_median_score_spread,score_vs_entry_gap_spearman,top10_entry_gap_mean,universe_entry_gap_mean,top10_entry_gap_vs_net_spearman,top10_signal_close_to_exit_proxy_mean,top10_gap_payoff_erosion,monthly_mean_daily_ic,yearly_mean_daily_ic
20230223,2023,202302,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,441,440,0.19400949155044692,10,10,0.0,0.16136363636363638,-0.004612630428992004,-0.010373767331528541,-0.006350561354329352,-0.012550914131561054,-0.02898660832342919,-0.017746248563966446,-0.0006075901736806635,-0.01825419378069342,0.002177146800032512,0.007372481232437904,0.017646603607012756,0.0005220673038959936,-0.0002649320022355855,-0.0076437269074088356,-0.007783034235606723,0.00737879490517325,0.007518102233371137,-0.19814241075704786,-0.0005457533498527178,0.0056559865206518315,-0.32515880772997574,-0.00523145194947836,-0.0006188215204863566,0.05481771971856543,0.10048784650792071
20230224,2023,202302,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,458,457,0.12896530139972923,10,10,0.1,0.21663019693654267,0.02877859782318576,0.022829379493569328,0.01512755637263107,-0.002686720295913471,-0.018656763430391677,-0.0025841112661352224,0.001973569041492501,0.0022189318790884946,0.0255160997894828,0.02541349075970455,-0.0002453628375959937,0.0005945240436326773,-0.0003162534201831626,-0.00764372694863606,-0.007713265372159563,0.007327473528452898,0.007397011951976401,-0.1139922329542229,-0.0066309871507069015,-0.0028576769183999433,-0.030303030303030335,0.021968684015808825,-0.0068099138073769334,0.05481771971856543,0.10048784650792071
20230301,2023,202303,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,465,464,0.1522725125512939,10,10,0.0,0.1939655172413793,0.0030300771039247333,-0.002773886268837623,-0.004496197640094356,-0.006797613210654802,-0.01916114936870597,-0.008625851997703023,-0.00458698446596708,-0.018702542744900418,0.004023726941817179,0.0058519657288654,0.014115558278933339,0.0003694290297460651,-0.00013919723792069403,-0.007643726891061844,-0.007804051286365856,0.00750452965314115,0.0076648540484451615,-0.16214140246754813,0.0017628654908782848,0.003624666329699928,-0.47195097419972226,0.0047717480433370095,0.0017416709394122761,0.07141493672508459,0.10048784650792071
20230302,2023,202303,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,467,467,0.2242000175262813,10,10,0.1,0.14989293361884368,0.0011544095452976854,-0.004636658370842093,-0.018112074399130942,-0.023901121816757534,-0.04347427194352941,-0.032021980585635615,-0.01885340682613421,-0.03218010916773142,0.01926446344591544,0.02738532221479352,0.013326702341597208,0.0007330945422480582,-0.0001128574449293233,-0.007643726916440586,-0.007873246642779379,0.007530869471511262,0.007760389197850055,-0.1990239223778339,0.002980751489589184,0.00667222384555873,0.8267515394048879,0.004250999666569855,0.0030965901212721696,0.07141493672508459,0.10048784650792071
20230303,2023,202303,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,470,470,0.227276591384541,10,10,0.0,0.11702127659574468,-0.010179114228431962,-0.01590374016462905,-0.01909758388327292,-0.026296134495475375,-0.055642763555659364,-0.05997112299748342,-0.016445198114156914,-0.04125247661600602,0.010392394330846325,0.04406738283285437,0.024807278501849106,0.0015903987870529443,4.918301796509612e-05,-0.007643726908743706,-0.007742981924584854,0.007692909926708802,0.00779216494254995,-0.21359463746988097,0.00468358863956615,0.00929919759066647,0.22424242424242422,-0.005527651811327705,0.004651462417104257,0.07141493672508459,0.10048784650792071
20230306,2023,202303,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,475,475,0.22621251598759304,10,10,0.1,0.08421052631578947,-5.7332594815484586e-05,-0.005841609759355564,-0.005898188660859953,-0.03278597357680927,-0.057732963849129466,-0.0426424967836965,-0.01916893721052655,-0.04176801213749684,0.026944363817453708,0.036800887024340936,0.02259907492697029,0.0006900540702617216,0.00011124349306184796,-0.007643726883025335,-0.00782227555777415,0.007754970376087183,0.007933519050835999,-0.1218381124836065,0.001532048695434185,0.0035300038911221104,-0.03126526997403609,0.001486745580012183,0.0015440781748276677,0.07141493672508459,0.10048784650792071
20230307,2023,202303,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,486,486,0.19545011779346375,10,10,0.1,0.07818930041152264,-0.018019903526204008,-0.023706689676857167,-0.025657116519922592,-0.03204083777816753,-0.057146360034008664,-0.0572644891919013,-0.024835510078285467,-0.03424359229110385,0.008334148101310366,0.03355779951504413,0.009408082212818386,0.0012055741918083748,-7.485069588077263e-05,-0.007643726923556456,-0.007770918256951378,0.007568876227675683,0.007696067561070605,-0.002874611236751522,-0.00471908770096402,-0.0027042947715517104,-0.3090909090909091,-0.022671241792958697,-0.004651338266754689,0.07141493672508459,0.10048784650792071
20230308,2023,202303,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,485,485,0.2902477424979299,10,10,0.1,0.05567010309278351,-0.0062317883132881665,-0.011983567774891807,-0.01447713805731253,-0.04242574722374213,-0.0599578369121714,-0.057376003393344956,-0.021620257912658664,-0.05139494478862063,0.03044217944885032,0.045392435618453145,0.029774686875961968,0.0011666288402522396,0.00031839990262884463,-0.007643726909388347,-0.00781750541865143,0.007962126812017191,0.008135905321280276,-0.29395513601347373,0.0008353686838762919,0.005298699726237665,-0.4601573393548866,-0.005466918977939383,0.0007648693353487831,0.07141493672508459,0.10048784650792071
20230309,2023,202303,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,481,481,0.20860706391155445,10,10,0.1,0.09147609147609148,0.02122855472112095,0.015318103119061784,0.0071991824889744436,-0.022884792045273918,-0.037204517981074214,-0.03153860131819754,-0.009952065484314073,-0.03159477498692785,0.0382028951643357,0.046856704437259325,0.02164270950261378,0.0007850701417592273,-0.0001576448437076541,-0.007643726938905185,-0.007746044846219564,0.007486082095197531,0.0075884000025119094,0.0765120227867493,-0.007173260958453409,-0.008265128357380915,-0.206687884851222,0.013865878346548866,-0.0073626763745720854,0.07141493672508459,0.10048784650792071
20230310,2023,202303,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,488,488,0.06140871152517139,10,10,0.2,0.1987704918032787,0.040721792325048314,0.03469997165022367,0.017142631475387825,0.011618196008939659,0.010766816350561852,0.021366913472803513,0.009581349488407226,-0.0066766482445416945,0.02308177564128401,0.013333058177420157,0.01625799773294892,-5.1653976783292734e-05,-0.0009936892373916145,-0.00764372688270935,-0.0075260029154328835,0.006650037645317736,0.006532313678041269,0.11756121552844649,-0.0023437405864668915,-0.0072935351630005404,0.042424242424242496,0.03826557384577718,-0.002456218479271133,0.07141493672508459,0.10048784650792071
