time_slice_type,time_slice,model,spread,daily_observations,mean_daily_spread,median_daily_spread,positive_day_rate,remove_best_signal_date_mean_spread,remove_best_calendar_month_mean_spread
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,1459,0.004208576931031902,0.0035806164131008816,0.5538039753255655,0.004135344434274685,0.003734423766009008
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,735,0.005148862696912743,0.004546147131028501,0.601360544217687,0.0050719816561327746,0.004616335930847047
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,735,0.016761075758457613,0.020218612010434497,0.7034013605442176,0.01663661657911078,0.01607891796796072
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,735,0.011560111271397883,0.01260336535162394,0.6829931972789116,0.011465576834438678,0.010843082827378598
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,481,0.009106207046870311,0.007169496160736023,0.656964656964657,0.008934413626545205,0.007578736182166652
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,481,0.015890162776698875,0.014007584457079093,0.681912681912682,0.01563452882690762,0.013863843853963574
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,481,0.01047419711759759,0.009868890737428967,0.6756756756756757,0.010321201457946993,0.008819623278380423
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,243,-9.23539185999743e-05,0.0030021724740568433,0.5555555555555556,-0.00030526936906898256,-0.0009436178961898092
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,243,0.001741954118600388,0.0011713141130011186,0.5185185185185185,0.001321300290955331,-9.119716380900873e-05
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,243,0.004268843296453664,0.004034386474231528,0.5720164609053497,0.003881936209732291,0.002982276554722754
YEAR,2020,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,245,0.0026491315257590226,0.0031585262785040064,0.563265306122449,0.0024464454044082124,0.0017242651781502521
YEAR,2020,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,245,0.012897155466598177,0.014409437603908948,0.6653061224489796,0.012540564581488174,0.011096718602298501
