time_slice,model,market_proxy,regime_dimension,regime_group,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent,top10_minus_regime_universe_net_spread
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,0050,0050_VOLATILITY20,HIGH,2080,2077,208,346,0.15647568608570053,0.20436294002466984,0.7656754500929153,0.013326504477216875,0.007461739514682133,0.006283323980579786,1.8916770417505258,1.4316897721163442,0.0007134113673840416,0.003906895512651765,0.00822537215778537,0.015620130585072764,0.022365359025120293,-0.013286821981754144,0.041543985516670094,-0.022451111028689463,1.8504200288165042,0.00109237138302582,0.01445580052062741,0.0011292960434105357,12,0.012454946817260485,0.006595251804252888,1.8285462809152524,1.3793557018576115,58,0.009840444325239677,0.003995797834333698,1.6400381574881133,1.2247165221173701,False,0.014390952926177973
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,0050,0050_VOLATILITY20,LOW,2730,2714,273,330,0.09100957995578482,0.17885223996061608,0.5088534534195683,0.00698131497678524,0.001153259583328589,-0.00021115177378277497,1.4879388287080606,1.068054908400267,8.872654036833491e-05,0.0017506789538053993,0.004312041064123251,0.007401295445077196,0.01737878625421806,-0.012643070118910173,0.030717148191772934,-0.021922556661265784,1.4011663268292978,0.0008534458610199384,0.007841590477351553,0.000860275500566313,14,0.006146423592675113,0.0003232204956459541,1.4273705136647343,1.0189751489783758,68,0.0037894425341916645,-0.0020201668328644657,1.2582161900109,0.8837749839860694,False,0.006795063686193171
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL_MA20,1320,1316,132,233,0.08814589665653495,0.20841535826891375,0.42293378659168795,0.0008492857772681713,-0.0049434474074256515,-0.008452495087681013,1.0482435490107325,0.7618153688026821,-0.0011179092759370404,-0.0010070902821309004,-0.0007210081965140573,0.0019689633245891297,0.015730956195596148,-0.017150177136786376,0.028245488543744326,-0.02638981191348349,1.0703179180035272,0.001308625928443547,0.0021643320482227766,0.0013150462709546054,6,0.00020235032836468642,-0.00558661770802689,1.0114420730905662,0.7320534452981442,27,-0.0018567235570144626,-0.007633893346334973,0.8966930182138247,0.6397309674120926,False,0.0005557868518489238
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,0050,0050_CLOSE_VS_MA20,BELOW_MA20,820,817,82,203,0.0966952264381885,0.20658135283363802,0.4680733527583107,-0.0037281108622282196,-0.00949439419208167,-0.008798632019771966,0.8423669598137935,0.6441870216178188,-0.0006696081575970324,-0.001411284664112874,-0.004126908734209665,-0.00626277305151532,0.018588256191818683,-0.02438718811442409,0.030279090795320453,-0.04335581532901566,0.6983859158348321,0.0016897668944690014,-0.0019227543801386851,0.0018053564820895345,4,-0.00440778215539588,-0.01017009910079692,0.8145413711262587,0.6207302547102345,18,-0.00648737534109334,-0.012237809936765582,0.7317423092543988,0.5514788233293082,False,0.0009698892308940988
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,1410,1405,141,226,0.06975088967971531,0.20563050027454996,0.3392049797407806,-0.0005110062654284484,-0.006295701580652155,-0.008592478549014095,0.9702536443403812,0.6906917643976072,-0.0012310918246724917,-0.001542140770099755,-0.0019600233803573185,0.0002952123271219093,0.014464631341347057,-0.017264115753927004,0.02619527883385789,-0.026656703948252602,0.9826900911946783,0.001641411735685398,0.0011358342218887188,0.0016468404873171672,6,-0.0011168829023855615,-0.006898006934573647,0.9352624030950001,0.6625477202821264,29,-0.0031976918835006163,-0.008966964189648426,0.817700169250681,0.568545607672003,False,0.00014375250046308984
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,0050,0050_MA20_SLOPE5,FALLING,730,728,73,189,0.13324175824175824,0.21168174940763368,0.6294437693122791,-0.0016624212755886965,-0.007440983684459625,-0.008173543145593848,0.9340587830842166,0.7359625015055621,-0.00039636601404542535,-0.00042808049433286686,-0.002152058204752421,-0.004038877977383246,0.021381506356494204,-0.02505203731762076,0.03448449634859067,-0.04491486889375709,0.7677746189165391,0.0010941041016138704,-0.0004374676303101389,0.0012249536452785576,4,-0.002454931310256624,-0.00822887310027932,0.9031583007901258,0.7096092294164067,16,-0.004523748432197027,-0.01028588427816996,0.8245057347891818,0.6430351073112317,False,0.0019094751573226583
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,0050,0050_VOLATILITY20,HIGH,1300,1297,130,249,0.10485736314572089,0.22071240751931273,0.4750859470215587,0.00265037829802256,-0.0031528662502839895,-0.00579659973182641,1.147478711501224,0.8492165660122133,-0.0005685425294037129,6.21205941013058e-05,0.000309026059633543,0.003913327171477899,0.019190228520326046,-0.019557426868136336,0.031559992521503565,-0.029205956409380136,1.0806012334993207,0.0017220577543321546,0.004448989855437938,0.001798611557415378,6,0.0019905161077092507,-0.003808880704870321,1.1102486881099176,0.8186858413659739,29,-0.00017301061145645074,-0.005959980036334638,0.9905881827404281,0.7213415836286438,False,0.0008860227605496001
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,0050,0050_VOLATILITY20,LOW,840,836,84,178,0.07057416267942583,0.1883544180851322,0.37468811932793533,-0.0064183578278598115,-0.01216893458909635,-0.013502294561389967,0.7202546386251194,0.5374455846528543,-0.0015321038412120871,-0.0030609100387725794,-0.005647533518907296,-0.009092243049444445,0.013156479989542478,-0.020488018126223115,0.025090633735591165,-0.03860115806098568,0.6499969170860279,0.0010396918268469827,-0.005374365066525282,0.0010439927613345298,4,-0.007098534214792723,-0.012845060639750945,0.6920893594936555,0.5140814463011315,16,-0.009007662836102989,-0.014743420477744363,0.6149131707849671,0.4503121966232697,False,0.0003155813974090125
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL_MA20,3950,3941,395,154,0.021568129916264906,0.20371512212464102,0.10587397583115438,0.004096414726166186,-0.0017157750040350814,-0.001837858221628685,1.4349151748734605,0.859134090755576,0.000668252963304111,0.0016438347338323554,0.0025629611593464387,0.003934255215545973,0.011963594526838046,-0.008352217646251627,0.019847416153908982,-0.014512230492295972,1.3676337462008525,0.0004342375249103268,0.004536707913153332,0.00044029318698714584,19,0.0035079847569277002,-0.0023008345458169896,1.370646150965484,0.8120111417629029,91,0.001921267574443483,-0.0038783755802047934,1.1992703989264912,0.688936019889778,False,0.004406163390195026
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,0050,0050_CLOSE_VS_MA20,BELOW_MA20,3160,3145,316,174,0.06232114467408585,0.21068660022148394,0.2958002293860685,0.0003296947820466267,-0.005459616899780264,-0.003852411142833405,1.0185930614749668,0.7348237823808573,-0.0011893188772001428,-0.0020225076657178743,-0.002336721697422581,-0.0007103682624867939,0.013510875596436657,-0.01785840460795931,0.024961953406982297,-0.029460597503975824,0.8472996314352953,6.339101556175453e-05,0.00044295112186857206,0.00011325633982194538,15,-0.0003453482164919709,-0.0061307444484114395,0.9806170561934557,0.7036470166536204,72,-0.0023078433650105816,-0.008081998001069412,0.8728292971634735,0.6164402283125957,False,0.0032497458704206636
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,4030,4022,403,161,0.0278468423669816,0.20137255325118156,0.1382851928795227,0.004369682852208507,-0.0014440548635130885,-0.0018442694564860629,1.4343169270882186,0.8873211794903001,0.0001544843918125389,0.0007947785056647525,0.001499881973537681,0.003792656456642848,0.011538955785971054,-0.00966636416205507,0.020177176424323182,-0.01602042928181337,1.2594654031667312,0.0004406082372693102,0.004816849073831988,0.00044716622162348143,19,0.0037809501635090613,-0.002029407556815504,1.3740255888467947,0.8423944903284563,93,0.0021128671694453202,-0.0036878665886724794,1.2051488071062582,0.7188916390095198,False,0.006187292527362582
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,0050,0050_MA20_SLOPE5,FALLING,3080,3064,308,167,0.05515665796344647,0.21416397990276004,0.257544046335383,-0.00012859135320660473,-0.005915266246625828,-0.003898016521566525,0.9924839779983199,0.7038926389144455,-0.0005640206149748626,-0.001004906355232714,-0.001070784956585591,-0.000647282196368088,0.014109187209492963,-0.01638467871283427,0.024664297307077934,-0.027876015975420696,0.8847855923466735,4.522470604313001e-05,-3.3002549261853136e-05,9.558880394475158e-05,14,-0.0007793184922896396,-0.0065622210964150895,0.9546578263119795,0.6730082135907401,69,-0.0027021796212256836,-0.008474092860776439,0.8456173269137497,0.5853552305036851,False,0.0008317181357849462
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,0050,0050_VOLATILITY20,HIGH,3560,3550,356,169,0.05746478873239436,0.23518763213530655,0.24433592961782152,0.0059334765964183045,0.00011121292278114996,9.749479389581551e-05,1.456153877233502,1.007145639730051,-5.0862139749606474e-05,0.00011621975705705633,0.0014962681242458537,0.006459506851084496,0.014611578948102173,-0.013773565434206821,0.02608073699628958,-0.021347496165882458,1.2217234655355873,2.805874068258438e-05,0.006001116878236864,6.76402818185597e-05,18,0.005252241183529735,-0.0005660852351996398,1.4017345092649527,0.9638123791839491,90,0.0032103426863111747,-0.002596304256693219,1.2405477373018774,0.8374117365100592,True,0.000612061956441664
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,0050,0050_VOLATILITY20,LOW,3550,3536,355,154,0.02177601809954751,0.18140849058273215,0.12003858270137836,-0.0010981282216989264,-0.0068798558587625175,-0.005796409652080926,0.9168710584814841,0.5769344820513446,-0.0002619520204473543,-8.343157811141186e-05,-0.0007240134758151806,-0.0027320298932138718,0.010681313494145733,-0.01136442730330189,0.018138403334470195,-0.020945324697754432,0.8659881666296073,0.0005121850396465332,-0.0005745808127055787,0.0005235474089933477,15,-0.0016410696000053926,-0.007419685128937996,0.8762970755469331,0.5456740594957505,73,-0.003146302915166634,-0.00891621140445549,0.7667401642059833,0.4630314098666918,False,0.006410728505243092
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL_MA20,3130,3130,313,169,0.01597444089456869,0.19061921953714664,0.08380288689334232,-0.0013601660864975785,-0.007140811680356804,-0.005796954598966023,0.8853655612289869,0.5229904569888164,-0.000300833816525975,-0.00034683175215881253,-0.001009454896050703,-0.002130107118350261,0.009417988879458819,-0.010227471838017596,0.016161120403605633,-0.018005224699960024,0.8975794900044494,0.0006209110860863737,-0.0007379121633776604,0.0006222539231199181,13,-0.0018527600743894238,-0.0076306147299140805,0.8444984168095975,0.49238846906614087,63,-0.0032589693407906206,-0.009028667097509751,0.7308633266084933,0.4090202958639887,False,-0.0014652774504406284
