cohort,feature,gross_high_minus_mid_2020,mfe_high_minus_mid_2020,mae_high_minus_mid_2020,gross_high_minus_mid_2021,mfe_high_minus_mid_2021,mae_high_minus_mid_2021,gross_high_minus_mid_2022,mfe_high_minus_mid_2022,mae_high_minus_mid_2022,gross_high_minus_mid_2023,mfe_high_minus_mid_2023,mae_high_minus_mid_2023,gross_high_minus_mid_2024,mfe_high_minus_mid_2024,mae_high_minus_mid_2024,gross_high_minus_mid_2025,mfe_high_minus_mid_2025,mae_high_minus_mid_2025,gross_all_years_positive,gross_all_years_negative,mfe_all_years_positive,mfe_all_years_negative,mae_all_years_positive,mae_all_years_negative,gross_direction_consistent_2020_2025,mfe_direction_consistent_2020_2025,mae_direction_consistent_2020_2025
ALL_ELIGIBLE,bias20_change_3d,0.005236410880308641,0.01690731689696358,-0.005878856477683936,3.57570849156383e-05,0.01609847939876148,-0.011391852614761465,0.0014806250998065998,0.009378145501868447,-0.005716752768923007,-0.0017641142933334923,0.009594728215004213,-0.01056748721049696,-0.0008050076571035208,0.010852137380340111,-0.010279135862182681,0.0023130727164566286,0.012069224844033707,-0.005048951826883301,False,False,True,False,False,True,False,True,True
ALL_ELIGIBLE,bias10_change_3d,0.0030677242345379598,0.01605075616763532,-0.00804262924647313,-8.193914417754756e-05,0.01639070754753904,-0.013044047953195269,-0.000858175145771611,0.00817178648930475,-0.008821715719770334,-0.0017509134636415728,0.008796643116789432,-0.01055233517791767,-0.0004290252413322541,0.010134444235406694,-0.009152534936132599,0.00035978856250715955,0.01107260381483173,-0.0065210003475046005,False,False,True,False,False,True,False,True,True
ALL_ELIGIBLE,distance_to_20d_high,0.003571692028184838,0.004731457267585074,0.003711021197521855,0.000845693917704726,0.004049410768402928,0.0018108873118570165,0.002534735426860628,-6.45105745283106e-05,0.004035556070307401,-0.000923147649941568,-0.001397877526368739,0.0001355358742931509,0.001769203123990721,0.00679947090032932,-0.0034952585580839413,-0.0009944244166083674,0.0013945781900502885,0.0013661443393502629,False,False,False,False,False,False,False,False,False
ALL_ELIGIBLE,distance_to_60d_high,0.0027457228574606076,0.005684159448944466,0.002578315776326494,0.0019029565621023405,0.00732700822364156,0.00019057528200904644,-0.0007381668164755991,-0.0015268996745305616,0.000679422857009504,-0.0005419671256936191,0.0012472583189294673,-0.0010840297494996085,0.004569949445329481,0.010007789712191476,-0.0025789463622335612,-0.001253647064919418,0.004846743473384978,-0.0010477511519806082,False,False,False,False,False,False,False,False,False
ALL_ELIGIBLE,entry_gap,0.0040708578182822325,0.019327598829843515,-0.010142274611125789,-0.0008398205371050985,0.01916613076756714,-0.013760470439795905,-0.0010160206958769614,0.009262814758079399,-0.010402051782940007,-0.0015790243458618707,0.012064917476451262,-0.011213957185360349,-0.0007009942699215273,0.01244338349370578,-0.0115628532604296,0.0037648837583142834,0.015674791281331188,-0.007055080727406064,False,False,True,False,False,True,False,True,True
RETURN20_TOP20PCT_SAME_DAY,bias_5,-0.001168770306481447,0.01226161219095491,-0.009386334299575194,-0.0024909465831338745,0.019181104905943172,-0.013308850552224395,-0.0026270980225707036,0.005543974583406865,-0.009130989916510276,-0.0060663999201891385,0.006287171369254954,-0.00989139625415273,-0.002252414979301889,0.010632164988439663,-0.011044840342881439,0.0022504221151295268,0.012924494266121474,-0.005916292123415337,False,False,True,False,False,True,False,True,True
RETURN20_TOP20PCT_SAME_DAY,bias_10,0.0018930832631950537,0.015301299635302357,-0.004243486281520173,-0.0013613552442933777,0.021874856590545555,-0.01072780801130685,-0.0005669642426544517,0.006202179315230656,-0.00681982084287272,-0.0034127959994064627,0.00688228419939084,-0.0070616978675463946,-0.0003615718924440585,0.011316486760893592,-0.009277258914096538,0.004819287901858495,0.014317294532972306,-0.0024370070386999093,False,False,True,False,False,True,False,True,True
RETURN20_TOP20PCT_SAME_DAY,bias_20,-0.0006270826268085878,0.011830939793451872,-0.004049974903352273,-0.0004345979595758295,0.023429360023425758,-0.012812289529820803,-0.0021266062312057295,0.007441473716904831,-0.00963660059801727,-0.004606430126333635,0.009470238608430437,-0.01065163998832707,-0.0005038161240422646,0.013495345179735954,-0.013423426237798478,0.003583800650051372,0.017188073210620845,-0.002102932069838484,False,False,True,False,False,True,False,True,True
RETURN20_TOP20PCT_SAME_DAY,bias_60,-0.0030047420022465054,0.02375073044440125,-0.008330636247307385,-0.013708467412959412,0.01891243924838526,-0.03877898616125045,-0.009583239128532317,0.006811558525672508,-0.02138875006050458,-0.0029155517166618776,0.01810980151562066,-0.013392004788235615,0.0005335480601022275,0.021045045549553457,-0.018926399160686024,-0.0010990013252612611,0.021560914625199178,-0.013485472494986904,False,False,True,False,False,True,False,True,True
RETURN20_TOP20PCT_SAME_DAY,atr_adjusted_bias20,0.00014933624675610743,0.00692037141754738,-0.0007469718294734265,0.002055722275492745,0.01651354679735871,-0.0014841768002170075,-0.001157908393579328,-0.0007881072477118889,-0.0002770877890758,-0.001671057769736942,0.0040064826301048975,-0.004096575657918905,-0.0003580458883565966,0.00583766137468858,-0.008370034895727282,0.0016644458200325393,0.007358172893898292,-0.0016267525084218831,False,False,False,False,False,True,False,False,True
RETURN20_TOP20PCT_SAME_DAY,atr_adjusted_bias10,0.0016734364693743711,0.009156209044838423,-0.0009313526796027247,-0.00025009249917344037,0.013400509143332212,-0.0010119080189104623,0.0001370245683816121,-0.0013741170955855267,0.001824559260314676,-0.0017201089799769782,0.002866267687151952,-0.001694695504295178,0.0006432638630449322,0.007493033121136666,-0.0045505415765336454,0.004646325858918017,0.008340090928794432,4.824040536011848e-05,False,False,False,False,False,False,False,False,False
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,bias_5,-0.003465054141333966,0.022414314855578182,-0.020322351331230802,-0.007888163133743516,0.029609206176770382,-0.03136618377109743,-0.0036188931257367394,0.013006611305408824,-0.017504523993867954,-0.005339636410886973,0.017750829470668604,-0.01993767911355204,-0.002947754276054003,0.02266473561126993,-0.02356893927846522,0.002665187515424241,0.025518935637311863,-0.015869529812828374,False,False,True,False,False,True,False,True,True
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,bias_10,-0.003344683093987932,0.025046719307625434,-0.020508511507545932,-0.006322716529901143,0.033038880156660545,-0.032453189938015964,-0.0018644696027187817,0.015640079522133712,-0.01887218229159355,-0.003541979562701719,0.02135971913977875,-0.021157498614817048,-0.0036544031197987717,0.026566078594726796,-0.02728562327782661,0.002659816678712389,0.02691762530528447,-0.017335740816973387,False,False,True,False,False,True,False,True,True
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,bias_20,0.00018055671219290807,0.02951827775384891,-0.020089027377151045,-0.003777738723193518,0.03712595036384424,-0.03259459519655815,-0.002650702136794603,0.01696074501246708,-0.021696573230682824,-0.0030480106747393316,0.02396475427681826,-0.02275334023899036,-0.004507039675935667,0.029256718746685242,-0.029778936288237697,0.0025591408241147163,0.02924841078269404,-0.01731028551653073,False,False,True,False,False,True,False,True,True
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,bias_60,-0.0023896900196648477,0.03096534267954963,-0.020946784859822203,-0.004490325622161992,0.03891040444085919,-0.03404623131329725,-0.008919577132013926,0.012743702002147386,-0.027416226812334278,-0.0033493965360386468,0.02396383611430375,-0.02284278545123712,-0.0009972628662357128,0.03029894335960881,-0.027862177719041814,0.001135246482246434,0.032733239376641306,-0.021824364342387513,False,False,True,False,False,True,False,True,True
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,atr_adjusted_bias20,0.00041642540644916274,0.018810250323277378,-0.011607014165663225,-0.002890068041490999,0.02483083337271067,-0.021773010410100484,-0.0027094675491590612,0.00850169963936891,-0.011169414890384421,-0.00028129884605827,0.015474223558812672,-0.01254923538664748,-0.002183388458429565,0.02104461100492349,-0.020387120057968867,0.002906622442525276,0.01964553769353495,-0.009484701042015653,False,False,True,False,False,True,False,True,True
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,atr_adjusted_bias10,-0.005650584208178625,0.013868774359465284,-0.014144238539391916,-0.005899631821190013,0.02086687750702812,-0.0220712776405524,-0.0002900622674786475,0.009129325006586243,-0.00877944890378271,-0.0023941985800540423,0.011760658815439591,-0.012026593499577926,-0.0008982341738700309,0.017852780405007776,-0.017112883636882827,0.0018106003769994233,0.0158490247305896,-0.01013754026244907,False,False,True,False,False,True,False,True,True
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,bias_5,-0.011869567177042203,-0.01602961018449786,-0.007586747978435261,0.0010913675277083434,0.016256914086591245,0.0049486958092989225,0.009486439913426582,0.011686479961598543,0.001616473468013871,-0.00805828340226276,-0.004820900290896754,-0.009963681800145958,0.005246747014359673,0.01788638769826663,-0.010319050136385871,-0.004083073230607643,0.0025319451781778274,-0.0024459858296667636,False,False,False,False,False,False,False,False,False
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,bias_10,0.0013406465560683728,0.0039608867428764655,-0.005144928668384174,0.0056008695155587715,0.013410399447320642,0.0014986418210605618,0.0012625922331958167,0.003663578458214904,0.003294503079472391,0.0030394007683158366,0.006802364268161901,0.0008694702037296137,0.013295052311500393,0.025678766184850592,-0.006091458961343124,0.003918377656344504,0.014729770923361252,0.005562334341476877,True,False,True,False,False,False,True,True,False
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,bias_20,-0.012356326467604865,-0.012128654197212319,-0.009664783198064651,-0.00456649311273648,-0.008317072936920966,-0.017952862776293127,0.007229075019801454,0.0001507096522374296,0.004264799172316161,0.0016642974028669621,0.015364524280185622,0.004788610245442179,-0.009926937522077729,-0.03851960727259632,-0.020830838005778805,-0.0022253264887433064,0.015454311835134862,0.001438971158998631,False,False,False,False,False,False,False,False,False
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,bias_60,-0.013060678772265216,0.015357348896334957,-0.02359973297960133,-0.011934720877216667,0.0031840864624678583,-0.027962296004584483,-0.002253961542982472,0.004994704754793855,-0.018745205898225842,-0.018093238451884944,0.007131945661234609,-0.011121174051955625,-0.019515386557565382,-0.00035431921965287105,-0.029610643126752448,0.0039686230126937914,0.009184128044367246,-0.00334324920600812,False,False,False,False,False,True,False,False,True
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,atr_adjusted_bias20,-0.01484981171680785,-0.015286266763161319,-0.011997137384761221,0.0033252792870905115,0.0023363224028167956,-0.007096619623252184,0.001640172909687567,-0.003930927436930576,0.00010283243688795352,-0.004914381519317662,0.004515692599918561,0.0022133327920531715,-0.010390993142445891,-0.017238398800200186,-0.01973574395946112,-0.008294019867846718,-0.008130529372967973,-0.0039046417753078877,False,False,False,False,False,False,False,False,False
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,atr_adjusted_bias10,-0.002553010954901435,-0.00594650779103692,-0.002586029610507773,-0.0009617085610919666,0.010890196805820415,0.0027351398849196906,-0.002630876920763959,-0.0054357023876920735,0.0006074073006549774,0.001403061600629225,0.007294770726110067,0.002572736053194552,0.006559543140524507,0.014594097491020128,-0.00968967803184606,0.008169883545719115,0.011071002308285158,0.004351739788881842,False,False,False,False,False,False,False,False,False
N_RETEST,bias_5,-0.01901413024820339,-0.013502787680975438,-0.01953960158644473,0.006943549622170777,0.012750258101603996,-0.0004900968102147726,0.00738296982083176,0.0030636669330666166,0.007934070591929625,-0.023287181662002786,-0.01908355542221183,-0.020974494365287276,-0.02508892554012094,-0.03263931636336564,-0.01827112775828018,-0.019974640754534145,-0.017588768957227878,-0.01282359089748751,False,False,False,False,False,False,False,False,False
N_RETEST,bias_10,-0.011031056035433537,-0.00904099597499703,-0.005029488243828609,0.0017134302461752752,0.007007782726552579,-0.00558804530564963,0.005137931471990419,-0.0009194665131404475,0.005610300835061734,-0.01074422099093734,-0.007187062955134965,-0.01272707165805325,-0.0006847031763381914,0.0006391304558567984,-0.009127923051347485,0.001225991705606365,0.0032970065324739936,-0.008255371526395244,False,False,False,False,False,False,False,False,False
