period,cohort,feature,resolution,bucket,lower_bound_exclusive,upper_bound_inclusive,equality_rule,signals,evaluable_signals,outcome_observation_rate,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_day1_close_return,average_day3_close_return,average_day5_close_return,average_day10_close_return,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_trade_mfe_abs_mae,aggregate_mfe_abs_mae,top1_removed_winners,top1_removed_gross_average_return,top1_removed_gross_profit_factor,top1_removed_net_profit_factor
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,DECILE,6,0.0,0.008627963125530373,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32755,32624,0.9960006105938025,0.15884011770475723,7.171287569710017e-05,-0.005715792952906267,-0.004339964401304686,-0.010095443841318906,0.4627881314369789,0.4257601765571358,1.0028749713361658,0.7958382397467764,-0.0017996116983988349,-0.0018152113197961927,-0.0008698142443164486,-0.0001484753022620571,0.02244956494198195,0.041412351370124896,-0.024603164757307235,-0.040827922842642486,4.85718409141912,1.0143144320551132,151,-0.0007376006642784139,0.9705664338419314,0.7681760440241083
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,DECILE,7,0.008627963125530373,0.01881366077067721,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32975,32846,0.9960879454131918,0.17688607440784265,-0.00044817213226017784,-0.006232519733039249,-0.00785597465516008,-0.013602087249434779,0.4472386287523595,0.4149059246179139,0.9831700232638477,0.7905063442323168,-0.0020931590790056885,-0.001878452009989107,-0.0013396475161244952,-0.0003926958871852478,0.023849542653850062,0.043943213445177216,-0.026378896090566758,-0.04347766640806858,4.634324978729384,1.0107077282561385,147,-0.0012466432513934702,0.953394964779234,0.7648792376981098
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,DECILE,8,0.01881366077067721,0.03353658536585358,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32976,32806,0.9948447355652595,0.19886606108638663,0.0004435306431909074,-0.005345752157171393,-0.009073495404250398,-0.01481802624240568,0.44711333292690364,0.42220935194781445,1.0158984178394297,0.8275345413298248,-0.002531925739164684,-0.0012243075707177667,0.00037039686996444884,0.0018925414031211421,0.027088667042263054,0.04929368232505108,-0.02821728588518759,-0.04567457489861652,4.687932454848529,1.0792368059137467,147,-0.00035464637049546457,0.9873446139331404,0.8028197998931454
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,DECILE,9,0.03353658536585358,0.0619469026548539,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32974,32812,0.9950870382725784,0.23201877361940754,0.0004204028311267712,-0.005368554552068031,-0.013879257204499895,-0.01959861647573179,0.4372790442521029,0.41783493843715713,1.0138249914282729,0.8399213672085464,-0.0034673697804925704,-0.0018927813954857562,1.4454989400848899e-05,0.004124444823566095,0.029839259133272924,0.05570982331233371,-0.03222291236263816,-0.05053609987007128,4.869911574690016,1.1023767852201518,144,-0.00037122161313124914,0.9878459131236631,0.8172589140946627
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,DECILE,10,0.0619469026548539,,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32975,32819,0.9952691432903715,0.3007404247539535,-0.0008528945578936465,-0.006634485765354896,-0.050000000000000044,-0.055490292504478546,0.41058533166763156,0.40022547914317924,0.977322192061265,0.8374961086839803,-0.005375370513490224,-0.0016043859574267779,0.0014981260143729978,0.00910887632527493,0.04187464071087557,0.07665085420475289,-0.043568580940563977,-0.06554124525618421,5.362159300682186,1.1695056129181558,135,-0.0016138811154902477,0.9572646635630081,0.8197086888213717
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,QUINTILE,1,,-0.032401242787387895,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,65950,65702,0.9962395754359363,0.24076892636449423,-0.004501990957253806,-0.010262612527249903,-0.026241080489022794,-0.03188117057068078,0.4214026970259657,0.40540622812090954,0.8733448207467557,0.7349866046329319,-0.0022807137136124952,-0.0015035579528864366,-0.0013003876373403158,0.0020328846050829464,0.03290593349940057,0.05756785604519352,-0.037692011202983114,-0.06132520253979784,4.68417241216717,0.9387307935564349,277,-0.005284308227209194,0.8519625421859598,0.7161033512190544
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,QUINTILE,2,-0.032401242787387895,-0.008703633904108261,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,65950,65737,0.9967702805155421,0.1757761990963993,-0.003250670888477931,-0.00901872323497853,-0.011709601873536313,-0.01744590209841631,0.43088367281743917,0.40363874226082724,0.888949029994366,0.7221558317440882,-0.0030649388800661486,-0.0033692830408741693,-0.003192836897253465,-0.0038738745636580003,0.02342417831816443,0.04339663458028041,-0.029483207456093022,-0.04893525416293917,4.60553747560886,0.8868173941793196,284,-0.004036478190748082,0.8626996509976896,0.699391372919091
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,QUINTILE,3,-0.008703633904108261,0.008627963125530373,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,65950,65712,0.9963912054586809,0.15761200389578767,-0.0007083892234192364,-0.006491371094759818,-0.0050890585241729624,-0.010842165988797543,0.4563702215729243,0.4192232773313854,0.9721610134126286,0.7724934629784139,-0.0018690770135197541,-0.002160013134263969,-0.001678766932659157,-0.001082153344167441,0.02212030481456396,0.04095592424024802,-0.025173218373473888,-0.04174459150070938,4.786901750494852,0.9811073187661219,300,-0.0015165958872410258,0.9406714010566749,0.74549903877777
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,QUINTILE,4,0.008627963125530373,0.03353658536585358,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,65951,65652,0.9954663310639718,0.1878693718393956,-2.5923898083365086e-06,-0.005789406086936755,-0.008403361344537896,-0.014152698682545102,0.44717601900932186,0.41855541339182356,0.9999049125059211,0.8093888199649106,-0.0023124087447154314,-0.0015515790666707678,-0.00048514626513391015,0.0007492265911214516,0.02546811809231769,0.046616817936634324,-0.02729753094711844,-0.04457545139467852,4.661153292470716,1.0457957570385816,294,-0.0008011265365550724,0.9707466903954793,0.7842201457683429
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,QUINTILE,5,0.03353658536585358,,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,65949,65631,0.9951780921621253,0.2663832640063385,-0.00021631376636924642,-0.006001587668870481,-0.024282560706401668,-0.029946177603585852,0.4239307644253478,0.4090292697048651,0.9936395969726929,0.8385897394249916,-0.0044214718977275665,-0.0017485682967723801,0.0007563696237742545,0.006616926386464454,0.03585759175041027,0.06618145551142111,-0.03789635169860664,-0.05803947276438708,5.116214531082407,1.140283540825511,279,-0.0009954370104482263,0.970854995828096,0.8185312530719221
