time_slice_type,time_slice,bias20_quintile,entry_gap_bucket_number,entry_gap_bucket,signals,evaluable_signals,outcome_observation_rate,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_day1_close_return,average_day3_close_return,average_day5_close_return,average_day10_close_return,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_trade_mfe_abs_mae,aggregate_mfe_abs_mae,top1_removed_winners,top1_removed_gross_average_return,top1_removed_gross_profit_factor,top1_removed_net_profit_factor
YEAR,2021,4,3,0% to 1%,13923,13867,0.9959778783308195,0.20040383644623927,0.004230040282395843,-0.0015812929259326567,-0.0042075736325385416,-0.009965059486799436,0.46866661859089925,0.43823465782072546,1.170531093332799,0.9431371623396465,-0.0023538753561391664,-0.00014309127651237778,0.0016533780797494835,0.003906959826139416,0.02636677789780061,0.04938024771948208,-0.025105617897933412,-0.041441035243346434,5.473190746895636,1.191578526682929,65,0.0034163003140239437,1.137080166013743,0.914446938100299
YEAR,2021,4,4,1% to 2%,4502,4486,0.9964460239893381,0.2534551939366919,0.0022669034149228233,-0.0035326659231862813,-0.015287072445294203,-0.02098521418336985,0.4337940258582256,0.4135086937137762,1.0755286000688036,0.8934872232369493,-0.00437479065599996,-0.0009492189077393249,0.00066582044197396,0.0035501940389037687,0.0318710786459357,0.058755262481503825,-0.032197422143764136,-0.05179082230835205,5.174011593650544,1.1344724772216765,20,0.0014619157396127496,1.0484908960932575,0.8699385066539854
YEAR,2021,4,5,2% to 3%,1134,1130,0.9964726631393298,0.2743362831858407,-0.0026580690279266084,-0.00842899287348871,-0.048783712321523065,-0.05426381467048427,0.3823008849557522,0.36991150442477877,0.927014230835757,0.7882914931497653,-0.003305902101810666,-0.000595663183214425,0.0016741475759074168,0.002825236985290959,0.03957810164244854,0.06931647737752893,-0.03809668520985935,-0.06189064373368107,4.780156082493639,1.1199831379327971,5,-0.0034841583270296284,0.904754625200845,0.7686898874065442
YEAR,2021,4,6,>= 3%,620,619,0.9983870967741936,0.26978998384491115,-0.006763400297355463,-0.012511371812723064,-0.05142857142857138,-0.056902255719292846,0.37318255250403876,0.3602584814216478,0.8333405201725276,0.7157119640840416,-0.008174264199756101,-0.00464106195268233,0.0024367060677384796,0.008447441041949041,0.04699870088813784,0.08480039919456535,-0.04963845334532404,-0.07406419508109156,4.726299469252428,1.144958088071016,3,-0.007663260860244873,0.8120819045468619,0.6968606101704666
YEAR,2021,5,1,< -1%,3625,3612,0.9964137931034482,0.30841638981173863,0.000626490823684653,-0.005163562240402412,-0.050239783391845094,-0.05572688823828169,0.4219269102990033,0.4122369878183832,1.0165889297449258,0.8738019092389733,-0.0014396719833044212,-0.004152529613380006,-0.0007018875903584275,0.005928199480096257,0.04369491443624917,0.08079806804821894,-0.04607359485931958,-0.0707489063381552,5.111336405618971,1.1420398170119017,16,-0.00018473092405791377,0.995130154335107,0.8547360765895061
YEAR,2021,5,2,-1% to 0%,3801,3784,0.9955274927650618,0.28039112050739956,0.0006447229477616459,-0.005145429069264828,-0.02944639593258419,-0.03507366118158088,0.4223044397463002,0.41014799154334036,1.018485653169551,0.8647596158086659,-0.005989693314648223,-0.003903013701394327,-0.000586165058474163,0.004927121704647176,0.03530840142913949,0.06978186066568441,-0.040513378039906504,-0.06250902523845332,5.1483775341658395,1.116348565658917,16,-0.0001296443592995611,0.9962985229224427,0.8451813012317131
YEAR,2021,5,3,0% to 1%,10341,10300,0.9960351996905522,0.2745631067961165,-0.00013289891785655893,-0.005918672555223885,-0.027027027027026973,-0.03266253068634922,0.4180582524271845,0.403495145631068,0.9961262019956105,0.842222573842486,-0.005295354505130983,-0.0027720570853107867,-0.0005256612245022464,0.004038159026378711,0.035941353344202585,0.06881113973669936,-0.039454672851036085,-0.06159986338995202,5.197687999643247,1.117066434077898,44,-0.0009041005482579558,0.9737594431774617,0.8225441444633177
YEAR,2021,5,4,1% to 2%,5297,5279,0.9966018501038324,0.28774389088842584,-0.002709765205083094,-0.00848065181522376,-0.050602409638554224,-0.05607771620981498,0.39552945633642733,0.38681568478878575,0.9280648466808928,0.7930113047473093,-0.006526020479837173,-0.0026788901395024696,0.00014382810369753066,0.0058690100761701995,0.039689431864121105,0.07578820009294683,-0.04307122440768376,-0.06679986811567534,5.315785269548686,1.1345561335795853,21,-0.0034608342959594474,0.9084919633774421,0.775680991775008
YEAR,2021,5,5,2% to 3%,2433,2428,0.9979449239621866,0.2985996705107084,-0.0047446495344389324,-0.010503230843976526,-0.05291742199820193,-0.05838783272755198,0.37355848434925865,0.3673805601317957,0.8877152885185281,0.7699152910093138,-0.005994667785683897,-0.002070086174387407,-0.0011481900149070189,0.0028813958022848754,0.04651500274431458,0.08367765834825287,-0.04952800057805543,-0.07716738726870936,4.3673471546639755,1.0843655760544761,10,-0.0055240304167542865,0.8698092394208364,0.7539576388556408
YEAR,2021,5,6,>= 3%,2719,2709,0.9963221772710555,0.34108527131782945,-0.005330388646253903,-0.01108633109269894,-0.05555555555555547,-0.06101702323673496,0.37467700258397935,0.37172388335179035,0.8873046927414227,0.7811225015737373,-0.01184917022175338,0.0023869097782320695,0.0042179843896013305,0.0064606197254098345,0.05977068278352157,0.1020147737125018,-0.06014226043925442,-0.08917953337059271,5.0400982517663415,1.1439258522308164,11,-0.006101172200098639,0.8715325274952275,0.7669425320319551
