time_slice_type,time_slice,momentum_strength_quintile,bias20_quintile,signals,evaluable_signals,outcome_observation_rate,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_day1_close_return,average_day3_close_return,average_day5_close_return,average_day10_close_return,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_trade_mfe_abs_mae,aggregate_mfe_abs_mae,top1_removed_winners,top1_removed_gross_average_return,top1_removed_gross_profit_factor,top1_removed_net_profit_factor
YEAR,2023,3,3,7448,7438,0.998657357679914,0.13740252756117236,0.00366302738509654,-0.0021455563842461196,0.0,-0.0057995801398186735,0.4905888679752622,0.44904544232320515,1.178345258249071,0.908561816013858,-0.0016949223381221342,-0.000175142507191422,0.0013876939264979102,0.004530688606950039,0.02078720614894549,0.03751275601624012,-0.019921498627413083,-0.03154505832432349,4.9891055351951525,1.1891801127948813,37,0.002802868435954357,1.1357870472764187,0.8727519519508592
YEAR,2023,3,4,7593,7565,0.9963123929935467,0.1567746199603437,0.004456971512770169,-0.0013559888287148227,0.0,-0.005806357321730003,0.4832782551222736,0.4470588235294118,1.2131756329216592,0.9431755600809205,-0.0020947302866618557,-0.0004104853924865822,0.0011934312174268582,0.006801859336421476,0.021263303385364824,0.04090880616491544,-0.020929119972754307,-0.03280419866320165,4.9449991851045,1.2470600664543954,37,0.0036362711282426977,1.1730711337227449,0.9094276217550755
YEAR,2023,3,5,1260,1254,0.9952380952380953,0.22169059011164274,0.0009781914347052215,-0.0048140743214960076,-0.012981463649494429,-0.018714696359162383,0.4226475279106858,0.39473684210526316,1.0350224793807867,0.8456171162586094,-0.0045566440043764995,-0.001881064562106473,-0.0010902565217668586,0.0068176787154012085,0.025130549136002094,0.04769957916853411,-0.029282640111266717,-0.04171502097897185,4.399075646007069,1.1434629073440719,6,0.00010525759412347263,1.0037505375723945,0.8186563195718518
YEAR,2023,4,1,1432,1426,0.9958100558659218,0.2552594670406732,0.004697905205831159,-0.0011156754627984105,-0.008805226327884996,-0.014548526774815728,0.45722300140252453,0.43338008415147267,1.1707055044773493,0.9634910936253316,-0.002311025807028481,0.001468615796043863,0.0038105708656615625,0.00731801076723368,0.03155798940759379,0.05509184533613746,-0.028435279616377526,-0.04370305160597978,5.737958551155297,1.2605949312839146,7,0.003848025222721242,1.1391374552275246,0.9361559823113604
YEAR,2023,4,2,2843,2841,0.9992965177629265,0.21506511791622668,0.0050957819097726485,-0.0007203943137766374,-0.0033407572383072903,-0.00909784231429649,0.4783526927138332,0.44737768391411475,1.1960814207677275,0.9750942620551581,-0.0009816510009996633,0.0023087355600790917,0.004490876349578206,0.00861496425059155,0.030331334826211247,0.05226833190442277,-0.024669064125057878,-0.03918557444986289,5.578328902298416,1.3338666751280879,14,0.00422391678138488,1.1617318447988618,0.9453976165451516
YEAR,2023,4,3,5020,5016,0.999203187250996,0.19059011164274323,0.00231370157269043,-0.0034864281307396042,-0.007724004072801327,-0.013473771536765218,0.45055821371610844,0.42444178628389156,1.090006565983252,0.8789188325880227,-0.0026534066569303383,-0.0007440314072591038,0.0018678187893261633,0.0034554083589197534,0.026117676071058638,0.04644308171976689,-0.02539160069246962,-0.04009234516145969,4.945288647448149,1.1584027208368965,23,0.00150661600832659,1.05834094594087,0.8517338029247735
YEAR,2023,4,4,9097,9063,0.996262504122238,0.19574092463864062,0.001746785646337969,-0.004050139692610833,-0.008880994671403242,-0.01462438346247723,0.44764426790246054,0.4184045018205892,1.0659358382964437,0.8631730308047161,-0.0028378676835645227,-0.0012856225587047888,-0.00043576555515277007,0.00296191064679142,0.02523236362842402,0.04654231821088152,-0.02672412190935923,-0.041681262031494644,4.809367295543276,1.1166244960556575,41,0.0009372479934037815,1.0352182100672085,0.8367244752587073
YEAR,2023,4,5,5418,5396,0.9959394610557402,0.21052631578947367,-0.0013140225763325368,-0.007093233557846211,-0.01504249136111352,-0.020750636947540986,0.42031134173461826,0.393995552260934,0.9559270319992534,0.7854104001160958,-0.004265843477049585,-0.004349032282559357,-0.003658675727372976,0.0009917339318685503,0.025594588245931343,0.04799544171441061,-0.03194915255876392,-0.04700181752284378,4.361994935802715,1.0211401227427834,23,-0.002094574204584659,0.9300463916003457,0.7629480826041459
YEAR,2023,5,1,503,500,0.9940357852882704,0.31,0.003074423919593677,-0.0027297941531855443,-0.021327478028824454,-0.027009392763260316,0.428,0.416,1.0925240074107734,0.9249415429751598,-0.003901670279161947,0.0006853033125820929,0.007324467848415852,0.008858006070439248,0.040251639692137776,0.06752237333538,-0.03560126746188039,-0.05338554616899144,6.093655099992806,1.2648062665058921,3,0.0019938533904133755,1.059644484570499,0.896028905682142
YEAR,2023,5,2,818,817,0.9987775061124694,0.2558139534883721,0.0037388592707709016,-0.002069731159292202,-0.00916030534351131,-0.014905299034290479,0.4455324357405141,0.4283965728274174,1.1267486137760736,0.9364731580452889,-0.0021693679818665856,0.0012270136886674973,0.004510496176909492,0.012332757558435877,0.03539661783495123,0.06157209140183282,-0.03128527440478956,-0.046241757629733676,5.343948787730163,1.3315257584898041,4,0.002865209530960016,1.0966560350036083,0.9102542070421955
