cohort,feature,discovery_shape,later_period_same_direction,stable_inverted_u_descriptive,multiplicity_status,discovery_peak_decile,discovery_spearman_bucket_vs_gross,discovery_adjacent_increases,discovery_adjacent_decreases,discovery_mid_minus_low_gross,discovery_mid_minus_high_gross,discovery_high_minus_mid_gross,discovery_high_minus_low_gross,profile_correlation_discovery_confirmation,profile_correlation_discovery_stress,profile_stability_score,eta_squared_discovery,eta_squared_confirmation,eta_squared_stress,stable_information_score,high_minus_mid_mfe_discovery,high_minus_mid_mfe_confirmation,high_minus_mid_mfe_stress,high_minus_mid_mae_discovery,high_minus_mid_mae_confirmation,high_minus_mid_mae_stress,high_extension_mechanism
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,bias_60,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.9636363636363635,1,8,-0.007909531501274318,0.0035614891187444927,-0.0035614891187444927,-0.011471020620018813,-0.49090909090909085,0.32121212121212117,-0.49090909090909085,0.00233763739140725,0.0013180654888968512,0.0012432542367968446,0.0,0.031008814139183626,0.027176840941308372,0.032733239376641306,-0.0270997221900817,-0.025569461233324386,-0.021824364342387513,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,atr_adjusted_bias20,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,4,-0.5499999999999999,2,6,0.0013116615471987138,0.001401618482786071,-0.001401618482786071,-8.995693558735702e-05,0.7666666666666667,0.31666666666666665,0.31666666666666665,0.00016474029290925176,0.00016891308976241302,0.0004997736001798006,5.2167759421263054e-05,0.018660680033687836,0.01816805842224213,0.01964553769353495,-0.01526339268360944,-0.016362136338082416,-0.009484701042015653,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,atr_adjusted_bias10,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.5757575757575757,3,6,-0.0006100128056379492,0.003713461366267702,-0.003713461366267702,-0.004323474171905651,0.8545454545454544,-0.4424242424242424,-0.4424242424242424,0.0008421409951956838,0.00026896615104817146,0.0004285054243580922,0.0,0.015834043463500466,0.0147992441857712,0.0158490247305896,-0.015440275595113191,-0.014799226109634918,-0.01013754026244907,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,bias_5,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,0.07878787878787878,4,5,4.273808431908693e-05,-0.00025432540366495185,0.00025432540366495185,0.0002970634879840388,0.24848484848484845,0.04242424242424241,0.04242424242424241,0.0013322810940730873,0.0023965669837277184,0.00361411646386298,5.652101611219157e-05,0.006266509069793952,0.006500747927399478,0.0025319451781778274,-0.0008642090582606649,-0.010493376448726097,-0.0024459858296667636,NOT_STABLY_MAE_DRIVEN
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,bias_10,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,3,-0.13939393939393938,4,5,-0.007027565778592694,-0.0030858885786436644,0.0030858885786436644,-0.00394167719994903,-0.04242424242424241,0.09090909090909088,-0.04242424242424241,0.0021073027428139502,0.00851369443776711,0.0018736172621915312,0.0,0.0104344299459459,0.016000488724154993,0.014729770923361252,-0.0007540893499640988,-0.0033042731969916,0.005562334341476877,NOT_STABLY_MAE_DRIVEN
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,bias_20,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,2,-0.2727272727272727,5,4,-0.010887836239466056,0.0002906098989392033,-0.0002906098989392033,-0.01117844613840526,0.12727272727272726,-0.29696969696969694,-0.29696969696969694,0.0037779184703086357,0.008032672256915483,0.002886315462566025,0.0,0.00014414439912317778,-0.015396167418162215,0.015454311835134862,-0.0056084798740679564,-0.008739672666312058,0.001438971158998631,NOT_STABLY_MAE_DRIVEN
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,bias_60,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.8787878787878788,3,6,-0.019851467519832522,0.00448851974858283,-0.00448851974858283,-0.024339987268415353,0.8545454545454544,-0.01818181818181818,-0.01818181818181818,0.004241306335314578,0.004563177958791188,0.006557605503702485,0.0,0.016035262431238692,0.006171763447596457,0.009184128044367246,-0.021490411177069985,-0.019642278506358912,-0.00334324920600812,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,atr_adjusted_bias20,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.35757575757575755,4,5,-0.022683033621284935,0.0015680632266161345,-0.0015680632266161345,-0.02425109684790107,-0.16666666666666669,-0.406060606060606,-0.406060606060606,0.004691925363455888,0.00618999729855789,0.007461247292327119,0.0,-0.0013144171862247284,-0.008683488601346712,-0.008130529372967973,-0.005504104729174231,-0.009248434006778626,-0.0039046417753078877,NOT_STABLY_MAE_DRIVEN
MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,atr_adjusted_bias10,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.32121212121212117,4,5,-0.0009102797020159713,0.0014675839648732938,-0.0014675839648732938,-0.002377863666889265,0.10303030303030303,-0.6969696969696969,-0.6969696969696969,0.004068258950631994,0.0047206468666546,0.005055681969391933,0.0,0.0023234853373092362,0.011440423066138683,0.011071002308285158,-5.833145808972762e-05,-0.0036992203193334794,0.004351739788881842,NOT_STABLY_MAE_DRIVEN
N_RETEST,bias_5,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,8,0.7,4,4,0.016440119427702776,-0.0010132284811183432,0.0010132284811183432,0.01745334790882112,0.3571428571428572,0.09999999999999999,0.09999999999999999,0.006062213318459086,0.030476929099192095,0.0332651001645244,0.0006062213318459085,0.002154322226548752,-0.02637220205188226,-0.017588768957227878,-0.0016409082987865406,-0.019564554832338217,-0.01282359089748751,NOT_STABLY_MAE_DRIVEN
