time_slice_type,time_slice,chip_family_model,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
YEAR,2023,MARGIN_SHORT_ONLY,1115,1109,223,12,166,0.3769161406672678,0.5094679891794409,0.11361587015329125,0.3255184851217313,0.2073940486925158,-0.0033382742180549188,0.0013297425495318617,0.007513337288467416,0.0153461604344171,0.05184886516434252,0.09352863999958454,-0.044669792373696025,-0.0699892292970783,1.336329045753457,0.005133561305352155,-0.000683211229201572,-0.05594327837247966,1.13018268860197,0.9838966655147646,5,-0.0014847983701895904,0.9651609882303783,0.004327318506219895,1.1092423095133472,25,-0.004535391856911521,0.89551032699231,0.0012589354526278032,1.031205826077113,20230711,-0.0012767282572615924,0.970043103714031,202302,-0.002946767595186774,0.9330518186279761
YEAR,2024,ALL_CHIP,1035,1033,207,12,180,0.38334946757018395,0.5595353339787028,0.057115198451113264,0.32623426911907066,0.21878025169409487,-0.003725814895037056,0.0016925931917991844,0.0056263593436255786,0.010446074934597196,0.05637378042692746,0.099215337850405,-0.05005867599738366,-0.0823856951064142,1.2042787005954447,0.0009927979392581252,-0.004799704382986794,-0.05864685410604778,1.0227347794064,0.8974690634530843,5,-0.005701032910254404,0.878804421552354,8.626525989980184e-05,1.0019658872492325,22,-0.00862924058887053,0.8195886541588887,-0.002859042985213393,0.9359231141731765,20240215,-0.005403370196357535,0.8851322932487511,202402,-0.006894800693088146,0.8549160324297058
YEAR,2024,INSTITUTIONAL_ONLY,1035,1033,207,12,177,0.38528557599225555,0.5566311713455954,0.05808325266214908,0.3291384317521781,0.21781219748305905,-0.003959742331984682,0.0022508754939690526,0.0052432137297755725,0.01111395250480865,0.05636816093112668,0.09896986496634999,-0.05051727551429772,-0.08230004733781898,1.2025493079014402,0.0016096458590908924,-0.004186193767486528,-0.05866908319172126,1.037325884423074,0.909517220993103,5,-0.0050847179080904265,0.8906279730024799,0.0007059289711381624,1.0162904682971923,22,-0.008003172666425994,0.8306989604706925,-0.0022295586717234516,0.9494001173275517,20240215,-0.004800012524020603,0.8967519715242619,202402,-0.006265948023172153,0.8665170110898279
YEAR,2024,MARGIN_SHORT_ONLY,1035,1033,207,12,182,0.377541142303969,0.5663117134559535,0.05614714424007745,0.3165537270087125,0.2110358180058083,-0.003493537115534168,0.0015220157360862556,0.005735777891707897,0.01320096689941379,0.056638961112282414,0.09972263764145554,-0.050903775699129516,-0.0827688849215274,1.2048324407898194,-0.00045172401997092343,-0.006235784124630988,-0.05941661379817029,0.9897728522038678,0.8682947693591261,5,-0.007142976792984993,0.8498642964499565,-0.0013641551392679586,0.9692646683014507,21,-0.00990533211793755,0.7950437417570135,-0.004142644685190448,0.9081161415256434,20240215,-0.00684643476164786,0.8560972085533086,202402,-0.008602863449922955,0.8211824459156452
YEAR,2025,ALL_CHIP,1135,1135,227,12,152,0.3832599118942731,0.5585903083700441,0.05814977973568282,0.31894273127753303,0.2026431718061674,-0.0027206562865894385,-8.193644009621168e-05,0.0009971735280939295,0.011154106831104352,0.051458178539146734,0.09395376485470122,-0.05151812825840323,-0.08145720382513641,1.1534125951142526,0.0007615031068909289,-0.00502933582027173,-0.05898042020855047,1.0179626856936734,0.889518258662051,5,-0.0058354786060116,0.8723740645276603,-4.9311529845317045e-05,0.9988419410975704,24,-0.008739805211541852,0.8120683935862371,-0.002970604797237438,0.9314097056366303,20250422,-0.005580985269956825,0.8779400090333956,202512,-0.008289895800072836,0.8236905964529413
YEAR,2025,INSTITUTIONAL_ONLY,1135,1135,227,12,146,0.38678414096916297,0.5524229074889868,0.06079295154185022,0.32422907488986785,0.2026431718061674,-0.0026648222870570455,0.0010813545589849053,0.0022292357202790512,0.012101478763449075,0.05314875474628782,0.09557271549389011,-0.05131351561877902,-0.08144803290726012,1.173419566838562,0.001658924883201927,-0.004137289368468596,-0.059006584327412,1.0393764724118442,0.908549954278349,5,-0.004939485046014645,0.8912993135520749,0.0008520811392812174,1.0201360193381799,24,-0.007831126016432816,0.8305621469905087,-0.0020564221765102496,0.9522206143360449,20250422,-0.00469124382982314,0.8967622292919365,202512,-0.006750794233403115,0.8547012216114236
YEAR,2025,MARGIN_SHORT_ONLY,1135,1134,227,12,151,0.37389770723104054,0.5617283950617284,0.06437389770723104,0.30952380952380953,0.2001763668430335,-0.0026071113993073117,0.0002132802183705705,0.0015648671609407078,0.009921856660769337,0.0515004892180947,0.09159963435348177,-0.05080333737217425,-0.08046176812238841,1.1384243286097298,-0.00017656668312476524,-0.00596208537249979,-0.05881829067746276,0.9958328142340045,0.8690890753296158,5,-0.006769919376688367,0.8520066898895877,-0.0009890977235055465,0.9767590331107203,24,-0.009704456374257658,0.7914266405934801,-0.003940751397395099,0.9089619252595581,20250422,-0.006508195363796534,0.857728087863191,202512,-0.009010626505456894,0.8069294686678301
OVERALL,2020_2025,ALL_CHIP,5815,5786,1163,71,619,0.3935361216730038,0.5432077428275147,0.0632561354994815,0.33511925337020393,0.22934669892844797,-0.0023713686863490947,0.003121895177599504,0.008249041500705533,0.01603625829751812,0.058795950997267664,0.10536924416002687,-0.05020532066271501,-0.0809782507497132,1.301204251567512,0.0033810929089506604,-0.0024251581090920806,-0.05785123597638025,1.0801311878347024,0.9464098591202365,25,-0.003207886040633671,0.9294197457501159,0.0025938381202161727,1.0612078028614433,124,-0.006195115582249004,0.866036745413089,-0.00041080616457589875,0.9904726336884483,20210520,-0.0025564731113724725,0.943556932247283,202004,-0.0029611573513434733,0.9349250565392432
OVERALL,2020_2025,INSTITUTIONAL_ONLY,5815,5789,1163,71,610,0.39264121609949904,0.5437899464501641,0.06356883745033684,0.3356365520815339,0.22801865607186042,-0.0023481410153069343,0.0033154441935215467,0.008320068129026189,0.01643089594130055,0.05915379005618092,0.10596136515786711,-0.05047121682384948,-0.08107024665560467,1.3070314884818675,0.0033343973619272232,-0.00247155756425366,-0.05799780072640552,1.0790041910490273,0.9454077309474139,25,-0.0032545470228617208,0.9284233465900663,0.002546874996676901,1.0600842755694326,124,-0.006248620481587965,0.8649355892407272,-0.00046464260637149655,0.9892267144205987,20210520,-0.0025986752950958544,0.9426495053511091,202102,-0.0029338103177410477,0.9354507181395966
OVERALL,2020_2025,MARGIN_SHORT_ONLY,5815,5782,1163,71,602,0.3877551020408163,0.547561397440332,0.0646835005188516,0.3277412659979246,0.22310619162919404,-0.002708274453845029,0.0024029234216190036,0.007144320484342026,0.015891383994471407,0.058134977706337986,0.10434853020913823,-0.05108682647059977,-0.08152491338260355,1.2799587988449794,0.0021187569500850595,-0.0036802785281967575,-0.05811111519115298,1.0496599104741882,0.9195635329703532,25,-0.0044699937844096425,0.902725868818684,0.0013244759249544584,1.0309091457738133,122,-0.0074266918501621195,0.8411065307406755,-0.0016494511313502778,0.9621555159126857,20210311,-0.003817418766221863,0.9166383343823826,202004,-0.004217297317000252,0.9083337051123002
