time_slice_type,time_slice,top_k,primary_selection,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
YEAR,2023,10,False,2230,2221,223,12,223,0.37910850968032417,0.5110310670868978,0.10986042323277803,0.3196758217019361,0.21431787483115713,-0.0024266179812220887,0.0021629735866914857,0.008036120519803945,0.018444913399209856,0.051907599219637474,0.09468406919575499,-0.0438977092869829,-0.06876517514453047,1.3769188982177134,0.006241620975252361,0.0004184873973838434,-0.05596848813853398,1.162196514423615,1.0100881735439187,10,-0.0003816402414671912,0.990841496688654,0.005436844598620006,1.1406472446014195,49,-0.003395061854571427,0.9199633109936645,0.002405813117944312,1.0611388514132234,20230720,-4.145705785239116e-05,0.9990044236469834,202302,-0.0013582173748971456,0.9681993606952254
YEAR,2024,3,False,621,620,207,12,141,0.3951612903225806,0.5564516129032258,0.04838709677419355,0.3387096774193548,0.22741935483870968,-0.003838676089463591,0.0008552016805534771,0.004901626124269759,0.01423646070285821,0.05704325759435136,0.10405348287399636,-0.05121509816008455,-0.08314899436821052,1.2514099979756104,0.002136653506968884,-0.00366212365569692,-0.05857424806228613,1.0485598894986652,0.9222925361671079,3,-0.0045697750339382635,0.9035020637315408,0.0012237687882482658,1.027678110373006,13,-0.007434570791729767,0.8455518775958417,-0.001657768619917535,0.9631137499515174,20240117,-0.004368650965969023,0.9077491125137701,202401,-0.007334091350598714,0.8496402834083462
YEAR,2024,5,True,1035,1033,207,12,180,0.38334946757018395,0.5595353339787028,0.057115198451113264,0.32623426911907066,0.21878025169409487,-0.003725814895037056,0.0016925931917991844,0.0056263593436255786,0.010446074934597196,0.05637378042692746,0.099215337850405,-0.05005867599738366,-0.0823856951064142,1.2042787005954447,0.0009927979392581252,-0.004799704382986794,-0.05864685410604778,1.0227347794064,0.8974690634530843,5,-0.005701032910254404,0.878804421552354,8.626525989980184e-05,1.0019658872492325,22,-0.00862924058887053,0.8195886541588887,-0.002859042985213393,0.9359231141731765,20240215,-0.005403370196357535,0.8851322932487511,202402,-0.006894800693088146,0.8549160324297058
YEAR,2024,10,False,2070,2063,207,12,226,0.3809985458070771,0.5525933107125546,0.0664081434803684,0.3223460979156568,0.21134270479883666,-0.003527455235339776,0.001523036588110406,0.006155965419811872,0.01209561036011992,0.05561469005555463,0.09776579444835719,-0.05023232261351494,-0.08005839333183498,1.2211810702111718,0.0017204079509810437,-0.004076049839426434,-0.05816949395790739,1.040508882991869,0.910569503394366,9,-0.004877587056983836,0.8934502591877758,0.0009142411725818817,1.0214328938937731,44,-0.007863761203964911,0.8311451401560446,-0.0020893867172068433,0.951852388524559,20240806,-0.0046625254237964405,0.8981978169627124,202401,-0.006812973402282034,0.8551641911542737
YEAR,2025,3,False,681,681,227,12,118,0.4067547723935389,0.5447870778267254,0.048458149779735685,0.342143906020558,0.2261380323054332,-0.001707359428690522,0.004569935288026344,0.005987502846959334,0.019732540322919954,0.0568395096541812,0.10392587487868565,-0.050500244184973155,-0.08060354619668711,1.289346186147789,0.004340481717240069,-0.0014709460895298834,-0.05834371257954579,1.1048449124400728,0.9668966082668222,3,-0.002259756673075085,0.9493685929302282,0.0035470817085942992,1.0853027838949232,15,-0.005289928112064365,0.8835732901439938,0.0004992309125778201,1.0117933725097958,20250926,-0.0019994426575496464,0.955201108016067,202512,-0.005121160192640005,0.8883075718391527
YEAR,2025,5,True,1135,1135,227,12,152,0.3832599118942731,0.5585903083700441,0.05814977973568282,0.31894273127753303,0.2026431718061674,-0.0027206562865894385,-8.193644009621168e-05,0.0009971735280939295,0.011154106831104352,0.051458178539146734,0.09395376485470122,-0.05151812825840323,-0.08145720382513641,1.1534125951142526,0.0007615031068909289,-0.00502933582027173,-0.05898042020855047,1.0179626856936734,0.889518258662051,5,-0.0058354786060116,0.8723740645276603,-4.9311529845317045e-05,0.9988419410975704,24,-0.008739805211541852,0.8120683935862371,-0.002970604797237438,0.9314097056366303,20250422,-0.005580985269956825,0.8779400090333956,202512,-0.008289895800072836,0.8236905964529413
YEAR,2025,10,False,2270,2269,227,12,196,0.35566328779197887,0.5605993829881005,0.08373732921992066,0.3014543851917144,0.18995152049360953,-0.0032525798393241365,-0.00014903369857707403,0.0010038619032992449,0.011273278201838419,0.04990906513395888,0.09089180601971128,-0.050603672956801765,-0.07884496294692875,1.152791536992558,-0.000605350037525191,-0.006388285811147298,-0.05882994704059418,0.9855680722634111,0.858604559583331,10,-0.007200366386105321,0.8413327123858846,-0.0014221232910846223,0.9662451054035511,46,-0.010020159127351134,0.7827145468481859,-0.004258361088349495,0.9005361596666837,20251231,-0.006809988566155773,0.8497246652202796,202512,-0.010055377437739911,0.7849812840408456
OVERALL,2020_2025,3,False,3489,3473,1163,71,521,0.4105960264900662,0.5335444860351282,0.055859487474805646,0.3475381514540743,0.2435934350705442,-0.0016840829589557004,0.004686135630990204,0.011301614604699162,0.02141660791293464,0.062016375939530785,0.11184197237832619,-0.04974669967301325,-0.08033786721883251,1.3921451520947097,0.005462943906578112,-0.0003555150082063702,-0.057384097547746656,1.1308843270168822,0.9920525891479385,16,-0.0011811522838925173,0.9737174066293713,0.0046325308440537585,1.1104774951367002,77,-0.004214031168164748,0.9078854218840821,0.0015819665975157764,1.0370613393963337,20210520,-0.0004895003372466989,0.9890668473328976,202004,-0.0009848254654972104,0.9781176984071996
OVERALL,2020_2025,5,True,5815,5786,1163,71,619,0.3935361216730038,0.5432077428275147,0.0632561354994815,0.33511925337020393,0.22934669892844797,-0.0023713686863490947,0.003121895177599504,0.008249041500705533,0.01603625829751812,0.058795950997267664,0.10536924416002687,-0.05020532066271501,-0.0809782507497132,1.301204251567512,0.0033810929089506604,-0.0024251581090920806,-0.05785123597638025,1.0801311878347024,0.9464098591202365,25,-0.003207886040633671,0.9294197457501159,0.0025938381202161727,1.0612078028614433,124,-0.006195115582249004,0.866036745413089,-0.00041080616457589875,0.9904726336884483,20210520,-0.0025564731113724725,0.943556932247283,202004,-0.0029611573513434733,0.9349250565392432
OVERALL,2020_2025,10,False,11630,11574,1163,71,751,0.3752376015206497,0.5470883013651288,0.07767409711422153,0.31933644375324,0.21738379125626403,-0.0027957433606179854,0.0024741087545640658,0.007312771502055451,0.016204210873730456,0.05656015145589673,0.10171663998701017,-0.049625224379966054,-0.07894052500761073,1.2885224664670467,0.0019876485726361935,-0.0038105060999258826,-0.05793860661655499,1.0473826060519016,0.9154482569154441,49,-0.004583358857285404,0.89872990390608,0.0012103283420463306,1.0287302894488786,242,-0.007532381774764817,0.8363577976341396,-0.0017558820936672596,0.9590175629997133,20210520,-0.003932130404634456,0.9128249066051479,202102,-0.0041894930996900755,0.907368510029679
