time_slice_type,time_slice,cohort,primary_selection,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf,auc_on_common_stage_a_pool,mean_daily_path_ic,median_daily_path_ic,positive_ic_day_rate,ic_days
YEAR,2023,CHIP_TOP5,True,1115,1113,223,12,166,0.38185085354896675,0.5013477088948787,0.11680143755615453,0.3252470799640611,0.2183288409703504,-0.001652028268365535,0.0027085778306195837,0.009357411564359177,0.01626206170300645,0.053275095315714185,0.09467297136049473,-0.042951578335222264,-0.0691297202943441,1.369497387771732,0.006353997419229376,0.000529853601232242,-0.05548428790424123,1.1645473005482043,1.0127337517899426,5,-0.0002633817989405376,0.9936986900037813,0.005556139531137022,1.1432390617224986,25,-0.0032821610608967412,0.9228929461672268,0.0025197402460560812,1.0637871548796987,20230711,-5.6046646805749685e-05,0.9986591051576373,202304,-0.0012082208750286026,0.9712566416519747,0.5288141899737638,0.044556046292838235,0.04650164157998002,0.5882352941176471,221
YEAR,2024,COMMON_STAGE_A_TOP30,False,6210,6182,207,12,408,0.349239728243287,0.5681009382076998,0.08265933354901327,0.29343254610158526,0.19896473633128436,-0.0035194490175938804,-8.767819873362866e-06,0.003613327553727552,0.007640401983136491,0.05154838872814669,0.08996090102418272,-0.04917643643514784,-0.07747316875908469,1.1611878339961883,-0.0021422805443738727,-0.007916807073710355,-0.05892470192182824,0.9501464368724974,0.8287892976642882,25,-0.00867380616846733,0.8131768403268695,-0.0029036569956540897,0.9327015091587342,121,-0.011478353072960737,0.7566251426813685,-0.005724576324527053,0.8693893793123356,20240806,-0.008369448147641035,0.8197056230769897,202402,-0.009620579483959335,0.7945871217455185,,,,,
YEAR,2024,OHLCV_TOP5_COMMON_DATES,False,1035,1033,207,12,186,0.3872216844143272,0.5469506292352372,0.06582768635043562,0.32623426911907066,0.21200387221684414,-0.0025602283439821075,0.0013345872008547635,0.005709743160851025,0.011231513038401591,0.05578936704798367,0.0976224032356703,-0.04956856245524943,-0.08034497478132777,1.215040561047731,0.002454594997357814,-0.0033464297694063365,-0.05848157853085828,1.0576538546286842,0.9267438492857997,5,-0.004240869454766653,0.9076131676632639,0.0015549877842021033,1.0363469755391304,22,-0.007134876697440363,0.8471379477477552,-0.001355881165086301,0.9688311365809295,20240215,-0.003956164070696831,0.9138154403019231,202402,-0.0057059281576631255,0.877232468997624,0.5153830044175127,0.02639529133532218,0.0323254091917618,0.5507246376811594,207
YEAR,2024,CHIP_TOP5,True,1035,1033,207,12,180,0.38334946757018395,0.5595353339787028,0.057115198451113264,0.32623426911907066,0.21878025169409487,-0.003725814895037056,0.0016925931917991844,0.0056263593436255786,0.010446074934597196,0.05637378042692746,0.099215337850405,-0.05005867599738366,-0.0823856951064142,1.2042787005954447,0.0009927979392581252,-0.004799704382986794,-0.05864685410604778,1.0227347794064,0.8974690634530843,5,-0.005701032910254404,0.878804421552354,8.626525989980184e-05,1.0019658872492325,22,-0.00862924058887053,0.8195886541588887,-0.002859042985213393,0.9359231141731765,20240215,-0.005403370196357535,0.8851322932487511,202402,-0.006894800693088146,0.8549160324297058,0.5176846149922798,0.03531373178297438,0.037817462841774195,0.5652173913043478,207
YEAR,2025,COMMON_STAGE_A_TOP30,False,6810,6801,227,12,373,0.3323040729304514,0.564622849580944,0.10307307748860461,0.27672401117482726,0.18056168210557272,-0.0034486852726110725,-0.0018998475049819595,-0.00133653052805036,0.008453452107275928,0.04646868137048478,0.08503023498071538,-0.04966200779281808,-0.0770464418325964,1.1036231259772626,-0.0031419493982621552,-0.008910236412317021,-0.05866908319172126,0.9249457170185114,0.8027656813276521,27,-0.009660761381310794,0.7870012622644404,-0.0038968080015910605,0.9072833524979893,131,-0.01242572985012604,0.7302457949390707,-0.006677916495023729,0.8435518841722517,20250422,-0.009274859872149124,0.7952679643868618,202512,-0.01239793034151627,0.7340324426576984,,,,,
YEAR,2025,OHLCV_TOP5_COMMON_DATES,False,1135,1133,227,12,159,0.36893203883495146,0.5542806707855251,0.07678729037952339,0.3124448367166814,0.19240953221535745,-0.00192254346707934,0.003207721686234298,0.005120054853667409,0.013053490744007233,0.053146569770984475,0.09353410750612731,-0.04793463019239848,-0.07746126684915494,1.2074951948342387,-0.0001769493259437129,-0.005962215471129832,-0.059060142270885116,0.995792956946601,0.8681959012424403,5,-0.006768183402384679,0.8510390075585789,-0.000987622380327337,0.9766224951123926,24,-0.009660774728164056,0.7909573798198856,-0.0038970899518377356,0.9093077638206539,20250729,-0.006338409167854531,0.860374239412108,202512,-0.008705048732662566,0.8128630381115803,0.5327714257317304,0.038921034351925995,0.05019580391789373,0.5929203539823009,226
YEAR,2025,CHIP_TOP5,True,1135,1135,227,12,152,0.3832599118942731,0.5585903083700441,0.05814977973568282,0.31894273127753303,0.2026431718061674,-0.0027206562865894385,-8.193644009621168e-05,0.0009971735280939295,0.011154106831104352,0.051458178539146734,0.09395376485470122,-0.05151812825840323,-0.08145720382513641,1.1534125951142526,0.0007615031068909289,-0.00502933582027173,-0.05898042020855047,1.0179626856936734,0.889518258662051,5,-0.0058354786060116,0.8723740645276603,-4.9311529845317045e-05,0.9988419410975704,24,-0.008739805211541852,0.8120683935862371,-0.002970604797237438,0.9314097056366303,20250422,-0.005580985269956825,0.8779400090333956,202512,-0.008289895800072836,0.8236905964529413,0.5386974721953178,0.04288564048273153,0.05188035837590356,0.5929203539823009,226
OVERALL,2020_2025,COMMON_STAGE_A_TOP30,False,34890,34757,1163,71,1053,0.3467502949046235,0.5510256926662255,0.10222401242915097,0.2917397934229076,0.19567281410938803,-0.003235162835720298,0.0008400482350056343,0.004946314011874309,0.01194016920141575,0.051582847350542985,0.09185987910244263,-0.047702709264394225,-0.07510948084287136,1.2230131012969323,-0.0008777876574561282,-0.0066593113745657346,-0.057984573417459016,0.9789153698596768,0.8515433322162062,139,-0.007400141568681297,0.8356876889425601,-0.0016229016021947168,0.9611734863292012,692,-0.010239945677817488,0.7762648866159403,-0.004479284616613742,0.8945488585093399,20210520,-0.006749663476052516,0.8496381191199923,202102,-0.007022276466506141,0.8439745556440278,,,,,
OVERALL,2020_2025,OHLCV_TOP5_COMMON_DATES,False,5815,5793,1163,71,646,0.3770067322630761,0.5418608665630934,0.08113240117383048,0.3184878301398239,0.21353357500431555,-0.00222336547838125,0.0028069712672603784,0.006596205747342027,0.013421071070088896,0.05618229881776706,0.10085353823911476,-0.04898946295631257,-0.07933468106063317,1.2712414909947816,0.0019163362406843854,-0.003881462723307143,-0.057663747766922464,1.045716692557457,0.9138094976386082,25,-0.00466927199086069,0.8967631158414807,0.0011239718490170596,1.0266980933728493,121,-0.007578203535749105,0.8352357630443299,-0.0018019292723104594,0.9579105234645692,20210520,-0.004016619110237896,0.9108852410874487,202004,-0.004385844559615592,0.9031303398573999,0.5352363789796444,0.04251070032999571,0.04901703410984256,0.5855777584708949,1151
OVERALL,2020_2025,CHIP_TOP5,True,5815,5786,1163,71,619,0.3935361216730038,0.5432077428275147,0.0632561354994815,0.33511925337020393,0.22934669892844797,-0.0023713686863490947,0.003121895177599504,0.008249041500705533,0.01603625829751812,0.058795950997267664,0.10536924416002687,-0.05020532066271501,-0.0809782507497132,1.301204251567512,0.0033810929089506604,-0.0024251581090920806,-0.05785123597638025,1.0801311878347024,0.9464098591202365,25,-0.003207886040633671,0.9294197457501159,0.0025938381202161727,1.0612078028614433,124,-0.006195115582249004,0.866036745413089,-0.00041080616457589875,0.9904726336884483,20210520,-0.0025564731113724725,0.943556932247283,202004,-0.0029611573513434733,0.9349250565392432,0.5389878353604322,0.052425216108853534,0.06302910473629028,0.6003475238922676,1151
