feature,outcome,discovery_observations,same_day_spearman,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,raw_p_value,top_quintile_mean,bottom_quintile_mean,top_minus_bottom_effect,bh_fdr_q_value
foreign_consecutive_buy_days_5d,mae10,15100,-0.029346332246100146,-0.04493459970129011,-0.01415280870822326,0.0,-0.08467058777799756,-0.07770610494068314,-0.00696448283731442,0.0
foreign_consecutive_buy_days_5d,mfe10,15100,-0.003036958148377738,-0.019862702219203422,0.012455520680562557,0.688,0.09814041676046176,0.10318164574943783,-0.005041228988976076,0.8156701030927834
foreign_consecutive_buy_days_5d,net_return,15100,-0.012198428598881232,-0.026553105773044317,0.003340075839617672,0.118,-0.008786719304567151,-0.004253785757530091,-0.00453293354703706,0.2875
foreign_sign_persistence_5d,path_success,15100,-0.0017446510048602535,-0.01876643695515296,0.014504598232313832,0.796,0.35799522673031026,0.3556390977443609,0.002356128985949335,0.8718095238095239
foreign_sign_persistence_5d,downside_first,15100,0.004133580104148816,-0.011736207205668755,0.020288788643440282,0.63,0.5629048755540402,0.5631578947368421,-0.0002530191828018502,0.7952127659574468
foreign_sign_persistence_5d,mae10,15100,-0.03686908946443098,-0.0520473716168557,-0.01998890813479662,0.0,-0.08449738851463287,-0.07917971675197118,-0.005317671762661694,0.0
foreign_sign_persistence_5d,mfe10,15100,-0.009296805845704128,-0.02529098247323599,0.0073716382991942594,0.3,0.09872143786254207,0.10050035570973331,-0.0017789178471912387,0.5227272727272727
foreign_sign_persistence_5d,net_return,15100,-0.019699423420070018,-0.03594459990086939,-0.004519196094592057,0.012,-0.008178270495172604,-0.006908043831482585,-0.001270226663690019,0.0575
investment_trust_net_volume_ratio_1d,path_success,15100,0.0008185195828268038,-0.016730851361165727,0.017294539798609197,0.912,0.343811394891945,0.3774981495188749,-0.03368675462692988,0.9534545454545456
investment_trust_net_volume_ratio_1d,downside_first,15100,-0.004185674437019296,-0.021867523865766417,0.013992288220869913,0.65,0.5477406679764244,0.5055514433752776,0.042189224601146824,0.7952127659574468
investment_trust_net_volume_ratio_1d,mae10,15100,0.04929179474874848,0.032038953588284,0.0670302363358876,0.0,-0.06999535092790815,-0.07173519099154901,0.0017398400636408629,0.0
investment_trust_net_volume_ratio_1d,mfe10,15100,0.015970402278585785,-0.003033045854231916,0.032600569125704144,0.086,0.09070029679341021,0.09780874118123685,-0.007108444387826637,0.2602631578947368
