stock_id,name,signal_date,entry_date,entry_price,exit_date,exit_price,holding_days,exit_reason,exit_trigger_date,exit_execution_delay_sessions,gross_return,net_return,net_return_slippage_0_1,volume_ratio,daily_return,breakout_ratio,breakout_type,foreign_ratio,investment_trust_ratio,combined_ratio,signal_low,initial_stop_price,t1_gap_pct,mfe,mae,day1_close_return,day3_close_return,day5_close_return,day8_close_return,post_exit_5d_max_return
2371,大同,20251211,20251212,34.05,20251216,32.4,2,Close Confirmed Stop,20251215,0,-0.048458149779735615,-0.0520708895853223,-0.05393847703076613,2.907931172373497,0.039755351681957096,0.9898107714701601,Pre-breakout,0.12956693663912472,0.0001558734252836215,0.12972281006440836,33.15,33.15,0.0014705882352941124,0.07048458149779746,-0.07195301027900136,0.03083700440528636,,,,0.0030864197530864335
2371,大同,20260603,20260604,31.7,20260609,29.25,3,Close Confirmed Stop,20260608,0,-0.07728706624605675,-0.08078946140359067,-0.08263250977596122,3.513306493904151,0.06030150753768826,0.9952830188679245,Pre-breakout,0.03887017199269185,0.0033346206203972743,0.04220479261308912,29.95,30.115,0.0015797788309637184,0.034700315457413256,-0.12460567823343849,0.011041009463722329,-0.08990536277602512,,,-0.010256410256410331
2374,佳能,20231123,20231124,26.35,20231205,25.8,8,Day 8 Time Stop,20231205,0,-0.020872865275142316,-0.02459806055676493,-0.026553127828450047,2.4277826409574583,0.031372549019607954,1.0154440154440156,Breakout,0.1485935402058068,0.0006676218109375146,0.14926116201674433,25.65,25.65,0.0019011406844107182,0.030360531309297834,-0.026565464895635826,0.009487666034155628,0.015180265654648917,0.018975332068311257,-0.020872865275142316,0.06782945736434098
2374,佳能,20241212,20241213,51.5,20241224,63.8,8,Day 8 Time Stop,20241224,0,0.23883495145631062,0.23413706853426708,0.23165948187859664,9.538645953500945,0.058581706063720373,1.035175879396985,Extended Breakout,0.08352902736678418,0.0,0.08352902736678418,48.85,48.925,0.0,0.29902912621359223,-0.03398058252427183,-0.025242718446601864,0.09902912621359228,0.19611650485436893,0.23883495145631062,0.13322884012539182
2374,佳能,20250717,20250718,56.4,20250729,58.8,8,Day 8 Time Stop,20250729,0,0.042553191489361764,0.038597615519152,0.036519375680210533,2.902833378727339,0.031135531135531025,1.0071556350626119,Breakout,0.048109184414018256,0.0,0.048109184414018256,54.6,54.6,0.001776198934280604,0.10992907801418439,-0.014184397163120477,0.00886524822695045,0.03546099290780136,0.06205673758865249,0.042553191489361764,0.15136054421768708
2374,佳能,20260116,20260119,82.6,20260128,91.1,8,Day 8 Time Stop,20260128,0,0.102905569007264,0.09873048893511746,0.0965204165292006,4.431323014613523,0.03783102143757877,1.0135467980295565,Breakout,0.18696120589568402,-0.0006966039165858607,0.18626460197909817,80.1,80.1,0.0036452004860267895,0.11985472154963683,-0.03389830508474578,-0.02421307506053272,-0.001210653753026536,0.007263922518159882,0.102905569007264,0.07135016465422606
2374,佳能,20260128,20260129,93.1,20260202,83.2,2,Close Confirmed Stop,20260130,0,-0.10633727175080554,-0.10972917819821128,-0.11152116689495713,1.9359921044747306,0.02015677491601342,0.9848648648648648,Pre-breakout,0.07200236360951731,0.0,0.07200236360951731,87.5,88.445,0.021953896816685026,0.04833512352309355,-0.08485499462943058,0.01611170784103111,,,,0.028846153846153744
2374,佳能,20260430,20260504,80.0,20260511,79.0,5,Day 5 Weakness,20260508,0,-0.012499999999999956,-0.016260162601626018,-0.018238684303275396,5.841959716237322,0.04533333333333345,0.9861635220125787,Pre-breakout,0.03464046183782472,0.0,0.03464046183782472,74.5,76.0,0.020408163265306145,0.03874999999999984,-0.036250000000000115,0.02499999999999991,-0.010000000000000009,-0.018750000000000044,,0.08227848101265822
2374,佳能,20260515,20260518,81.5,20260520,80.1,2,Close Confirmed Stop,20260519,0,-0.01717791411042957,-0.02090387948273566,-0.02287319079043746,3.0049334068022846,0.023661270236612797,0.982078853046595,Pre-breakout,0.08593178758702812,-0.0001404950374255071,0.0857912925496026,81.2,81.2,-0.008515815085158196,0.018404907975460016,-0.052760736196318936,0.011042944785276232,,,,0.07116104868913853
2375,凱美,20230308,20230309,81.5,20230314,76.0,3,Close Confirmed Stop,20230313,0,-0.06748466257668717,-0.07102386348486868,-0.07289238039789801,3.445422221501153,0.04166666666666674,1.0165184243964422,Breakout,-0.010234168466938367,0.04334246720139942,0.033108298734461056,75.5,77.425,0.018750000000000044,0.01717791411042957,-0.08343558282208585,-0.009815950920245342,-0.05521472392638038,,,0.043421052631578805
