record_type,total_round_trip_friction,sample_size,average_return_after_friction,median_return_after_friction,win_rate_after_friction,profit_factor_after_friction,share_of_trades_exceeding_friction,definition,percentile,break_even_total_friction,stock_id,name,signal_date,entry_date,exit_date,gross_return,max_nonnegative_friction,already_negative_before_friction,observed_effective_friction_net_0_1
friction_scenario,0.0,2385,0.004079820863317421,-0.015837104072398245,0.35974842767295595,1.1619401165088445,0.35974842767295595,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.002,2385,0.0020798208633174197,-0.017837104072398247,0.3559748427672956,1.0785576488303805,0.3559748427672956,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.003,2385,0.0010798208633174197,-0.018837104072398244,0.35052410901467507,1.039813188502793,0.35052410901467507,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.004,2385,7.982086331741875e-05,-0.019837104072398245,0.34591194968553457,1.002874026496984,0.34591194968553457,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.005,2385,-0.0009201791366825798,-0.020837104072398246,0.34129979035639413,0.9676333945020432,0.34129979035639413,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.006,2385,-0.0019201791366825797,-0.021837104072398243,0.33542976939203356,0.9339957709547625,0.33542976939203356,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.008,2385,-0.003920179136682581,-0.023837104072398245,0.3287211740041929,0.8711698579714149,0.3287211740041929,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.01,2385,-0.0059201791366825796,-0.025837104072398247,0.31949685534591193,0.8137157757498257,0.31949685534591193,descriptive additive friction subtracted from gross return,,,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.0,-0.2098214285714286,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.01,-0.1087265700483092,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.05,-0.0786404118597572,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.1,-0.06501488152757917,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.25,-0.04498269896193774,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.5,-0.015837104072398245,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.75,0.028795811518324665,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.9,0.09942934974050663,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.95,0.16493164051156362,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.99,0.305374346527259,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,1.0,0.5238095238095237,,,,,,,,,
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.025258323765786295,1319,東陽,20240125,20240126,20240202,-0.025258323765786295,0,True,0.005669445590845448
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.009345794392523366,1319,東陽,20250723,20250724,20250731,-0.009345794392523366,0,True,0.005741219922541245
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,0.05504587155963292,1319,東陽,20260115,20260116,20260127,0.05504587155963292,0.05504587155963292,False,0.006108110503728649
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,0.07978723404255317,1319,東陽,20260603,20260604,20260615,0.07978723404255317,0.07978723404255317,False,0.00626418531905279
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.10817307692307687,1324,地球,20231208,20231211,20231213,-0.10817307692307687,0,True,0.005171906758966671
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.01239669421487588,1326,台化,20221111,20221114,20221121,-0.01239669421487588,0,True,0.005740039441025482
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.020519835841313228,1326,台化,20230109,20230110,20230112,-0.020519835841313228,0,True,0.005688834725564595
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,0.07370517928286846,1326,台化,20250718,20250721,20250730,0.07370517928286846,0.07370517928286846,False,0.006205683575085122
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.025423728813559365,1326,台化,20250812,20250813,20250820,-0.025423728813559365,0,True,0.005638171036671025
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,0.018382352941176405,1326,台化,20260127,20260128,20260202,0.018382352941176405,0.018382352941176405,False,0.005875991973365975
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.07692307692307687,1326,台化,20260226,20260302,20260303,-0.07692307692307687,0,True,0.005346842025916537
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.1289473684210527,1326,台化,20260603,20260604,20260608,-0.1289473684210527,0,True,0.005025044497523223
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.06689536878216118,1326,台化,20260625,20260626,20260629,-0.06689536878216118,0,True,0.0054025445771695435
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.036641221374045796,1402,遠東新,20221114,20221115,20221116,-0.036641221374045796,0,True,0.005608357522533698
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.009331259720062102,1402,遠東新,20240229,20240301,20240308,-0.009331259720062102,0,True,0.005740777872928362
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.021306818181818232,1402,遠東新,20240516,20240517,20240521,-0.021306818181818232,0,True,0.005679812537083856
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.04302925989672979,1402,遠東新,20260126,20260127,20260202,-0.04302925989672979,0,True,0.005528290267255986
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.03076923076923077,1402,遠東新,20260820,20260821,20260828,-0.03076923076923077,0,True,0.005624186143618717
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.008695652173912993,1442,名軒,20240429,20240430,20240510,-0.008695652173912993,0,True,0.005743092260048634
