stock_id,name,signal_date,entry_date,entry_price,baseline_status,baseline_trade_completed,forward_1d_date,forward_1d_close,forward_1d_close_return,forward_1d_mfe,forward_1d_mae,forward_1d_observed_stock_bars,forward_1d_complete_stock_window,forward_3d_date,forward_3d_close,forward_3d_close_return,forward_3d_mfe,forward_3d_mae,forward_3d_observed_stock_bars,forward_3d_complete_stock_window,forward_5d_date,forward_5d_close,forward_5d_close_return,forward_5d_mfe,forward_5d_mae,forward_5d_observed_stock_bars,forward_5d_complete_stock_window,forward_8d_date,forward_8d_close,forward_8d_close_return,forward_8d_mfe,forward_8d_mae,forward_8d_observed_stock_bars,forward_8d_complete_stock_window
1319,東陽,20230613,20230614,52.2,entered,True,20230614,53.4,0.02298850574712641,0.04214559386973171,-0.003831417624521105,1,True,20230616,54.0,0.0344827586206895,0.05555555555555558,-0.003831417624521105,3,True,20230620,54.5,0.044061302681992265,0.08812260536398453,-0.003831417624521105,5,True,20230627,51.1,-0.021072796934865967,0.08812260536398453,-0.021072796934865967,8,True
1319,東陽,20230727,20230728,58.8,entered,True,20230728,60.6,0.03061224489795933,0.04931972789115657,-0.010204081632652962,1,True,20230801,61.0,0.03741496598639471,0.07823129251700678,-0.010204081632652962,3,True,20230804,58.3,-0.008503401360544172,0.07823129251700678,-0.020408163265306034,5,True,20230809,60.0,0.020408163265306145,0.07823129251700678,-0.020408163265306034,8,True
1319,東陽,20240125,20240126,87.1,entered,True,20240126,86.3,-0.00918484500574046,0.016073478760046056,-0.02066590126291612,1,True,20240130,86.0,-0.012629161882893203,0.016073478760046056,-0.021814006888633664,3,True,20240201,84.1,-0.03444316877152698,0.016073478760046056,-0.036739380022961954,5,True,20240215,89.4,0.02640642939150406,0.03788748564867972,-0.06429391504018367,8,True
1319,東陽,20250723,20250724,107.0,entered,True,20250724,108.5,0.014018691588784993,0.02336448598130847,-0.02336448598130836,1,True,20250728,104.5,-0.02336448598130836,0.02336448598130847,-0.032710280373831724,3,True,20250730,106.0,-0.009345794392523366,0.02336448598130847,-0.032710280373831724,5,True,20250804,104.5,-0.02336448598130836,0.02336448598130847,-0.03738317757009346,8,True
1319,東陽,20260115,20260116,109.0,entered,True,20260116,112.0,0.02752293577981657,0.032110091743119185,-0.01834862385321101,1,True,20260120,108.0,-0.00917431192660545,0.04587155963302747,-0.022935779816513735,3,True,20260122,110.5,0.013761467889908285,0.04587155963302747,-0.022935779816513735,5,True,20260127,115.0,0.05504587155963292,0.06422018348623859,-0.022935779816513735,8,True
1319,東陽,20260603,20260604,94.0,entered,True,20260604,96.5,0.02659574468085113,0.03191489361702127,-0.014893617021276673,1,True,20260608,97.8,0.04042553191489362,0.042553191489361764,-0.014893617021276673,3,True,20260610,107.0,0.13829787234042556,0.14893617021276606,-0.014893617021276673,5,True,20260615,105.0,0.11702127659574457,0.14893617021276606,-0.014893617021276673,8,True
1324,地球,20231208,20231211,20.8,entered,True,20231211,20.55,-0.012019230769230727,0.03125,-0.04086538461538469,1,True,20231213,18.55,-0.10817307692307687,0.03125,-0.12019230769230771,3,True,20231215,18.05,-0.13221153846153844,0.03125,-0.1346153846153847,5,True,20231220,18.2,-0.1250000000000001,0.03125,-0.14423076923076927,8,True
1326,台化,20221111,20221114,72.6,entered,True,20221114,74.0,0.019283746556473913,0.019283746556473913,-0.004132231404958664,1,True,20221116,73.3,0.009641873278236845,0.024793388429752206,-0.004132231404958664,3,True,20221118,72.0,-0.008264462809917328,0.024793388429752206,-0.01377410468319562,5,True,20221123,72.5,-0.0013774104683195176,0.024793388429752206,-0.016528925619834545,8,True
1326,台化,20230109,20230110,73.1,entered,True,20230110,72.5,-0.008207934336525224,0.0,-0.013679890560875485,1,True,20230112,71.2,-0.025991792065663377,0.0,-0.025991792065663377,3,True,20230116,72.9,-0.002735978112174964,0.004103967168262779,-0.025991792065663377,5,True,20230131,72.2,-0.012311901504787892,0.015047879616963078,-0.025991792065663377,8,True
1326,台化,20250718,20250721,25.1,entered,True,20250721,25.75,0.02589641434262946,0.047808764940239,-0.003984063745020028,1,True,20250723,26.8,0.06772908366533859,0.07968127490039834,-0.003984063745020028,3,True,20250725,26.65,0.06175298804780871,0.0816733067729083,-0.003984063745020028,5,True,20250730,29.5,0.17529880478087634,0.17928286852589648,-0.003984063745020028,8,True
1326,台化,20250812,20250813,29.5,entered,True,20250813,28.75,-0.025423728813559365,0.016949152542372836,-0.03050847457627115,1,True,20250815,29.5,0.0,0.016949152542372836,-0.047457627118643986,3,True,20250819,29.0,-0.016949152542372836,0.03389830508474567,-0.047457627118643986,5,True,20250822,31.0,0.05084745762711873,0.11016949152542366,-0.05084745762711862,8,True
1326,台化,20260127,20260128,40.8,entered,True,20260128,44.1,0.08088235294117663,0.0931372549019609,-0.008578431372548878,1,True,20260130,42.35,0.03799019607843146,0.13970588235294135,-0.008578431372548878,3,True,20260203,39.4,-0.03431372549019607,0.13970588235294135,-0.056372549019607754,5,True,20260206,39.05,-0.04289215686274506,0.13970588235294135,-0.056372549019607754,8,True
