feature,quintile,feature_min,feature_max,global_q20,global_q40,global_q60,global_q80,trades,gross_sample_size,gross_average_return,gross_median_return,gross_win_rate,gross_profit_factor,net_sample_size,net_average_return_slippage_0_1,net_median_return_slippage_0_1,net_win_rate_slippage_0_1,net_profit_factor_slippage_0_1,average_actual_mfe,average_actual_mae,day8_forward_sample_size,average_day8_forward_return,median_day8_forward_return,day8_forward_win_rate,day8_forward_profit_factor
breakout_ratio,Q2,0.996309963099631,1.0085959885386822,0.9963090542235473,1.0086407075542012,1.019062159214831,1.0302419379936636,477,477,-0.0005341033248174493,-0.017699115044247815,0.3333333333333333,0.9786427060119921,477,-0.006320102143403126,-0.023386035059032126,0.3165618448637317,0.7802793109284871,0.06168610843317953,-0.039703256018159404,475,-0.0005677671932197349,-0.011869436201780603,0.4189473684210526,0.982263309379159
breakout_ratio,Q3,1.0086705202312138,1.019047619047619,0.9963090542235473,1.0086407075542012,1.019062159214831,1.0302419379936636,477,477,0.0014929606660436018,-0.014010507880910739,0.3480083857442348,1.0658560422499896,477,-0.0043051407083258796,-0.019712144857779394,0.31236897274633124,0.8369353784012511,0.056007062223424386,-0.0367529645580114,476,0.005084753985608723,-0.0059702183913370455,0.45168067226890757,1.1867571538896946
breakout_ratio,Q4,1.0190839694656488,1.0302375809935205,0.9963090542235473,1.0086407075542012,1.019062159214831,1.0302419379936636,477,477,0.00874756435270261,-0.01224489795918371,0.38784067085953877,1.3627336992906276,477,0.0029088634432167973,-0.017954562842506554,0.35639412997903563,1.105426895171296,0.07356389891676382,-0.040947593743396536,475,0.009513031026905937,-0.004081632653061273,0.4673684210526316,1.306299257578104
breakout_ratio,Q5,1.0302593659942363,1.05,0.9963090542235473,1.0086407075542012,1.019062159214831,1.0302419379936636,477,477,0.009288991259009104,-0.017000000000000015,0.39622641509433965,1.3361592785100147,477,0.0034458279201506604,-0.02269701321559411,0.37735849056603776,1.1111870229838474,0.07846101500052219,-0.04506440571666265,475,0.012896028674852946,-0.004385964912280715,0.4673684210526316,1.3747775993669542
foreign_ratio,Q1,-0.5879380830188764,0.03867927367152416,0.03874590835360778,0.07390251495807484,0.11830560805599105,0.20089085099585938,477,477,0.006618064888682096,-0.018796992481203034,0.3668763102725367,1.2476741856864642,477,0.0007904221637075599,-0.024481616205097083,0.33752620545073375,1.0260836325706237,0.07492195431645554,-0.043894488012846386,477,0.010784909324844077,-0.0038461538461538325,0.469601677148847,1.3205563998800987
foreign_ratio,Q2,0.03876256702412868,0.07381972401024736,0.03874590835360778,0.07390251495807484,0.11830560805599105,0.20089085099585938,477,477,-0.0007936268361087766,-0.018240343347639465,0.33542976939203356,0.9727926607332594,477,-0.006576883561880152,-0.023932237228939376,0.31236897274633124,0.8000581038287122,0.07210988305745397,-0.046176099964347656,476,0.004756227336954264,-0.01324234774953148,0.4327731092436975,1.1320834847638197
foreign_ratio,Q3,0.07395770892329316,0.11827808152813343,0.03874590835360778,0.07390251495807484,0.11830560805599105,0.20089085099585938,477,477,0.005026348970992714,-0.017751479289940808,0.3689727463312369,1.1933059662308894,477,-0.0007907095468640008,-0.023445068927424182,0.34591194968553457,0.9732404260445079,0.07233987936852722,-0.041753753866662226,475,0.004963000756281155,-0.011272141706924366,0.44,1.1376754263841202
foreign_ratio,Q4,0.1183468978477775,0.2008209888886069,0.03874590835360778,0.07390251495807484,0.11830560805599105,0.20089085099585938,477,477,0.005194826861909914,-0.012461059190031154,0.3584905660377358,1.229992774751586,477,-0.00062424605829068,-0.01817483431010667,0.33752620545073375,0.9761784527027059,0.0644255760045661,-0.03881816177039508,474,0.0062109767705197695,-0.008351058265629874,0.4219409282700422,1.216747424583048
foreign_ratio,Q5,0.20117029942486925,0.6686432128191921,0.03874590835360778,0.07390251495807484,0.11830560805599105,0.20089085099585938,477,477,0.004353490431111159,-0.013452914798206317,0.3689727463312369,1.2026050316125205,477,-0.001461716897841755,-0.019185682336587535,0.34591194968553457,0.9417199552343732,0.05367764232283642,-0.03408824937882867,473,0.007165984540006634,-0.0028208744710860323,0.4630021141649049,1.2908604783119493
investment_trust_ratio,Q1,-0.41491950434172403,0.0,0.0,0.0,0.0031807459532309477,0.03183318157767092,477,477,-0.0011086102887833695,-0.015679442508710784,0.32914046121593293,0.9546520783447154,477,-0.006891331259332556,-0.0213718003463102,0.3039832285115304,0.7560588129250904,0.057308098746252985,-0.03925791581738598,476,0.002112616085759454,-0.011974175767279216,0.39915966386554624,1.072091786819103
investment_trust_ratio,Q2,0.0,0.0,0.0,0.0,0.0031807459532309477,0.03183318157767092,477,477,0.008453637934741187,-0.019138755980861122,0.3584905660377358,1.3231893690093965,477,0.0026178533102321063,-0.024824449720083023,0.3249475890985325,1.0878663003578315,0.07875358911282208,-0.042411494117798564,475,0.013722469844256633,-0.006249999999999978,0.4673684210526316,1.3955615409737216
investment_trust_ratio,Q3,0.0,0.0031758099939893235,0.0,0.0,0.0031807459532309477,0.03183318157767092,477,477,0.004931247831791058,-0.018018018018018056,0.3584905660377358,1.1793117327698908,477,-0.0008861011910628282,-0.023703875487013942,0.3417190775681342,0.971493712287177,0.07238154922316097,-0.04389026105499474,475,0.0069073384827913874,-0.011827956989247213,0.44842105263157894,1.2019947466082141
investment_trust_ratio,Q4,0.0031881498920933882,0.0318034617532105,0.0,0.0,0.0031807459532309477,0.03183318157767092,477,477,0.009279616132135342,-0.011428571428571455,0.39622641509433965,1.4018001974677023,477,0.0034362226684324466,-0.017169195704931167,0.37735849056603776,1.1296556415054175,0.07127016576764379,-0.039372623656300204,473,0.008960775964075436,-0.0033333333333332993,0.47357293868921774,1.2889912136233688
investment_trust_ratio,Q5,0.03195206087551257,0.7057091414995591,0.0,0.0,0.0031807459532309477,0.03183318157767092,477,477,-0.0011567872932971132,-0.015094339622641506,0.35639412997903563,0.953293564583208,477,-0.006939777429438197,-0.02079692142939518,0.3312368972746331,0.7556533588082949,0.05776153221995942,-0.03979845834660052,476,0.002218684355140592,-0.007313812006952802,0.43907563025210083,1.0743134550209874
combined_ratio,Q1,0.025022992876467053,0.05157096151789936,0.05157571940704183,0.08809661396363953,0.1355107554109184,0.2142631392225102,477,477,0.0056634064201275805,-0.018867924528301883,0.35639412997903563,1.2092289208939508,477,-0.00015815103778613485,-0.024561456959890187,0.3312368972746331,0.9948478951523614,0.0769062424706645,-0.04463101336951519,477,0.012734422819124007,-0.0078125,0.4570230607966457,1.388250480707835
combined_ratio,Q2,0.05157690887932745,0.08809583858764186,0.05157571940704183,0.08809661396363953,0.1355107554109184,0.2142631392225102,477,477,0.0007570362065755719,-0.020804438280166426,0.33962264150943394,1.02615511410173,477,-0.005035370880212511,-0.02648516308728534,0.3060796645702306,0.8458376541758299,0.07448247927525233,-0.046073337093728996,476,0.00041969172958350687,-0.015113446017968601,0.42857142857142855,1.0108512926866502
combined_ratio,Q3,0.0880971308809713,0.1354964606704897,0.05157571940704183,0.08809661396363953,0.1355107554109184,0.2142631392225102,477,477,0.00800095080013275,-0.014836795252225476,0.3731656184486373,1.3173001276752645,477,0.002166056402212882,-0.020548444118056664,0.35639412997903563,1.0753793064689567,0.07276336801800441,-0.04048853642312833,475,0.011152434454084884,-0.005417118093174467,0.4694736842105263,1.3316928325257675
combined_ratio,Q4,0.1355321975215614,0.21425263003857292,0.05157571940704183,0.08809661396363953,0.1355107554109184,0.2142631392225102,477,477,0.0037023056373098845,-0.01224489795918371,0.36268343815513626,1.1611556859599528,477,-0.002108229386668693,-0.017954562842506554,0.33752620545073375,0.9207075167338838,0.06176885923137929,-0.038977100954282494,475,0.0038417410808563334,-0.00990099009900991,0.4105263157894737,1.1286265969791378
combined_ratio,Q5,0.2143051759582592,0.6683550970577367,0.05157571940704183,0.08809661396363953,0.1355107554109184,0.2142631392225102,477,477,0.002275405252441319,-0.013761467889908285,0.3668763102725367,1.1045409636927472,477,-0.003527438998714571,-0.019492955948629785,0.3480083857442348,0.8608473422728469,0.05155398607453871,-0.034560765152425,472,0.005726649722718083,-0.0028719280884050846,0.461864406779661,1.2384720689624766
t1_gap_pct,Q1,-0.05633802816901401,-0.003984063745020028,-0.003984063745019939,0.001699525310973371,0.007386044771465938,0.015151515151515138,477,477,0.013249881059157555,-0.012461059190031154,0.389937106918239,1.6368894635576339,477,0.0073833616520805855,-0.01817483431010667,0.36058700209643607,1.3042116422357002,0.07580659377952553,-0.03530014668477134,475,0.013915522486989858,-0.003669724770642202,0.4673684210526316,1.4789826576948129
