period,regime_feature,regime_bucket,feature_min,feature_max,trades,gross_sample_size,gross_average_return,gross_median_return,gross_win_rate,gross_profit_factor,net_sample_size,net_average_return_slippage_0_1,net_median_return_slippage_0_1,net_win_rate_slippage_0_1,net_profit_factor_slippage_0_1,average_actual_mfe,average_actual_mae,day8_forward_sample_size,average_day8_forward_return,median_day8_forward_return,day8_forward_win_rate,day8_forward_profit_factor
2022,taiex_close_ma60,Q3,0.05185532518002778,0.06557054490539871,26,26,0.005379548141016262,-0.020824862038919534,0.38461538461538464,1.2372386871122592,26,-0.00044106635756974854,-0.026491399034893177,0.38461538461538464,0.9831047996560675,0.060660312508117,-0.03616723574873965,26,0.0025353960136687984,-0.007619567194035337,0.4230769230769231,1.0842040478440822
2022,taiex_close_ma60,Q4,0.06997354884113705,0.0864950108410314,30,30,-0.0132989607140037,-0.024131759492052707,0.26666666666666666,0.5868524864835408,30,-0.019007984014685404,-0.029792040745361306,0.23333333333333334,0.476073124467193,0.04874544934870102,-0.04783279860443093,30,-0.024872127792619225,-0.02373913911914516,0.3333333333333333,0.4429139707666565
2022,taiex_close_ma60,Q5,,,0,0,,,,,0,,,,,,,0,,,,
2022,taiex_ma20_ma60,Q1,-0.07332563933070535,-0.0001805363242413094,165,165,0.008787604493893443,-0.004184100418409997,0.43636363636363634,1.4691766199586378,165,0.002948512807955494,-0.009939364819686686,0.40606060606060607,1.1344145419080631,0.06271973701728911,-0.03411470392059034,165,0.013851716994290632,0.00588235294117645,0.5272727272727272,1.6195122716151438
2022,taiex_ma20_ma60,Q2,0.007406099176130665,0.01953467918316254,9,9,0.026616745483775066,0.0,0.4444444444444444,4.1932961432656155,9,0.02067193764030973,-0.005796954598966023,0.4444444444444444,2.7968751988273453,0.08991241920475683,-0.023681359855208868,9,0.020894490429583024,0.0,0.4444444444444444,2.3585009242166315
2022,taiex_ma20_ma60,Q3,0.02367719827544912,0.03262406418402963,35,35,-0.020714231571686958,-0.028787878787878918,0.2,0.3504858540660033,35,-0.026381249759759546,-0.034415338230759665,0.2,0.27398367837881715,0.046480625912832634,-0.04207014856176927,35,-0.034077985801462624,-0.03700000000000003,0.22857142857142856,0.30625953109644866
2022,taiex_ma20_ma60,Q4,0.03895587276668633,0.053818949541805994,15,15,-0.007234400306887875,-0.045128205128205146,0.26666666666666666,0.7664098512506764,15,-0.012975066082332369,-0.05065364290049531,0.2,0.6303088806917492,0.04836539214303073,-0.051320192871477724,15,-0.01359047688592765,-0.011444921316166146,0.4666666666666667,0.6669517936374663
2022,taiex_ma20_ma60,Q5,0.06022573260251529,0.062344315993803745,5,5,-0.026961888381930543,-0.051359516616314105,0.2,0.3011724836314779,5,-0.03258993983431259,-0.05683588144573652,0.2,0.24178529998734433,0.04169952209814722,-0.04589895846242882,5,-0.028346575915631788,-0.018382352941176516,0.2,0.2907379464380755
2022,taiex_close_vs_ma60,Above MA60,,,148,148,0.003264228637318777,-0.009271935382195728,0.3716216216216216,1.154435364089582,148,-0.0025427691449860378,-0.015016243938787494,0.35135135135135137,0.896965265494205,0.060083443964814305,-0.036008709651892956,148,0.005434285054062447,-0.0013860553038948509,0.4594594594594595,1.2095565925983298
2022,taiex_close_vs_ma60,At/Below MA60,,,81,81,0.002939210629644448,-0.00797448165869219,0.4074074074074074,1.131467283432757,81,-0.0028646610674661105,-0.01372554045663824,0.37037037037037035,0.888640539295957,0.05958542066034984,-0.03684595360691806,81,0.0016171604198110387,0.0,0.48148148148148145,1.0519618011249727
2022,taiex_ma20_vs_ma60,MA20 Above MA60,,,64,64,-0.011387075658875605,-0.024131759492052707,0.25,0.6057913185354218,64,-0.017107374894302266,-0.029792040745361306,0.234375,0.4827463257254154,0.05265644019418986,-0.04195133005848616,64,-0.021097955032062785,-0.018218698137562217,0.3125,0.4942101525598526
2022,taiex_ma20_vs_ma60,MA20 At/Below MA60,,,165,165,0.008787604493893443,-0.004184100418409997,0.43636363636363634,1.4691766199586378,165,0.002948512807955494,-0.009939364819686686,0.40606060606060607,1.1344145419080631,0.06271973701728911,-0.03411470392059034,165,0.013851716994290632,0.00588235294117645,0.5272727272727272,1.6195122716151438
2022,taiex_joint_regime,Bear Rally: MA60 >= Close > MA20,,,81,81,0.002939210629644448,-0.00797448165869219,0.4074074074074074,1.131467283432757,81,-0.0028646610674661105,-0.01372554045663824,0.37037037037037035,0.888640539295957,0.05958542066034984,-0.03684595360691806,81,0.0016171604198110387,0.0,0.48148148148148145,1.0519618011249727
2022,taiex_joint_regime,Recovery: Close > MA60 >= MA20,,,84,84,0.014427127148704972,-0.0005464480874316502,0.4642857142857143,1.9471433687303494,84,0.00855407333068347,-0.006346016090856008,0.44047619047619047,1.4678758835252945,0.0657421135043377,-0.03148099886591719,84,0.02564932511968167,0.012012288294919182,0.5714285714285714,2.8440811159863415
2022,taiex_joint_regime,Strong Bull: MA20 > MA60,,,64,64,-0.011387075658875605,-0.024131759492052707,0.25,0.6057913185354218,64,-0.017107374894302266,-0.029792040745361306,0.234375,0.4827463257254154,0.05265644019418986,-0.04195133005848616,64,-0.021097955032062785,-0.018218698137562217,0.3125,0.4942101525598526
2023,taiex_close_ma20,Q1,0.00031226714303089764,0.013687068827235693,208,208,-0.005958788218947473,-0.02238160291438973,0.34615384615384615,0.7879816730528933,208,-0.011712913281531474,-0.028060220371083848,0.3317307692307692,0.6314749291589836,0.05978880772437841,-0.04050546143184856,208,-0.007816902646627315,-0.015859616351749373,0.4230769230769231,0.7661460344613266
2023,taiex_close_ma20,Q2,0.01413416934340006,0.022280859921865126,160,160,-0.006047877386869321,-0.01629415888231367,0.325,0.7370294953244096,160,-0.011802569662156443,-0.02198709500629869,0.29375,0.5604686425764963,0.05211518982192596,-0.03694778063802024,160,-0.0032307325604909202,-0.011975962633857362,0.40625,0.8789648168172983
2023,taiex_close_ma20,Q3,0.023962780986370058,0.03547889109097846,112,112,0.010471039072198913,-0.010382601908299427,0.39285714285714285,1.5407718814168543,112,0.004619920953716285,-0.01612205842650565,0.36607142857142855,1.2022041909880246,0.06073541157253163,-0.03611212731721198,112,0.023064310674740372,0.003466035770267939,0.5178571428571429,2.227280264303907
2023,taiex_close_ma20,Q4,0.03547889109097846,0.04688873845605879,123,123,0.010237270648276247,-0.004739336492891044,0.4146341463414634,1.6784319104026437,123,0.004387276677736621,-0.01049134777600369,0.3902439024390244,1.2380129698606244,0.0626119450830769,-0.029671409769400255,123,0.013714407680958829,-0.0016025641025640969,0.4796747967479675,1.7701018684326724
