stock_id,name,signal_date,entry_date,entry_price,exit_reason,actual_exit_date,actual_exit_price,counterfactual_day8_date,counterfactual_day8_close,actual_return,counterfactual_day8_return,difference,actual_net_return_slippage_0_1,counterfactual_day8_net_return_slippage_0_1,net_difference,actual_nonpositive_to_day8_positive,day8_available
1513,中興電,20230411,20230412,110.0,Day 5 Weakness,20230419,110.0,20230421,102.5,0.0,-0.06818181818181823,-0.06818181818181823,-0.005802031378496201,-0.07358673943458884,-0.06778470805609263,False,True
1513,中興電,20230620,20230621,134.0,Close Confirmed Stop,20230629,130.0,20230704,134.5,-0.02985074626865669,0.003731343283582156,0.03358208955223885,-0.03548577019519045,-0.002084472195151628,0.03340129800003882,True,True
1513,中興電,20231123,20231124,110.0,Day 8 Time Stop,20231205,129.5,20231205,129.5,0.17727272727272725,0.17727272727272725,0.0,0.1704448847069882,0.1704448847069882,0.0,False,True
1513,中興電,20240226,20240227,154.5,Trailing Stop,20240311,166.0,20240308,161.5,0.0744336569579287,0.0453074433656957,-0.029126213592232997,0.0682056857498021,0.03928330503239629,-0.028922380717405806,False,True
1513,中興電,20250516,20250519,152.5,Day 8 Time Stop,20250528,152.0,20250528,152.0,-0.003278688524590123,-0.003278688524590123,0.0,-0.00904326455830198,-0.00904326455830198,0.0,False,True
1513,中興電,20250829,20250901,173.5,Close Confirmed Stop,20250902,166.0,20250910,164.0,-0.043227665706051854,-0.05475504322766567,-0.011527377521613813,-0.04876862887978048,-0.06023489215342511,-0.011466263273644632,False,True
1513,中興電,20260122,20260123,185.5,Close Confirmed Stop,20260128,177.0,20260203,169.0,-0.04582210242587603,-0.0889487870619946,-0.04312668463611857,-0.051320551788488336,-0.09424348995233306,-0.04292293816384472,False,True
1513,中興電,20260526,20260527,168.5,Day 5 Weakness,20260603,171.0,20260605,170.5,0.014836795252225476,0.011869436201780381,-0.0029673590504450953,0.008953512173886726,0.006026754313206481,-0.0029267578606802453,False,True
1513,中興電,20260813,20260814,172.5,Close Confirmed Stop,20260820,165.0,20260825,165.5,-0.04347826086956519,-0.04057971014492756,0.0028985507246376274,-0.04901856214504292,-0.046126964312499165,0.002891597832543752,False,True
1514,亞力,20220606,20220607,30.3,Close Confirmed Stop,20220609,28.8,20220616,26.9,-0.04950495049504955,-0.11221122112211224,-0.06270627062706269,-0.054982446121139936,-0.11737178579813412,-0.062389339676994185,False,True
1514,亞力,20230131,20230201,34.6,Close Confirmed Stop,20230203,33.4,20230210,32.95,-0.034682080924855585,-0.047687861271676235,-0.01300578034682065,-0.04029546040588285,-0.05320340991695265,-0.0129079495110698,False,True
1514,亞力,20230220,20230221,35.3,Trailing Stop,20230301,38.3,20230306,39.95,0.08498583569405094,0.1317280453257792,0.04674220963172826,0.07871983210584244,0.12515007620519047,0.04643024409934804,False,True
1514,亞力,20230605,20230606,60.4,Close Confirmed Stop,20230607,57.9,20230615,58.2,-0.04139072847682124,-0.03642384105960261,0.004966887417218624,-0.046921999438513294,-0.04203368450424903,0.004888314934264261,False,True
1514,亞力,20231204,20231205,70.0,Day 8 Time Stop,20231214,89.0,20231214,89.0,0.27142857142857135,0.27142857142857135,0.0,0.2640810133737932,0.2640810133737932,0.0,False,True
1514,亞力,20240223,20240226,91.8,Day 8 Time Stop,20240307,113.5,20240307,113.5,0.23638344226579533,0.23638344226579533,0.0,0.22921468255368127,0.22921468255368127,0.0,False,True
1514,亞力,20250829,20250901,114.5,Close Confirmed Stop,20250902,109.5,20250910,107.0,-0.04366812227074235,-0.06550218340611358,-0.02183406113537123,-0.04920286979538061,-0.07091773815844665,-0.02171486836306604,False,True
1514,亞力,20251212,20251215,103.0,Close Confirmed Stop,20251217,99.6,20251224,102.0,-0.03300970873786413,-0.009708737864077666,0.023300970873786464,-0.03863864078039925,-0.0154604175532991,0.02317822322710015,False,True
1514,亞力,20260120,20260121,131.0,Trailing Stop,20260128,133.0,20260130,123.5,0.01526717557251911,-0.057251908396946605,-0.07251908396946571,0.009388473396138177,-0.06268921012957993,-0.0720776835257181,False,True
1515,力山,20230914,20230915,46.4,Close Confirmed Stop,20230919,43.7,20230926,41.35,-0.0581896551724137,-0.10883620689655171,-0.05064655172413801,-0.06361758693581089,-0.11400924119670873,-0.05039165426089784,False,True
1515,力山,20231114,20231115,53.7,Day 8 Time Stop,20231124,60.3,20231124,60.3,0.12290502793296088,0.12290502793296088,0.0,0.11641412626089166,0.11641412626089166,0.0,False,True
1519,華城,20220406,20220407,44.8,Close Confirmed Stop,20220408,42.6,20220418,41.9,-0.049107142857142794,-0.0647321428571428,-0.015625,-0.05459040915945161,-0.07014457770988486,-0.015554168550433248,False,True
1519,華城,20230217,20230220,58.5,Day 8 Time Stop,20230303,63.0,20230303,63.0,0.07692307692307687,0.07692307692307687,0.0,0.07067398120794491,0.07067398120794491,0.0,False,True
1519,華城,20230308,20230309,73.1,Close Confirmed Stop,20230314,67.3,20230320,72.0,-0.07934336525307795,-0.015047879616962967,0.06429548563611498,-0.08465733831823892,-0.020749836123643242,0.06390750219459568,False,True
1519,華城,20231207,20231208,363.0,Close Confirmed Stop,20231212,341.0,20231219,332.5,-0.06060606060606055,-0.08402203856749313,-0.023415977961432577,-0.06604748574582865,-0.08934017396674396,-0.023292688220915306,False,True
1522,堤維西,20230614,20230615,35.75,Day 8 Time Stop,20230628,37.6,20230628,37.6,0.051748251748251706,0.051748251748251706,0.0,0.045660392157006874,0.045660392157006874,0.0,False,True
1522,堤維西,20240219,20240220,44.4,Day 8 Time Stop,20240301,50.8,20240301,50.8,0.14414414414414423,0.14414414414414423,0.0,0.13750313624863686,0.13750313624863686,0.0,False,True
1522,堤維西,20240619,20240620,70.8,Day 8 Time Stop,20240701,71.2,20240701,71.2,0.005649717514124353,0.005649717514124353,0.0,-0.00016225219977753007,-0.00016225219977753007,0.0,False,True
1524,耿鼎,20220802,20220803,27.45,Close Confirmed Stop,20220804,25.8,20220812,25.85,-0.060109289617486295,-0.05828779599271394,0.0018214936247723523,-0.0655302579980936,-0.06374647566948444,0.0017837823286091653,False,True
1524,耿鼎,20221114,20221115,23.9,Day 5 Weakness,20221122,23.8,20221124,24.2,-0.004184100418409997,0.012552301255230214,0.01673640167364021,-0.009939364819686686,0.006690221869865345,0.016629586689552032,True,True
1524,耿鼎,20240216,20240219,34.1,Day 5 Weakness,20240226,34.4,20240229,36.3,0.008797653958944274,0.06451612903225801,0.055718475073313734,0.0029436917466679193,0.05832846297999044,0.05538477123332252,False,True
