year,cohort,observations,evaluable_observations,signal_dates,unique_stocks,success_rate,downside_first_rate,timeout_rate,day5_positive_rate,day10_positive_rate,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,gross_mean,net_mean,gross_pf,net_pf
2022,STAGE_A_AND_CZSC,1646,1638,244,196,0.2905982905982906,0.6147741147741148,0.09462759462759462,0.39377289377289376,0.4139194139194139,0.040061866645266085,0.06947477566979766,-0.05212126597892806,-0.07946698581927893,-0.012375271388511515,-0.018089817358193375,0.7297482206578486,0.6333273315695361
2022,STAGE_A_WITHOUT_CZSC,5734,5724,246,327,0.29804332634521313,0.5883997204751922,0.11355695317959469,0.42557651991614254,0.41264849755415794,0.04213959495284112,0.07297835446186259,-0.050182417337484214,-0.07976556581689356,-0.008977655850905791,-0.014712230127951337,0.7973916223751242,0.6918520927347174
2023,CZSC_ONLY_ALL,20855,20821,239,832,0.20272801498487103,0.3566111137793574,0.4406608712357716,0.4487296479515873,0.46409874645790306,0.02625458208141299,0.04872052441339308,-0.027347124453042316,-0.04258894020427245,0.001393829814193325,-0.0044009615333038925,1.0510431943813978,0.8554453250195376
2023,STAGE_A_TOP30,7170,7154,239,394,0.3500139781940173,0.5079675705898797,0.14201845121610288,0.4654738607771876,0.48462398658093375,0.04749436279049719,0.08475932088416942,-0.04133254452187431,-0.06410525028376739,0.0038629691149523696,-0.0019458101865242122,1.1030889226907952,0.9520465917045581
2023,STAGE_A_AND_CZSC,1767,1760,239,235,0.32443181818181815,0.5238636363636363,0.15170454545454545,0.4403409090909091,0.47102272727272726,0.04401317720191208,0.08202118837500912,-0.043559473852921034,-0.06497356125703255,-3.07708138681112e-05,-0.005816725930407902,0.9992054170883506,0.8614225804596927
2023,STAGE_A_WITHOUT_CZSC,5403,5394,239,362,0.35836114200964037,0.5027808676307007,0.13885799035965887,0.4736744530960326,0.4890619206525769,0.04863023350534885,0.08565274194759583,-0.04060592316061324,-0.0638219304259723,0.005133451553722124,-0.0006827750161061001,1.1385053957053866,0.9829821563276316
2024,CZSC_ONLY_ALL,23026,22981,242,942,0.2293198729385144,0.4314433662590836,0.339236760802402,0.4293981985118141,0.44049432139593575,0.029836682582455584,0.054976216798639906,-0.03459530457321814,-0.05411279455983459,-0.0029445538309880864,-0.00871405863265961,0.9104072019151682,0.7588029801498429
2024,STAGE_A_TOP30,7260,7224,242,418,0.3504983388704319,0.5712901439645626,0.07821151716500553,0.44739756367663347,0.43521594684385384,0.05202997252565063,0.09154934835340288,-0.051214703672693034,-0.07970574463570587,-0.0024378259645743074,-0.0082106800988304,0.9439424161226297,0.8244063775622681
2024,STAGE_A_AND_CZSC,2021,2007,242,283,0.3452914798206278,0.57847533632287,0.07623318385650224,0.4444444444444444,0.4225211758844046,0.0505806685539237,0.08912804936771482,-0.05180769433716625,-0.07968665521655648,-0.0038052012568557665,-0.009569819093155416,0.9138781464924438,0.798409819431111
2024,STAGE_A_WITHOUT_CZSC,5239,5217,242,384,0.3525014376078206,0.5685259727812919,0.07897258961088749,0.4485336400230017,0.44009967414222734,0.05258752534743632,0.09248083140195108,-0.05098657787940231,-0.07971308840880015,-0.0019117914214252004,-0.007687814091237854,0.955766172406618,0.8346194918496189
2025,CZSC_ONLY_ALL,14163,14097,243,701,0.228062708377669,0.45059232460807264,0.32134496701425835,0.41214442789245936,0.42718308860041143,0.030817910263847358,0.056264613729492347,-0.0346227030197571,-0.055967619068564047,-0.003920721211216852,-0.009684666273204749,0.882666492758449,0.7367033401296198
2025,STAGE_A_TOP30,7290,7281,243,378,0.33800302156297213,0.5624227441285538,0.0995742343084741,0.43867600604312595,0.46367257244883947,0.04880297203493495,0.08832831210438193,-0.04920053177831715,-0.07648767879663858,-0.0024304079561358444,-0.008202852179612714,0.941881944639159,0.8181558313960419
2025,STAGE_A_AND_CZSC,1711,1711,241,219,0.3325540619520748,0.5669199298655757,0.1005260081823495,0.418468731735827,0.4628872004675628,0.04892922278562764,0.09139431764162775,-0.04898813492588361,-0.07603980034965911,-0.0026690418368129354,-0.008439946638764156,0.9355378589864778,0.8112652681015877
2025,STAGE_A_WITHOUT_CZSC,5579,5570,243,353,0.33967684021543987,0.5610412926391383,0.0992818671454219,0.4448833034111311,0.46391382405745063,0.04876419016160728,0.08738649245012203,-0.049265776125626645,-0.07662525869300876,-0.0023571040836334184,-0.008130021188659733,0.9438056065046903,0.8202485847850373
