slice_type,slice,row_type,cohort,observations,evaluable_observations,signal_dates,unique_stocks,success_rate,downside_first_rate,timeout_rate,day5_positive_rate,day10_positive_rate,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,gross_mean,net_mean,gross_pf,net_pf,delta_success_rate,delta_downside_first_rate,delta_mae10_mean,delta_mfe10_mean,delta_net_mean,delta_net_pf
YEAR,2021,COHORT,STAGE_A_TOP30,7320,7274,244,387,0.3740720373934561,0.5640637888369535,0.061864173769590323,0.4619191641462744,0.45765740995325815,0.06285607391225048,0.11466483349801337,-0.05550654785375967,-0.08612050738125447,0.00032296700136193375,-0.005465881183043823,1.0073098341076328,0.8846182310800393,,,,,,
YEAR,2021,COHORT,STAGE_A_AND_CZSC,2021,2004,243,260,0.3852295409181637,0.5538922155688623,0.06087824351297405,0.48003992015968067,0.467564870259481,0.0656168611153052,0.11448705309708296,-0.05174935186328803,-0.07857761690908947,0.0010757972625342273,-0.004717548870031571,1.0244694585408296,0.8999436405821235,,,,,,
YEAR,2021,COHORT,STAGE_A_WITHOUT_CZSC,5299,5270,244,349,0.3698292220113852,0.567931688804554,0.06223908918406072,0.45502846299810246,0.4538899430740038,0.06180624135913442,0.11473243727855696,-0.056935280446720804,-0.08898880956459768,3.6691509257705455e-05,-0.005750446259946394,1.000828900146885,0.878828339784521,,,,,,
YEAR,2021,DELTA,CZSC_ONLY_ALL_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.11421332327381023,-0.13855185107427803,0.029955039004567453,-0.05290955902551407,0.0008626319229613358,-0.014680145777255516
YEAR,2021,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,0.011157503524707568,-0.01017157326809126,0.007542890472164998,-0.00017778040093041625,0.0007483323130122515,0.015325409502084164
YEAR,2021,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_WITHOUT_CZSC,,,,,,,,,,,,,,,,,,0.01540031890677851,-0.014039473235691768,0.010411192655508203,-0.00024538418147400376,0.0010328973899148223,0.021115300797602488
YEAR,2022,COHORT,CZSC_ONLY_ALL,10339,10299,246,655,0.174385862705117,0.5010195164579085,0.3245946208369745,0.3757646373434314,0.38751335081075833,0.023932975199668995,0.04279564188324984,-0.040062969520433346,-0.0620364180552113,-0.014619661319382101,-0.020321412267253244,0.612670135029565,0.5086785787439565,,,,,,
YEAR,2022,COHORT,STAGE_A_TOP30,7380,7362,246,344,0.29638685139907633,0.5942678619940234,0.1093452866069003,0.4185004074979625,0.4129312686769899,0.04167731310445646,0.07219882959614643,-0.0506137993090524,-0.07969913359248541,-0.009733604540201928,-0.015463722641281472,0.7819530930684473,0.6784957984772451,,,,,,
YEAR,2022,COHORT,STAGE_A_AND_CZSC,1646,1638,244,196,0.2905982905982906,0.6147741147741148,0.09462759462759462,0.39377289377289376,0.4139194139194139,0.040061866645266085,0.06947477566979766,-0.05212126597892806,-0.07946698581927893,-0.012375271388511515,-0.018089817358193375,0.7297482206578486,0.6333273315695361,,,,,,
YEAR,2022,COHORT,STAGE_A_WITHOUT_CZSC,5734,5724,246,327,0.29804332634521313,0.5883997204751922,0.11355695317959469,0.42557651991614254,0.41264849755415794,0.04213959495284112,0.07297835446186259,-0.050182417337484214,-0.07976556581689356,-0.008977655850905791,-0.014712230127951337,0.7973916223751242,0.6918520927347174,,,,,,
YEAR,2022,DELTA,CZSC_ONLY_ALL_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.12200098869395934,-0.09324834553611483,0.017662715537274117,-0.029403187712896593,-0.004857689625971773,-0.16981721973328856
YEAR,2022,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.005788560800785714,0.02050625278009144,0.00023214777320648694,-0.0027240539263487656,-0.002626094716911904,-0.045168466907708926
