slice,bi_count,observations,evaluable_observations,signal_dates,unique_stocks,success_rate,downside_first_rate,timeout_rate,day5_positive_rate,day10_positive_rate,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,gross_mean,net_mean,gross_pf,net_pf
STRESS_PREVALENCE_SEEN_NOT_BLIND,6,2511,2507,240,302,0.26326286398085363,0.42281611487834064,0.3139210211408057,0.4379736737136019,0.4627044276027124,0.03634018238068192,0.06524671071551026,-0.03296448907118496,-0.05150935960511148,0.0015095351138173048,-0.004285912577581301,1.0478871496793822,0.8764659285833115
STRESS_PREVALENCE_SEEN_NOT_BLIND,8,2759,2740,241,327,0.21897810218978103,0.4551094890510949,0.3259124087591241,0.4065693430656934,0.41715328467153284,0.029564549864442118,0.054345545265005096,-0.03432389120957686,-0.055743183118494875,-0.005072984126266613,-0.010830557283118927,0.8488903231647104,0.7071556428858315
STRESS_PREVALENCE_SEEN_NOT_BLIND,10,2664,2659,236,313,0.22978563369687852,0.43061301241068073,0.3396013538924408,0.40127867619405794,0.44151936818352766,0.02847497047145729,0.053004289355610225,-0.033051467871887244,-0.05261399192129773,-0.0016625708675640208,-0.007439536101789181,0.9478147748711431,0.7883327839371685
STRESS_PREVALENCE_SEEN_NOT_BLIND,12,2556,2541,239,301,0.20188902007083825,0.4757969303423849,0.32231404958677684,0.3970877607241244,0.4025974025974026,0.028983459518574894,0.051727947101677316,-0.03560490127363659,-0.058311491677780616,-0.009098113510003678,-0.014832211077614281,0.7434218667550834,0.6199427173254598
STRESS_PREVALENCE_SEEN_NOT_BLIND,14,3673,3650,240,323,0.22767123287671232,0.46328767123287673,0.30904109589041096,0.41698630136986303,0.41698630136986303,0.030949715071838756,0.057069272047349545,-0.03644682225922079,-0.06000962598983169,-0.0048262335816770825,-0.010584618033630092,0.8593269218170884,0.71919740839867
2020,6,3024,3013,235,323,0.23730501161632925,0.4171921672751411,0.3455028211085297,0.45004978426817127,0.45701958181214736,0.03174455683747293,0.05932339949194496,-0.032667204828021205,-0.05129474108798885,-0.0014258552523176234,-0.0072044121008754325,0.9557336505638758,0.7967328372405272
2020,8,2932,2907,234,312,0.22084623323013416,0.4258685930512556,0.35328517371861023,0.43584451324389406,0.4475404196766426,0.02922703652291076,0.05350897745787393,-0.03293764679039564,-0.052514241615742564,-0.00438207251656809,-0.01014326059429563,0.8664095495045399,0.7188845022934125
2020,10,2264,2249,215,255,0.25878168074699864,0.3819475322365496,0.35927078701645176,0.44819919964428634,0.4735437972432192,0.032450694516859904,0.05849715246811253,-0.030590254850324818,-0.05045414463694093,0.003115230933945097,-0.0026898081848807094,1.1023622440126473,0.9197608281913423
2020,12,2168,2164,236,247,0.21025878003696857,0.3706099815157117,0.41913123844731975,0.45471349353049906,0.46487985212569316,0.026465277398293432,0.0506547233167734,-0.030660925451317215,-0.049805879049159535,0.0004676320922232998,-0.005322055386068344,1.0162186527413062,0.8336570371895959
2020,14,2554,2534,242,240,0.1878453038674033,0.398973954222573,0.4131807419100237,0.4479084451460142,0.4581689029202841,0.025186569772548552,0.04714016694482391,-0.03424223936263754,-0.05636267465032428,-0.004215116334821651,-0.009977446669319238,0.8655535570274363,0.7112364067291551
2021,6,3682,3671,244,355,0.24707164260419504,0.4279487877962408,0.32497956959956414,0.45764096976300733,0.47398529011168616,0.03176037480850444,0.059648495086003644,-0.03932739879769109,-0.06083597503076069,-0.0011787974218742392,-0.00695857256126886,0.9647532712788468,0.8093535747936866
2021,8,4399,4386,243,395,0.2699498404012768,0.4110807113543092,0.31896944824441403,0.46762425900592797,0.4840401276789786,0.03709375023929977,0.06787785246205846,-0.03383158221736409,-0.05386268673024408,0.0037032775168035137,-0.002104579884971764,1.119199881174324,0.9382648210212293
2021,10,4164,4154,244,403,0.2669715936446798,0.43548387096774194,0.29754453538757825,0.45402022147327875,0.45859412614347617,0.0358799095985281,0.06595040079179558,-0.03539762037441056,-0.057169491796224936,0.00112689473781013,-0.004665966787281309,1.0342072777623774,0.870577772593247
2021,12,4113,4109,244,404,0.27038208809929426,0.43489900219031397,0.29471890971039183,0.4606960330980774,0.45120467266974934,0.03394788229707442,0.06197851082667299,-0.03618248798167087,-0.05792508442167218,0.0018256521670462823,-0.00397164280659725,1.0558489595112692,0.8890902680929429
2021,14,6078,6046,244,471,0.24826331458815745,0.42127026132980483,0.3304664240820377,0.45997353622229575,0.44955342375124047,0.030875381532863747,0.055558868113908956,-0.033656859480063514,-0.053114458578570826,0.0004170992188411054,-0.005371941676550794,1.0131315157458591,0.8462029586196742
2022,6,1705,1681,242,254,0.17132659131469363,0.47471743010113027,0.3539559785841761,0.39797739440809043,0.40690065437239736,0.024100120045447513,0.04282407889790753,-0.040074950158247066,-0.06127944913502569,-0.011935413838987845,-0.01765319792731971,0.6685338436206295,0.5531142158016101
2022,8,1704,1696,238,254,0.1338443396226415,0.5259433962264151,0.3402122641509434,0.3431603773584906,0.3584905660377358,0.019870085164048562,0.03617544293505742,-0.0444192295863864,-0.0664929221610691,-0.02203346808620008,-0.0276922759220188,0.4567073752762237,0.3755814753846984
2022,10,1904,1904,241,239,0.20010504201680673,0.4810924369747899,0.31880252100840334,0.4023109243697479,0.4023109243697479,0.027777611650451367,0.04822988024288083,-0.036859494188113885,-0.05846002124693289,-0.010518579239039382,-0.016244080297819933,0.7120382609756155,0.5944705173613969
2022,12,2005,2005,241,267,0.18403990024937655,0.5072319201995013,0.3087281795511222,0.372069825436409,0.3855361596009975,0.02392569892060555,0.042320242389375144,-0.038999294708897826,-0.06081093868880304,-0.013498047347124651,-0.01920612407279369,0.6389994538790212,0.5315868436200705
2022,14,3021,3013,245,329,0.1762363093262529,0.5101228011948225,0.31364088947892466,0.36740789910388316,0.3849983405243943,0.023702006780117437,0.04338855291643144,-0.04033636099266825,-0.06302572420984381,-0.015282024423719372,-0.02097978480181624,0.599278576645979,0.49782559846907193
2023,6,3592,3592,239,365,0.20684855233853006,0.3683184855233853,0.42483296213808464,0.45657015590200445,0.47271714922048996,0.028454045532049825,0.05286539735197024,-0.028317741289517608,-0.04381116139152533,0.0011151743884578998,-0.004678106245639501,1.0397661489297856,0.8497771021733747
2023,8,5017,4996,239,458,0.22618094475580464,0.3532826261008807,0.4205364291433146,0.4699759807846277,0.4845876701361089,0.028747904925574386,0.05341803389352307,-0.027236281105932243,-0.041800725740069725,0.004421506397255313,-0.001390695835671368,1.164968514706748,0.9533894524638444
2023,10,3794,3794,239,400,0.17633104902477595,0.35608856088560886,0.46758039008961516,0.43384290985767,0.4628360569319979,0.023462977775798238,0.04251357395413485,-0.027018726358517414,-0.042386323550215946,-0.0007115772417766325,-0.006494192134776436,0.9735749465337978,0.7840641186500737
2023,12,3772,3772,239,377,0.22773064687168612,0.3364262990455992,0.43584305408271473,0.4575821845174973,0.4750795334040297,0.029075574142319222,0.053062253362375265,-0.02655943153735999,-0.04181657824555153,0.005241499205787721,-0.0005757457900387685,1.2036663960520844,0.9799962971785866
2023,14,4680,4667,238,422,0.175701735590315,0.36790229269337904,0.45639597171630597,0.4248982215556032,0.4276837368759374,0.021882062483736996,0.04203850759075889,-0.027622341451997507,-0.043280986026498755,-0.0030310333729676115,-0.00880010027345212,0.8949678112609489,0.7267530130177944
2024,6,3742,3720,242,411,0.24596774193548387,0.4403225806451613,0.31370967741935485,0.43252688172043013,0.432258064516129,0.030861156026892836,0.056040183680632266,-0.0359678281303551,-0.05736217194610678,-0.0021917618814871207,-0.007965776719239176,0.93489986945741,0.784144056065035
2024,8,4559,4552,241,472,0.21748681898066785,0.45869947275922673,0.32381370826010547,0.4253075571177504,0.4446397188049209,0.029301715760590055,0.0536000480130039,-0.03646314628619793,-0.0568654360227372,-0.005673221374007815,-0.011427053312599415,0.8375696914397244,0.7008890907139078
2024,10,3959,3956,242,426,0.24595551061678464,0.44742163801820023,0.30662285136501516,0.44641051567239637,0.4532355915065723,0.03416768369978646,0.06396996116997926,-0.034912195685857815,-0.05425998955718479,-0.0019688331970603872,-0.007744078211467637,0.9409474761649709,0.7883008396179151
2024,12,3920,3918,242,438,0.2307299642674834,0.41858090862685043,0.35068912710566613,0.42368555385400714,0.44180704441041346,0.02864022669727955,0.05289944208482053,-0.034410760606076646,-0.05331808720639233,-0.002475725871840835,-0.008247742888611336,0.9230451714238599,0.7671308468713635
2024,14,6846,6835,241,513,0.21770299926847111,0.4065837600585223,0.3757132406730066,0.4238478419897586,0.4340892465252377,0.02781450284548179,0.051298662169075804,-0.03252671919086617,-0.050881434235797156,-0.0023704953332667586,-0.008143220968614934,0.9239755826318128,0.7637611163752535
2025,6,2511,2507,240,302,0.26326286398085363,0.42281611487834064,0.3139210211408057,0.4379736737136019,0.4627044276027124,0.03634018238068192,0.06524671071551026,-0.03296448907118496,-0.05150935960511148,0.0015095351138173048,-0.004285912577581301,1.0478871496793822,0.8764659285833115
2025,8,2759,2740,241,327,0.21897810218978103,0.4551094890510949,0.3259124087591241,0.4065693430656934,0.41715328467153284,0.029564549864442118,0.054345545265005096,-0.03432389120957686,-0.055743183118494875,-0.005072984126266613,-0.010830557283118927,0.8488903231647104,0.7071556428858315
2025,10,2664,2659,236,313,0.22978563369687852,0.43061301241068073,0.3396013538924408,0.40127867619405794,0.44151936818352766,0.02847497047145729,0.053004289355610225,-0.033051467871887244,-0.05261399192129773,-0.0016625708675640208,-0.007439536101789181,0.9478147748711431,0.7883327839371685
2025,12,2556,2541,239,301,0.20188902007083825,0.4757969303423849,0.32231404958677684,0.3970877607241244,0.4025974025974026,0.028983459518574894,0.051727947101677316,-0.03560490127363659,-0.058311491677780616,-0.009098113510003678,-0.014832211077614281,0.7434218667550834,0.6199427173254598
2025,14,3673,3650,240,323,0.22767123287671232,0.46328767123287673,0.30904109589041096,0.41698630136986303,0.41698630136986303,0.030949715071838756,0.057069272047349545,-0.03644682225922079,-0.06000962598983169,-0.0048262335816770825,-0.010584618033630092,0.8593269218170884,0.71919740839867
2020_2025,6,18256,18184,1442,1028,0.23251209854817423,0.42053453585569733,0.34695336559612844,0.4428068631764188,0.4546304443466784,0.03084394284366789,0.05673305098445588,-0.03455360656662418,-0.05393651611966024,-0.0015975660547582068,-0.007375058793999299,0.950371880655523,0.7915317570487526
2020_2025,8,21370,21277,1436,1071,0.22432673779198195,0.42454293368426,0.35113032852375803,0.4369976970437562,0.45213140950321945,0.030049755977762077,0.05519514590871994,-0.0336311621195564,-0.05273755006244073,-0.002420430781168638,-0.008193017620743526,0.9248488756734813,0.7687807000939596
2020_2025,10,18749,18716,1417,1002,0.23108570207309254,0.4194272280401795,0.34948706988672795,0.43486856165847404,0.4519662321008763,0.030712554493722042,0.05624320496576951,-0.03283421789573988,-0.05223488755186107,-0.001242215424211869,-0.007021628466968242,0.9608341887283113,0.7989625761799781
2020_2025,12,18534,18509,1441,1023,0.22751094062348046,0.4173104975957642,0.3551785617807553,0.4331946620562969,0.4418931330703982,0.02918937703203134,0.0533789051591962,-0.03342661740961245,-0.0530834688741795,-0.0017071311102480398,-0.007483910801206692,0.9459788988315291,0.7852696701826812
2020_2025,14,26852,26745,1450,1067,0.21114226958309965,0.4218358571695644,0.36702187324733593,0.4271826509627968,0.4308842774350346,0.02718682533380094,0.050148241668222696,-0.03350372619571866,-0.0531931815600841,-0.0038200778998553264,-0.009584465880119178,0.8811192820424406,0.7296323367392582
