stock_id,stock_name,eligible,failure_reasons,discovery_sessions,discovery_coverage,discovery_longest_missing_run_sessions,discovery_median_close,discovery_median_turnover_proxy,discovery_median_atr14_pct,discovery_p95_gap_pct,coverage_2020,sessions_2020,coverage_2021,sessions_2021,coverage_2022,sessions_2022
5230,雷笛克光學,False,TURNOVER,734,0.998639455782313,1,25.2,1364975.0,2.347918206658833,2.2212704269899803,0.9959183673469387,244,1.0,244,1.0,246
5234,達興材料,False,TURNOVER,735,1.0,0,87.7,14428800.000000002,2.207815110497318,2.2665482316373216,1.0,245,1.0,244,1.0,246
5236,凌陽創新,False,2020_COVERAGE|2020_SESSIONS|2021_COVERAGE|2021_SESSIONS|TURNOVER|LONG_MISSING_RUN,354,0.4816326530612245,381,119.5,19026600.0,3.768774958551159,2.927350427350426,0.0,0,0.4426229508196721,108,1.0,246
5243,乙盛-KY,False,TURNOVER,735,1.0,0,60.0,88618166.0,3.3872071675157116,2.939305746278335,1.0,245,1.0,244,1.0,246
5244,弘凱,False,2020_COVERAGE|2020_SESSIONS|2021_COVERAGE|2021_SESSIONS|TURNOVER|LONG_MISSING_RUN,234,0.3183673469387755,501,28.700000000000003,1740501.7000000002,2.3971043619913797,2.0823986431033488,0.0,0,0.0,0,0.9512195121951219,234
5245,智晶,False,TURNOVER,735,1.0,0,44.3,10979400.0,4.400352306888172,3.9747058386648613,1.0,245,1.0,244,1.0,246
5251,天鉞電,False,TURNOVER,733,0.9972789115646259,1,14.05,956879.9999999999,3.5971777164727397,2.899069776326091,1.0,245,0.9918032786885246,242,1.0,246
5258,虹堡,False,TURNOVER,735,1.0,0,26.35,23018522.400000002,4.36108840146079,3.9155507847085538,1.0,245,1.0,244,1.0,246
5259,奕智博,False,2020_COVERAGE|2020_SESSIONS|2021_COVERAGE|2021_SESSIONS|2022_COVERAGE|2022_SESSIONS|TURNOVER|ATR14|PRICE|P95_GAP|LONG_MISSING_RUN,0,0.0,735,,,,,0.0,0,0.0,0,0.0,0
5263,智崴,False,TURNOVER,735,1.0,0,116.0,19106000.0,2.973148273232835,2.4441591784338925,1.0,245,1.0,244,1.0,246
5264,鎧勝-KY,False,2021_COVERAGE|2021_SESSIONS|2022_COVERAGE|2022_SESSIONS|TURNOVER|LONG_MISSING_RUN,247,0.3360544217687075,487,66.3,82164849.75,3.318405892541524,3.1284344175569108,0.9959183673469387,244,0.012295081967213115,3,0.0,0
5269,祥碩,True,,734,0.998639455782313,1,1475.0,1168550620.0,5.541649569560941,3.9442765458928957,0.9959183673469387,244,1.0,244,1.0,246
5272,笙科,False,TURNOVER,735,1.0,0,29.25,12773400.0,4.500676954609275,3.5289072550777796,1.0,245,1.0,244,1.0,246
5274,信驊,True,,735,1.0,0,1930.0,546920000.0,5.158660411583405,4.1817269076305275,1.0,245,1.0,244,1.0,246
5276,達輝-KY,False,2021_COVERAGE|TURNOVER,654,0.889795918367347,9,14.35,186000.0,4.395199842501911,4.530854276251697,0.9306122448979591,228,0.8073770491803278,197,0.9308943089430894,229
5278,尚凡*,False,TURNOVER,723,0.9836734693877551,2,164.0,3055000.0,2.4477495061008514,3.3764889752471,0.9959183673469387,244,0.9795081967213115,239,0.975609756097561,240
5281,大峽谷-KY,False,2022_COVERAGE|TURNOVER,701,0.9537414965986395,4,22.25,334500.0,2.923067177928312,3.8419350302348443,1.0,245,0.9959016393442623,243,0.8658536585365854,213
5283,禾聯碩,False,TURNOVER,735,1.0,0,110.0,10172811.0,1.364583411804725,1.4941494149414933,1.0,245,1.0,244,1.0,246
5284,jpp-KY,False,TURNOVER,733,0.9972789115646259,1,43.5,1249500.0,2.0838417055331337,2.3599025408980068,0.9959183673469387,244,0.9959016393442623,243,1.0,246
5285,界霖,False,TURNOVER,735,1.0,0,73.3,48548258.5,3.6657085632760844,3.1610408203106797,1.0,245,1.0,244,1.0,246
5287,數字,False,TURNOVER,735,1.0,0,218.0,9009000.0,1.3978241910024314,1.3640043173232579,1.0,245,1.0,244,1.0,246
5288,豐祥-KY,False,TURNOVER,735,1.0,0,144.0,14558000.0,2.643225958001355,2.3433925049309687,1.0,245,1.0,244,1.0,246
5289,宜鼎,False,TURNOVER,735,1.0,0,180.0,52794500.0,2.447404489231386,2.231231231231224,1.0,245,1.0,244,1.0,246
5291,邑昇,False,TURNOVER,735,1.0,0,32.55,4248800.0,2.7316250369947714,2.9738591448077627,1.0,245,1.0,244,1.0,246
5292,華懋,False,2020_COVERAGE|2020_SESSIONS|2021_COVERAGE|2021_SESSIONS|2022_COVERAGE|2022_SESSIONS|TURNOVER|ATR14|PRICE|P95_GAP|LONG_MISSING_RUN,0,0.0,735,,,,,0.0,0,0.0,0,0.0,0
5299,杰力,False,TURNOVER,735,1.0,0,127.0,79937000.0,3.610671504224465,3.1664928745220715,1.0,245,1.0,244,1.0,246
5301,寶得利,False,TURNOVER,729,0.9918367346938776,6,10.1,666500.0,3.9701113751801387,5.672589355649907,0.9755102040816327,239,1.0,244,1.0,246
5302,太欣,False,TURNOVER|PRICE,735,1.0,0,8.99,2444970.0,4.064779169690593,4.578530423060024,1.0,245,1.0,244,1.0,246
5304,鼎創達,False,2020_COVERAGE|2021_COVERAGE|2021_SESSIONS|2022_COVERAGE|2022_SESSIONS|TURNOVER|PRICE|P95_GAP|LONG_MISSING_RUN,210,0.2857142857142857,520,2.82,175505.0,1.431182950539362,8.432565823870169,0.8571428571428571,210,0.0,0,0.0,0
5305,敦南,False,2020_COVERAGE|2021_COVERAGE|2021_SESSIONS|2022_COVERAGE|2022_SESSIONS|TURNOVER|ATR14|LONG_MISSING_RUN,217,0.29523809523809524,518,41.0,16636838.4,0.6742276937618646,0.668888483870128,0.8857142857142857,217,0.0,0,0.0,0
5306,桂盟,False,TURNOVER,735,1.0,0,186.0,38948000.0,2.6130461200114135,2.265861273466865,1.0,245,1.0,244,1.0,246
5309,系統電,False,TURNOVER,735,1.0,0,38.0,97172200.0,4.955655693910566,4.103149688693556,1.0,245,1.0,244,1.0,246
5310,天剛,False,TURNOVER,714,0.9714285714285714,5,14.8,395600.0,3.991013417106105,6.178860031977881,1.0,245,0.9672131147540983,236,0.9471544715447154,233
5312,寶島科,False,TURNOVER|ATR14,733,0.9972789115646259,1,60.5,1888000.0,0.8287512002757869,1.2334811337158857,0.9959183673469387,244,0.9959016393442623,243,1.0,246
