period,start_date,end_date,stock_id,stock_name,sessions,market_sessions,coverage,longest_missing_run_sessions,discontinuity_count,median_close,median_daily_turnover_proxy,p25_daily_turnover_proxy,median_abs_return_pct,p90_abs_return_pct,abs_return_ge_5pct_rate,worst_single_day_return_pct,median_atr14_pct,p75_atr14_pct,median_realized_vol20_annualized_pct,median_efficiency20,lag1_daily_return_autocorrelation,beta_0050,correlation_0050,upside_capture,downside_capture,idiosyncratic_volatility_annualized_pct,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,maximum_close_drawdown_pct,market_aligned_return_sessions,forward_evaluable_events,median_mfe10_pct,median_mae10_pct,median_day10_close_return_pct,plus_8pct_within_10d_close_hit_rate,minus_5pct_within_10d_close_hit_rate
2022,20220101,20221231,9958,世紀鋼,246,246,1.0,0,0,101.0,232255050.5,150873750.45,1.3605512134923892,4.1302667697145745,0.06504065040650407,-9.928352098259985,3.5547705849956914,4.120659768503798,40.19171499065312,0.21543620213336767,0.06550699896176901,0.3739774265283481,0.20427427283229832,0.25264294913380153,0.30334656542610533,40.095625902154964,0.4917249966754911,2.1684465015255783,-53.65671641791045,246,246,2.6417179162850135,-3.910873440285206,-0.7013369668213643,0.2073170731707317,0.4349593495934959
2023,20230101,20231231,9958,世紀鋼,239,239,1.0,0,0,138.5,564433371.0,313085643.5,1.83486238532109,4.591836734693877,0.0794979079497908,-9.880239520958078,4.11950065930141,4.870279262249862,41.649408321204824,0.25093635595699726,0.11993607938435774,0.2765427275617235,0.08743290199275222,0.6884589490883729,-0.06676692577487423,43.399209883857516,0.5934718100890191,1.858321723287957,-25.79787234042553,239,239,5.882352941176472,-2.824858757062143,2.7397260273972712,0.40585774058577406,0.3389121338912134
2024,20240101,20241231,9958,世紀鋼,242,242,1.0,0,0,219.0,1494443148.0,907150425.125,1.8542571987966217,6.609529900863444,0.1487603305785124,-9.887640449438207,5.159124235174389,5.590344197844158,56.13943671397532,0.2443566335820093,0.017590259932369796,0.54392199292022,0.24131308212981578,0.4760859992776371,0.6121250553162898,55.30000256820162,0.6565054373590451,2.379872094028166,-56.16438356164384,242,242,3.956424658164903,-6.277390034085373,-1.2455062339053025,0.371900826446281,0.5578512396694215
2025,20250101,20251231,9958,世紀鋼,243,243,1.0,0,0,174.0,371270673.0,216491621.5,1.2499999999999956,4.516966856755696,0.07818930041152264,-9.999999999999998,3.689094811574408,4.31992079736077,40.343907229843644,0.2526304832537006,0.07368860621194279,0.8527626699057238,0.45697327263196275,0.570665354448132,0.7496597744823619,41.63129594673828,0.588235294117645,2.3927097125944274,-46.734693877551024,237,233,2.5316455696202445,-4.1666666666666625,-1.1527377521613813,0.16738197424892703,0.44206008583690987
2020,20200101,20201231,2379,瑞昱,245,245,1.0,0,0,348.0,1174334153.0,820612375.0,1.4784946236559127,4.347931358009748,0.08163265306122448,-9.999999999999998,3.418908781682576,3.991875800768275,37.3994350202193,0.23533950339597287,-0.042212863485807876,1.134123769082975,0.6219377387693031,1.3442342296004743,1.1807741110535621,33.24488202462801,0.849256900212314,2.893923440100537,-38.167938931297705,245,245,4.986876640419946,-2.384291725105192,1.7955801104972302,0.2816326530612245,0.27755102040816326
2021,20210101,20211231,2379,瑞昱,244,244,1.0,0,0,504.0,1194453691.5,890281048.0,1.318938655349744,3.8426608709151564,0.040983606557377046,-9.523809523809524,3.380582295407307,4.085432817799955,37.0380821148481,0.21191212885502445,-0.09001325367952225,1.3185744125387362,0.6259918039417152,1.3923882256915776,1.2017317387005295,29.94300597315871,0.7590378798790154,2.471820809248546,-26.835236541598697,244,244,4.155378277984867,-2.6597082494969837,1.525220657432702,0.24180327868852458,0.3442622950819672
2022,20220101,20221231,2379,瑞昱,246,246,1.0,0,0,361.5,1064809703.75,828332452.875,1.437081884454483,3.915448390894821,0.044715447154471545,-6.822262118491917,3.2507075282141042,3.987182845267538,34.89524828633114,0.2897713914270625,0.05134866631103335,1.0175691020322402,0.6049770027315544,0.8852711125031801,1.1276205465874094,29.963429526454522,0.9883050836420937,3.2201451725166477,-59.16230366492147,246,246,1.8058690744920947,-5.227893855241122,-3.1530612244898,0.15853658536585366,0.508130081300813
2023,20230101,20231231,2379,瑞昱,239,239,1.0,0,0,396.5,952466200.0,710114799.75,1.1614401858304202,2.887402452619834,0.029288702928870293,-9.090909090909093,2.678847169414531,3.023535023297619,28.564379171511874,0.18249213677841056,0.02283405581890911,0.9595774617684073,0.4203663439730433,1.1446239323150016,0.6452511724594435,28.52922153844083,0.6564551422319376,1.849151567443192,-13.875000000000004,239,239,4.223602484472044,-1.670644391408116,1.9480519480519431,0.1589958158995816,0.18828451882845187
2024,20240101,20241231,2379,瑞昱,242,242,1.0,0,0,525.0,1480822273.5,1042915864.125,1.2066919058208947,3.3540302000877813,0.03305785123966942,-8.695652173913048,2.892525098212924,3.4110922961178693,30.956122978154752,0.15545271554401618,0.023990477799966714,0.6190813101920293,0.4647692393121769,0.5548115447639752,0.5235316685206476,29.816927494505475,0.6874496150813703,2.8398543849517335,-23.261589403973517,242,242,3.064613155891671,-2.2717950075092475,0.4507337526205468,0.12396694214876033,0.2892561983471074
2025,20250101,20251231,2379,瑞昱,243,243,1.0,0,0,538.0,1118477160.0,840885217.5,0.9293680297397744,2.6247436773752635,0.02880658436213992,-9.999999999999998,2.3359177442258985,2.651506540915755,25.321720435320593,0.15644341801866765,-0.04948256148548376,0.6534902751506712,0.535774479685687,0.46560142581513375,0.6583175331763158,25.83042126830344,0.5565862708719838,2.123589269195181,-22.671353251318106,237,233,1.6333938294010864,-2.5996533795493937,0.0,0.04291845493562232,0.2145922746781116
2020,20200101,20201231,2345,智邦,245,245,1.0,0,0,219.0,976179915.0,708775847.5,1.7804154302670572,4.654467545528085,0.08163265306122448,-9.969788519637458,3.928785732925206,4.326568140209363,40.068501757395424,0.16735711534085004,0.028874085653742786,0.910015897246073,0.4708244127351758,1.0082969781919107,0.7028391104681293,39.69929747518378,0.8146639511201537,2.868005078337545,-25.543478260869566,245,245,4.856512141280356,-3.578947368421048,2.0547945205479534,0.3795918367346939,0.40816326530612246
2021,20210101,20211231,2345,智邦,244,244,1.0,0,0,284.25,640886640.5,442286660.625,1.2750836120401288,4.177968526466381,0.05737704918032787,-9.999999999999998,3.7530338222203365,4.246166338536239,37.695212002934284,0.21322968179824756,0.044784548802683385,0.6589434218711152,0.2932092472301305,0.789268595818424,1.0198677679715245,39.1660666271022,0.7239872368584921,2.7365341135789425,-34.57142857142858,244,244,3.5037878787878785,-3.7268518518518534,-1.1079766139253433,0.1721311475409836,0.3483606557377049
2022,20220101,20221231,2345,智邦,246,246,1.0,0,0,249.25,739369544.5,488424263.5,1.8797258144300777,5.341369157158632,0.12195121951219512,-9.85324947589099,4.212714511083662,4.611502333683223,46.61807038691527,0.13461564046781072,-0.016938016959719474,1.2306009408668233,0.5536881845031016,1.319515787169957,1.0765810077600193,41.40702114691812,1.1494252873563315,3.265335568625294,-26.181818181818183,246,246,4.166666666666674,-4.429079292711952,0.4216269841269882,0.2601626016260163,0.4715447154471545
2023,20230101,20231231,2345,智邦,239,239,1.0,0,0,370.0,1295365452.0,904819455.0,1.6393442622950838,4.342038842689761,0.06694560669456066,-8.171206225680939,3.740341195670833,4.423548696400078,40.097800678074336,0.18902568838114414,0.01831728037390672,1.4130657409748724,0.4418230312828745,1.868430487314265,1.156210419205415,39.51998657859133,0.8488964346349714,2.9929604310147564,-13.078291814946619,239,239,4.507512520868118,-2.822580645161288,1.3722126929674117,0.3138075313807531,0.26359832635983266
2024,20240101,20241231,2345,智邦,242,242,1.0,0,0,522.0,1681569310.0,1215454860.75,1.6661245639812083,4.562604229204183,0.05785123966942149,-9.979838709677423,4.020581549576637,4.415279558353415,40.14013137454169,0.18420839998191582,-0.07933212653107195,0.7009275147317862,0.4073547528108258,0.7532076976412643,0.5344008748843704,39.72802269800211,0.766421348211499,3.247156686688546,-32.425307557117755,242,242,5.2478924126856725,-2.7617599271511972,1.9552101868327454,0.26859504132231404,0.3347107438016529
2025,20250101,20251231,2345,智邦,243,243,1.0,0,0,776.0,4000777920.0,3101030682.5,2.0000000000000018,5.829228243021348,0.12757201646090535,-9.981167608286256,4.3263898288749525,4.876294385940528,48.98897473599773,0.17414188316668283,0.046361571521889786,1.3026194845993564,0.6098952428058182,1.5234639661804135,1.452125551744585,42.451976009042376,0.9596928982725572,4.619930809148569,-43.798449612403104,237,233,6.029106029106024,-3.6486486486486447,1.9690576652601877,0.4291845493562232,0.4334763948497854
