stock_id,stock_name,discovery_quality_score,liquidity_component,continuity_component,behavior_stability_component,tradable_volatility_component,gap_safety_component,trend_structure_quality_component,future_outcomes_used_for_universe_selection,industry_used_for_score_cluster_or_selection,discovery_quality_rank
1477,聚陽,0.65,0.37575757575757573,0.5666666666666667,0.9515151515151515,0.6060606060606061,0.7090909090909091,0.906060606060606,False,False,29
2382,廣達,0.6485858585858586,0.6545454545454545,0.5666666666666667,0.9757575757575757,0.2626262626262626,0.8545454545454545,0.5161616161616162,False,False,30
3711,日月光投控,0.6427777777777778,0.8666666666666667,0.5666666666666667,0.6363636363636364,0.5101010101010102,0.5757575757575757,0.5141414141414142,False,False,31
3189,景碩,0.6380808080808081,0.896969696969697,0.5666666666666667,0.4181818181818182,1.0,0.1454545454545455,0.5232323232323233,False,False,32
2882,國泰金,0.633030303030303,0.806060606060606,0.5666666666666667,0.5818181818181818,0.20202020202020204,0.8727272727272728,0.8424242424242424,False,False,33
5483,中美晶,0.6313636363636363,0.8242424242424242,0.10303030303030303,0.7212121212121212,0.9242424242424243,0.5393939393939393,0.6787878787878787,False,False,34
4968,立積,0.6275757575757576,0.6787878787878788,0.5666666666666667,0.6060606060606061,1.0,0.1393939393939394,0.593939393939394,False,False,35
2408,南亞科,0.6263636363636365,0.7636363636363637,0.5666666666666667,0.7272727272727273,0.6161616161616161,0.48484848484848486,0.35757575757575755,False,False,36
2368,金像電,0.6250505050505051,0.8303030303030303,0.030303030303030304,0.8727272727272728,1.0,0.49696969696969695,0.3717171717171717,False,False,37
5269,祥碩,0.6233333333333333,0.8606060606060606,0.10303030303030303,0.7575757575757576,1.0,0.12121212121212122,0.7393939393939394,False,False,38
2303,聯電,0.621969696969697,0.9818181818181818,0.5666666666666667,0.2848484848484848,0.792929292929293,0.2545454545454545,0.6181818181818182,False,False,39
2313,華通,0.6205050505050506,0.696969696969697,0.5666666666666667,0.6242424242424243,0.7272727272727273,0.5696969696969697,0.4202020202020202,False,False,40
8299,群聯,0.6181818181818182,0.7515151515151515,0.5666666666666667,0.5575757575757576,0.6060606060606061,0.49090909090909096,0.6545454545454545,False,False,41
3324,雙鴻,0.6180808080808081,0.47878787878787876,0.5666666666666667,0.5454545454545454,1.0,0.5454545454545454,0.7141414141414142,False,False,42
4966,譜瑞-KY,0.6178787878787879,0.7757575757575758,0.10303030303030303,0.9818181818181818,1.0,0.16969696969696968,0.39999999999999997,False,False,43
1476,儒鴻,0.6165151515151516,0.4303030303030303,0.5666666666666667,0.8909090909090909,0.6212121212121212,0.5575757575757576,0.6848484848484848,False,False,44
2881,富邦金,0.615959595959596,0.8181818181818182,0.5666666666666667,0.6424242424242423,0.2828282828282829,0.7818181818181819,0.4898989898989899,False,False,45
