period,setup,entry_gap_bucket,sample_size,success_rate,gross_average_return,gross_profit_factor,average_mfe_10d,average_mae_10d
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,>= 3%,9,0.0,-0.039502035866845725,0.14212286009130842,-0.015380508465637507,-0.07774530274893679
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,< -1%,462,0.22727272727272727,-0.010162825043231148,0.7493485799071703,0.053686007219712645,-0.055120160210468186
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,-1% to 0%,418,0.19138755980861244,0.0012563423174365236,1.0464492830296646,0.04611824386820642,-0.0435243370249655
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,0% to 1%,844,0.19075829383886256,-0.0012297064476756332,0.9565932031361212,0.04497412279764281,-0.04566822904490489
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,1% to 2%,243,0.19753086419753085,-0.006228206668951182,0.8141795741060935,0.04737683154390136,-0.0542002653508059
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,2% to 3%,58,0.13793103448275862,-0.023472147141805906,0.46937994618155165,0.04554541316095704,-0.07296920570578488
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,>= 3%,48,0.22916666666666666,-0.011580832309228758,0.7097668666885505,0.06439967235282429,-0.05999688982128485
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,< -1%,68,0.2647058823529412,0.004904552400977996,1.1504699559405716,0.06548239070097661,-0.05114355318732062
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,-1% to 0%,117,0.27350427350427353,0.00828809340200948,1.3096292744627986,0.054126762464861394,-0.04139579585288883
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,0% to 1%,278,0.21942446043165467,0.004584105384514541,1.185016738335354,0.049904795878639885,-0.042937638131014616
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,1% to 2%,97,0.27835051546391754,0.004190239633923278,1.1345107138666586,0.05883993756479117,-0.05706865333290581
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,2% to 3%,26,0.11538461538461539,-0.02814205767315392,0.35208374999512027,0.046880515800790765,-0.07537702954447163
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,>= 3%,11,0.2727272727272727,-0.009841205999163766,0.7277874491901392,0.046706306014918944,-0.06337754543564765
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,< -1%,10,0.2,0.005154005800261652,1.192029214329237,0.05034845310117221,-0.03838328382750038
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,-1% to 0%,19,0.631578947368421,0.04772833814530843,3.885584448749819,0.09397802687598308,-0.03353576022590886
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,0% to 1%,30,0.5,0.03423890245540333,2.7340187613066287,0.08357021421633508,-0.035579642994212714
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,1% to 2%,15,0.4666666666666667,0.013822490962323065,1.4348369727179922,0.06199260528547309,-0.06879279804818016
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,2% to 3%,3,0.0,-0.048995750726789376,0.0,0.03460640486856207,-0.08014136116997835
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,>= 3%,2,1.0,0.08833503669980491,,0.08833503669980491,-0.01010638297872346
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,< -1%,427,0.34894613583138173,0.004587921774623235,1.1208367736883411,0.08790249707138395,-0.06980887509285044
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,-1% to 0%,399,0.2832080200501253,-0.001796444621019867,0.9513941109981076,0.07202166088266682,-0.06271081810442283
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,0% to 1%,824,0.316747572815534,-0.002125184269428479,0.9448869820875355,0.07416379228653862,-0.06438913273974456
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,1% to 2%,378,0.3201058201058201,-0.0015859165528528758,0.9582314970484083,0.08037045857356041,-0.06439514316561602
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,2% to 3%,222,0.27927927927927926,-0.004745596155254976,0.8878958554436365,0.08713452571344912,-0.07183036128802464
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,>= 3%,286,0.34615384615384615,-0.006123929441436046,0.8725150157205198,0.08493478925224668,-0.08896851709262238
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,< -1%,513,0.2300194931773879,-0.007098399802297598,0.809266921090814,0.058045827583632956,-0.057904068250640206
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,-1% to 0%,902,0.2039911308203991,-0.0022581463158809446,0.9228753646399708,0.05058130163729862,-0.044869649028156156
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,0% to 1%,2332,0.21355060034305318,0.0007516120967414145,1.0268600788013431,0.05053814510688042,-0.043843675340818546
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,1% to 2%,743,0.2489905787348587,-0.005603735012409168,0.8426616265964166,0.06006120396057995,-0.055048770250095566
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,2% to 3%,262,0.2862595419847328,-0.004273545185463764,0.8903277250062346,0.06548082240514184,-0.0636376916100322
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,>= 3%,252,0.29365079365079366,-0.009979663259260203,0.782612070166621,0.07278951289533894,-0.08064658674236605
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,< -1%,27,0.07407407407407407,-0.006703310451385387,0.6957165176737685,0.02706394470754072,-0.036673940475633666
