period,setup,tail_case,removed_fraction_of_winners,removed_winners,remaining_evaluable,average_gross_return,median_gross_return,gross_profit_factor,average_net_return,median_net_return,net_profit_factor,tail_dependent,TAIL_DEPENDENT,net_tail_dependent
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,REMOVE_TOP_1PCT_WINNERS,0.01,21,4983,-0.0031204129184093663,-0.020231213872832332,0.9022058420570204,-0.008888859230011958,-0.025916864305407256,0.7475827584605539,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,REMOVE_TOP_5PCT_WINNERS,0.05,103,4901,-0.005889682238363872,-0.021768707482993088,0.8184540671381777,-0.011641985359016484,-0.0274373397467749,0.6748424429172928,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,ORIGINAL,0.0,0,531,0.0030240237849363267,0.0,1.1537385586130713,-0.002781254114495102,-0.005799167676759616,0.8772086197433586,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,REMOVE_TOP_1PCT_WINNERS,0.01,3,528,0.0021300894017834667,0.0,1.1076799475376997,-0.0036699911656074558,-0.00580107229107709,0.8388866119124595,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,REMOVE_TOP_5PCT_WINNERS,0.05,13,518,-0.00024909846337048413,-0.0016226498104320308,0.9876461054656123,-0.006035539123535996,-0.007410197565166124,0.740056765588712,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,ORIGINAL,0.0,0,950,-0.004617695677734902,-0.019102751238499638,0.8707878977647064,-0.010378863293887725,-0.02479490899794877,0.7326797152891494,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,REMOVE_TOP_1PCT_WINNERS,0.01,5,945,-0.005584924169435582,-0.019310344827586312,0.8445454749115944,-0.011340458677563043,-0.024996522780105026,0.7094499550131665,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,REMOVE_TOP_5PCT_WINNERS,0.05,21,929,-0.00827515101244587,-0.023560209424083767,0.7735637671861529,-0.014014948580190536,-0.029220992059869166,0.6470072864801154,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,ORIGINAL,0.0,0,272,0.00029695776101751255,-0.024126330003957974,1.0090128455807614,-0.0054901308191289185,-0.0297888829816723,0.8479378384616888,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,REMOVE_TOP_1PCT_WINNERS,0.01,2,270,-0.0010626142907169342,-0.024508556973474094,0.9679861605525418,-0.006841853791946929,-0.030156980690393857,0.8118920649468431,True,True,False
