year,period,setup,signals,evaluable_signals,outcome_observation_rate,active_signal_dates,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_mfe_abs_mae,plus10_before_minus5_rate,plus15_before_minus5_rate
2021,HISTORICAL_DISCOVERY,TREND_PULLBACK,2405,2399,0.9975051975051975,226,0.25010421008753647,-0.0012181355016559305,-0.006997404368370837,-0.0216284987277352,-0.02730860921415881,0.4114214255939975,0.3893288870362651,0.9634518861431363,0.8087583202423465,0.03470167444052225,0.0628102050399851,-0.03741287642569461,-0.057583168055028625,5.042119987269544,0.2000833680700292,0.12630262609420592
2021,HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,260,260,1.0,115,0.12307692307692308,0.0042984731144112874,-0.0015140680371189608,-0.0005096839959224941,-0.0063060484361908645,0.48846153846153845,0.4346153846153846,1.2454820053351217,0.926204132796904,0.01291304209008951,0.031214182153418916,-0.021358816905626868,-0.02892622973630743,5.36636279890486,0.07692307692307693,0.046153846153846156
2022,HISTORICAL_DISCOVERY,V_REVERSAL,1285,1278,0.9945525291828794,160,0.18857589984350548,-0.01136850584357897,-0.017089263983983104,-0.050000000000000044,-0.0554890964151653,0.39123630672926446,0.37402190923317685,0.6974469270420652,0.5823884943667428,0.025407969779042444,0.045267529227606594,-0.039498732085821796,-0.06194632667291602,3.5458773296130124,0.1322378716744914,0.05868544600938967
2022,HISTORICAL_DISCOVERY,N_RETEST,408,406,0.9950980392156863,114,0.2684729064039409,0.00817238694029182,0.002338867027947564,0.0020502327074305438,-0.0037519477888225336,0.5024630541871922,0.4852216748768473,1.299054872147124,1.077728356549509,0.03665357267719961,0.05851675813872916,-0.025354727156570035,-0.044649211703031544,5.6161920647921715,0.18719211822660098,0.07881773399014778
2022,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,52,51,0.9807692307692307,31,0.3137254901960784,0.008439746400939772,0.0026033542080513877,-0.015444015444015413,-0.02114295086950392,0.47058823529411764,0.47058823529411764,1.296112437348954,1.082906337521551,0.043771449274175055,0.06529636847036131,-0.019100653927579717,-0.0445221552928405,7.766723052886439,0.21568627450980393,0.0784313725490196
2022,HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,1267,1264,0.9976322020520916,245,0.24208860759493672,-0.014443107346785368,-0.020145365567928595,-0.05421523846474907,-0.05968619147489108,0.33860759493670883,0.32832278481012656,0.67234789011019,0.5774457125849791,0.03212084599548092,0.05761264381135518,-0.048302078595574484,-0.07588088590169208,3.5505135500081586,0.18829113924050633,0.10363924050632911
2022,HISTORICAL_DISCOVERY,TREND_PULLBACK,1495,1491,0.9973244147157191,212,0.1482226693494299,-0.018826950463178903,-0.024504592163164036,-0.05052005943536397,-0.05599729527219291,0.31120053655264923,0.289738430583501,0.51771344870192,0.4280758487094349,0.021640100090271692,0.0367448472133896,-0.03982435657589269,-0.06395061673616939,3.155726408150669,0.10462776659959759,0.0482897384305835
2022,HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,203,203,1.0,90,0.10344827586206896,-0.0001344172391844202,-0.0059216570102425415,-0.0016949152542372614,-0.007490025869248571,0.47783251231527096,0.43842364532019706,0.9935592807779287,0.751912082471817,0.01932406309993837,0.03101653878849744,-0.017960053045154193,-0.03199541420275764,4.4289187014998355,0.06896551724137931,0.019704433497536946
2023,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,855,852,0.9964912280701754,147,0.19131455399061034,-0.00021625511706330764,-0.006002061395991492,-0.012913929939792013,-0.01864597297472737,0.4413145539906103,0.4166666666666667,0.9923916245324258,0.8097310308402189,0.023999412823021003,0.04555977076709868,-0.02760332562069738,-0.04411989380746699,4.3988661431868685,0.1267605633802817,0.06572769953051644
2023,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,274,274,1.0,120,0.26277372262773724,0.008151399507506565,0.0023172149938879318,-0.00626855178878305,-0.01201846908602685,0.44525547445255476,0.4343065693430657,1.3135471295657444,1.0796918709261762,0.030187467837655985,0.05582673590455785,-0.025592389880658074,-0.044032488591901474,4.786875071347481,0.17883211678832117,0.08029197080291971
